lower_hurdle_pct,higher_hurdle_pct,lower_qualified_count,higher_qualified_count,marginal_cohort_count,central_operating_learning_upgrade_count,upgrade_share_pct,median_initial_gap_share_of_capex_pct,median_learning_gain_share_of_capex_pct,operating_years,expectation_case,realization_case
1.447315,2.0,1809,1688,121,1,0.8264462809917356,2.2002171948667955,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,3.0,1809,1512,297,0,0.0,6.217312097392147,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,4.0,1809,1364,445,0,0.0,10.399588095214833,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,5.0,1809,1231,578,2,0.3460207612456747,13.92621639939472,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,6.0,1809,1139,670,1,0.14925373134328357,17.234555825125035,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,6.5,1809,1099,710,3,0.4225352112676056,18.536534932230413,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,7.000000000000001,1809,1075,734,3,0.4087193460490463,19.881660916937587,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,8.0,1809,1036,773,0,0.0,22.09489501818301,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,9.0,1809,966,843,1,0.11862396204033215,23.14477477329345,0.0,30,static_28_no_learning,flat_28_central_operating_learning
1.447315,10.0,1809,874,935,0,0.0,23.809126797813736,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,3.0,1688,1512,176,0,0.0,3.7101687115882007,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,4.0,1688,1364,324,0,0.0,8.45046146602654,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,5.0,1688,1231,457,3,0.6564551422319475,11.65854990312789,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,6.0,1688,1139,549,1,0.18214936247723132,15.070330494435472,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,6.5,1688,1099,589,3,0.5093378607809848,16.40022045384,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,7.000000000000001,1688,1075,613,3,0.4893964110929853,17.493374201266736,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,8.0,1688,1036,652,1,0.15337423312883436,19.613032598508358,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,9.0,1688,966,722,1,0.13850415512465375,21.066414639662256,0.0,30,static_28_no_learning,flat_28_central_operating_learning
2.0,10.0,1688,874,814,0,0.0,21.95609082225657,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,4.0,1512,1364,148,0,0.0,4.1842579555709385,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,5.0,1512,1231,281,3,1.0676156583629892,7.7660457463751404,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,6.0,1512,1139,373,3,0.8042895442359249,10.255425890410914,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,6.5,1512,1099,413,11,2.6634382566585955,11.760239191485658,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,7.000000000000001,1512,1075,437,5,1.1441647597254005,13.408502383095,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,8.0,1512,1036,476,3,0.6302521008403361,16.006030999942816,0.0,30,static_28_no_learning,flat_28_central_operating_learning
3.0,9.0,1512,966,546,1,0.18315018315018314,17.921524663349455,0.0,30,static_28_no_learning,flat_28_central_operating_learning
