weather_year,terminal_price,strict_marginal_count,initial_gap_total_100m_cny,learning_gain_flat_total_100m_cny,price_loss_no_learning_total_100m_cny,combined_change_total_100m_cny,initial_gap_median_pct_capex,learning_gain_median_pct_capex,learning_gain_exceeds_gap_count
2020,22.0,1080,32.69606518649141,2.059095523702993,-23.626512610191384,-21.71416203826895,19.97010740931602,1.5673105911469136,7
2020,18.0,1080,32.69606518649141,2.059095523702993,-39.53983045162217,-37.67067765575011,19.97010740931602,1.5673105911469136,7
2021,22.0,1307,35.695921841546,2.201040305264049,-25.68734928843602,-23.644809238227168,20.746064955024217,1.5154938502822743,5
2021,18.0,1307,35.695921841546,2.201040305264049,-42.9880246288479,-40.99114867033275,20.746064955024217,1.5154938502822743,5
2022,22.0,1086,30.47914329304854,1.8640921783365625,-21.596226304877977,-19.864955377098557,21.192779422802378,1.5152053453708363,11
2022,18.0,1086,30.47914329304854,1.8640921783365625,-36.14348355516999,-34.44864695758706,21.192779422802378,1.5152053453708363,11
2023,22.0,1321,36.9575721649463,2.0444433127161488,-25.492086407510225,-23.594078404751354,21.516145444499614,1.4612052314160777,6
2023,18.0,1321,36.9575721649463,2.0444433127161488,-42.662502643040845,-40.8079741165133,21.516145444499614,1.4612052314160777,6
2024,22.0,1167,33.53184822961807,2.119024815684626,-24.215207217165336,-22.248178948431683,21.352579767547468,1.5091065582804108,3
2024,18.0,1167,33.53184822961807,2.119024815684626,-40.52581070664895,-38.60421937244136,21.352579767547468,1.5091065582804108,3
2025,22.0,1279,34.144528820719884,2.084970262125951,-24.44810078905632,-22.51228604912178,20.68587573428996,1.5439501334159702,4
2025,18.0,1279,34.144528820719884,2.084970262125951,-40.91186922501988,-39.01760792675965,20.68587573428996,1.5439501334159702,4
