learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
base,0.675,0.25,0.16875,0.0,0.0,28.0,710,710,3,0.0,-18.90334527734156
base,0.675,0.25,0.16875,0.0,0.01,28.0,710,710,3,0.0038119154558534105,-18.902704851382385
base,0.675,0.25,0.16875,0.0,0.02,28.0,710,710,4,0.007623830911706821,-18.90206442542321
base,0.675,0.25,0.16875,0.0,0.03,28.0,710,710,4,0.011435746367560232,-18.90142399946403
base,0.675,0.25,0.16875,0.0,0.04,28.0,710,710,4,0.015247661823413642,-18.900783573504857
base,0.675,0.25,0.16875,0.0,0.05,28.0,710,710,4,0.019059577279267055,-18.900143147545677
base,0.675,0.25,0.16875,0.0,0.06,28.0,710,710,4,0.022871492735120465,-18.8995027215865
base,0.675,0.25,0.16875,0.0,0.07,28.0,710,710,4,0.02668340819097388,-18.89886229562732
base,0.675,0.25,0.16875,0.0,0.08,28.0,710,710,4,0.030495323646827284,-18.898221869668145
base,0.675,0.25,0.16875,0.0,0.09,28.0,710,710,4,0.0343072391026807,-18.89758144370897
base,0.675,0.25,0.16875,0.0,0.1,28.0,710,710,4,0.03811915455853411,-18.896941017749793
base,0.675,0.25,0.16875,0.0,0.11,28.0,710,710,4,0.04193107001438752,-18.896300591790617
base,0.675,0.25,0.16875,0.0,0.12,28.0,710,710,4,0.04574298547024093,-18.895660165831437
base,0.675,0.25,0.16875,0.0,0.13,28.0,710,710,4,0.04955490092609433,-18.89501973987226
base,0.675,0.25,0.16875,0.0,0.14,28.0,710,710,4,0.05336681638194776,-18.894379313913085
base,0.675,0.25,0.16875,0.0,0.15,28.0,710,710,4,0.05717873183780116,-18.893738887953905
base,0.675,0.25,0.16875,0.0,0.16,28.0,710,710,4,0.06099064729365457,-18.893098461994732
base,0.675,0.25,0.16875,0.0,0.17,28.0,710,710,4,0.06480256274950799,-18.892458036035553
base,0.675,0.25,0.16875,0.0,0.18,28.0,710,710,4,0.0686144782053614,-18.89181761007638
base,0.675,0.25,0.16875,0.0,0.19,28.0,710,710,4,0.07242639366121481,-18.8911771841172
base,0.675,0.25,0.16875,0.0,0.2,28.0,710,710,4,0.07623830911706822,-18.890536758158024
base,0.675,0.25,0.16875,0.0,0.21,28.0,710,710,4,0.08005022457292162,-18.889896332198845
base,0.675,0.25,0.16875,0.0,0.22,28.0,710,710,4,0.08386214002877504,-18.88925590623967
base,0.675,0.25,0.16875,0.0,0.23,28.0,710,710,4,0.08767405548462845,-18.888615480280496
base,0.675,0.25,0.16875,0.0,0.24,28.0,710,710,4,0.09148597094048186,-18.887975054321316
base,0.675,0.25,0.16875,0.0,0.25,28.0,710,710,4,0.09529788639633527,-18.887334628362137
base,0.675,0.25,0.16875,0.0,0.26,28.0,710,710,4,0.09910980185218866,-18.88669420240296
base,0.675,0.25,0.16875,0.0,0.27,28.0,710,710,4,0.1029217173080421,-18.886053776443788
base,0.675,0.25,0.16875,0.0,0.28,28.0,710,710,4,0.10673363276389553,-18.88541335048461
base,0.675,0.25,0.16875,0.0,0.29,28.0,710,710,4,0.11054554821974891,-18.88477292452543
base,0.675,0.25,0.16875,0.0,0.3,28.0,710,710,5,0.11435746367560232,-18.884132498566256
base,0.675,0.25,0.16875,0.0,0.31,28.0,710,710,5,0.11816937913145573,-18.88349207260708
base,0.675,0.25,0.16875,0.0,0.32,28.0,710,710,5,0.12198129458730914,-18.8828516466479
base,0.675,0.25,0.16875,0.0,0.33,28.0,710,710,5,0.12579321004316255,-18.882211220688724
base,0.675,0.25,0.16875,0.0,0.34,28.0,710,710,5,0.12960512549901598,-18.881570794729548
base,0.675,0.25,0.16875,0.0,0.35,28.0,710,710,5,0.13341704095486936,-18.880930368770372
base,0.675,0.25,0.16875,0.0,0.36,28.0,710,710,5,0.1372289564107228,-18.880289942811192
base,0.675,0.25,0.16875,0.0,0.37,28.0,710,710,5,0.14104087186657618,-18.879649516852016
base,0.675,0.25,0.16875,0.0,0.38,28.0,710,710,5,0.14485278732242962,-18.87900909089284
base,0.675,0.25,0.16875,0.0,0.39,28.0,710,710,5,0.14866470277828303,-18.87836866493366
base,0.675,0.25,0.16875,0.0,0.4,28.0,710,710,5,0.15247661823413644,-18.877728238974484
base,0.675,0.25,0.16875,0.0,0.41,28.0,710,710,5,0.15628853368998985,-18.877087813015308
base,0.675,0.25,0.16875,0.0,0.42,28.0,710,710,5,0.16010044914584323,-18.876447387056132
