source_region,model_region,water_price_cny_per_m3,source_table,source_file,source_page
Tibet,Tibet,2.20,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Shanghai,Shanghai,2.62,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Gansu,Gansu,2.69,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Jiangxi,Jiangxi,3.37,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Anhui,Anhui,3.40,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Qinghai,Qinghai,3.43,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Hubei,Hubei,3.49,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Fujian,Fujian,3.70,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Guangxi,Guangxi,3.70,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Jiangsu,Jiangsu,3.82,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Hunan,Hunan,3.89,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Guizhou,Guizhou,4.04,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Guangdong,Guangdong,4.15,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Hainan,Hainan,4.30,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Sichuan,Sichuan,4.43,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Chongqing,Chongqing,4.55,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Ningxia,Ningxia,4.70,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Liaoning,Liaoning,4.93,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Shanxi,Shanxi,5.00,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Xinjiang,Xinjiang,5.28,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Yunnan,Yunnan,5.60,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Heilongjiang,Heilongjiang,5.70,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Shaanxi,Shaanxi,5.80,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Henan,Henan,5.95,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Eastern Inner Mongolia,Inner Mongolia,5.95,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Western Inner Mongolia,Inner Mongolia,5.95,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Zhejiang,Zhejiang,6.01,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Jilin,Jilin,6.10,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Shandong,Shandong,6.35,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Northern Hebei,Hebei,6.82,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Southern Hebei,Hebei,6.82,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Tianjin,Tianjin,7.90,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
Beijing,Beijing,9.50,Table 3,1-s2.0-S295016012600032X-mmc1.pdf,15
