province,low_return_record_count,strict_marginal_record_count,modeled_low_return_h2_mt,modeled_strict_h2_mt,hydrogen_demand_mt,within_supply_share,modeled_low_h2_share_of_provincial_demand,identification
Shanghai,0,0,0.0,0.0,0.9556500850807216,0.2018344076746433,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Yunnan,8,8,0.0003264063700806,0.0003264063700806,0.6055298349880269,0.748373264929121,0.0005390425891849,aggregate provincial overlap only; does not establish contracts or local deliverability
Inner Mongolia,483,53,0.1436319024385024,0.003244818891442,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Beijing,3,3,8.931948954486603e-05,8.931948954486603e-05,0.8914958116682229,0.0792322261153087,0.0001001905879711,aggregate provincial overlap only; does not establish contracts or local deliverability
Jilin,122,2,0.023505404310861,7.39007372123422e-05,0.3040087255916057,0.3332313798124571,0.0773181896839281,aggregate provincial overlap only; does not establish contracts or local deliverability
Sichuan,0,0,0.0,0.0,1.200070105637113,0.3229581897116998,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Tianjin,0,0,0.0,0.0,0.3477756088604849,0.3218331905806621,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Ningxia,0,0,0.0,0.0,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Anhui,0,0,0.0,0.0,0.9551574511409362,0.4417119743189683,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Shandong,13,13,0.00054944356095,0.00054944356095,1.8058058838360576,0.95117340888344,0.0003042650186646,aggregate provincial overlap only; does not establish contracts or local deliverability
Shanxi,62,61,0.0021478501176302,0.0020807715200255,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Guangdong,0,0,0.0,0.0,2.735067581277093,0.3474471164728987,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Guangxi,7,7,0.0002363716777815,0.0002363716777815,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Xinjiang,301,233,0.0298240937420739,0.0174368191869893,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Jiangsu,0,0,0.0,0.0,2.5364840004052884,0.4245223892273934,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Jiangxi,0,0,0.0,0.0,0.6344112713776214,0.2143791508753739,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Hebei,251,46,0.0516018334611742,0.0016164631471359,0.8940723242134435,0.804258634777136,0.0577155024975979,aggregate provincial overlap only; does not establish contracts or local deliverability
Henan,1,0,0.0002072821937329,0.0,1.3580663293596729,0.8034984147900514,0.0001526303901744,aggregate provincial overlap only; does not establish contracts or local deliverability
Zhejiang,0,0,0.0,0.0,1.5955250249053,0.3668222940227031,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Hainan,2,2,8.971455169814132e-05,8.971455169814132e-05,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Hubei,0,0,0.0,0.0,1.0727680630419727,0.5971245395937712,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Hunan,19,19,0.0006310884153961,0.0006310884153961,1.0317283222447646,0.1232357365658517,0.0006116808095595,aggregate provincial overlap only; does not establish contracts or local deliverability
Gansu,36,21,0.0063905604836128,0.0022248745301262,0.2226532553813751,0.7011404734928937,0.0287018506541334,aggregate provincial overlap only; does not establish contracts or local deliverability
Fujian,0,0,0.0,0.0,1.0841376592773189,0.5940310004969238,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Xizang,81,3,0.0132265872630252,0.0001031202265078,0.0469851780745015,0.0105051310156375,0.2815055258927111,aggregate provincial overlap only; does not establish contracts or local deliverability
Guizhou,0,0,0.0,0.0,0.4401989215845494,0.0938156582269001,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Liaoning,170,7,0.0249247425139307,0.0002437063433266,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Chongqing,0,0,0.0,0.0,0.6174046588127466,0.3666392424467474,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Shaanxi,0,0,0.0,0.0,0.6465199419897978,0.9050894333494512,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
Qinghai,160,160,0.0146142198313637,0.0146142198313637,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
Heilongjiang,90,72,0.006424283132584,0.0040561791722711,0.3382629586036762,0.6402878078286149,0.0189919793733935,aggregate provincial overlap only; does not establish contracts or local deliverability
