expectation_case,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_known_at_fid,operating_years,project_end_year,low_return_qualified_count,six_point_five_qualified_count,strict_marginal_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year
static_28_no_learning,28.0,flat,none,30,2055,1809,1099,710,8.435457194134798,607.3529179777055,0.31842110355394293
anticipated_22_front_loaded,22.0,front_loaded,combined,30,2055,1123,781,342,4.978536885275203,358.45465573981465,0.2130927909864718
anticipated_22_linear,22.0,linear,combined,30,2055,1282,971,311,5.889677217341686,424.05675964860137,0.24428208152931885
anticipated_22_back_loaded,22.0,back_loaded,combined,30,2055,1482,1059,423,6.869887048137487,494.63186746589906,0.2758524838787337
anticipated_18_front_loaded,18.0,front_loaded,combined,30,2055,849,408,441,3.00844009361643,216.60768674038295,0.13842882832678474
anticipated_18_linear,18.0,linear,combined,30,2055,1077,761,316,4.536776380360574,326.64789938596135,0.19723200948021222
anticipated_18_back_loaded,18.0,back_loaded,combined,30,2055,1323,1018,305,5.99642243663234,431.74241543752845,0.24778918955209028
anticipated_15_front_loaded,15.0,front_loaded,combined,30,2055,461,211,250,1.4238444159130292,102.51679794573809,0.07062289324110922
anticipated_15_linear,15.0,linear,combined,30,2055,967,583,384,3.5200215758220095,253.4415534591847,0.15878033013132697
anticipated_15_back_loaded,15.0,back_loaded,combined,30,2055,1187,950,237,5.331833958659517,383.8920450234852,0.22541587468824942
anticipated_12_front_loaded,12.0,front_loaded,combined,30,2055,157,20,137,0.30876347649985436,22.230970307989516,0.01688061533566238
anticipated_12_linear,12.0,linear,combined,30,2055,703,408,295,2.360018407054767,169.92132530794322,0.11163270128307806
anticipated_12_back_loaded,12.0,back_loaded,combined,30,2055,1099,876,223,4.722923260981606,340.0504747906756,0.20397948815086264
