expectation_case,nominal_equity_return_hurdle,nominal_equity_return_hurdle_pct,qualified_record_count,operating_years
static_28_no_learning,0.01,1.0,1892,30
static_28_no_learning,0.0125,1.25,1845,30
static_28_no_learning,0.01447315,1.4473150000000001,1809,30
static_28_no_learning,0.015000000000000001,1.5000000000000002,1786,30
static_28_no_learning,0.0175,1.7500000000000002,1744,30
static_28_no_learning,0.020000000000000004,2.0000000000000004,1688,30
static_28_no_learning,0.022500000000000003,2.2500000000000004,1659,30
static_28_no_learning,0.025,2.5,1608,30
static_28_no_learning,0.027500000000000004,2.7500000000000004,1554,30
static_28_no_learning,0.030000000000000006,3.0000000000000004,1512,30
static_28_no_learning,0.03250000000000001,3.250000000000001,1458,30
static_28_no_learning,0.035,3.5000000000000004,1432,30
static_28_no_learning,0.037500000000000006,3.7500000000000004,1394,30
static_28_no_learning,0.04000000000000001,4.000000000000001,1364,30
static_28_no_learning,0.04250000000000001,4.250000000000001,1330,30
static_28_no_learning,0.045000000000000005,4.500000000000001,1307,30
static_28_no_learning,0.04750000000000001,4.750000000000001,1269,30
static_28_no_learning,0.05000000000000001,5.000000000000001,1231,30
static_28_no_learning,0.05250000000000001,5.250000000000001,1204,30
static_28_no_learning,0.055000000000000014,5.500000000000002,1180,30
static_28_no_learning,0.05750000000000001,5.750000000000001,1153,30
static_28_no_learning,0.06000000000000001,6.000000000000001,1139,30
static_28_no_learning,0.06250000000000001,6.250000000000002,1117,30
static_28_no_learning,0.065,6.5,1099,30
static_28_no_learning,0.0675,6.75,1083,30
static_28_no_learning,0.07,7.000000000000001,1075,30
static_28_no_learning,0.07250000000000001,7.250000000000001,1064,30
static_28_no_learning,0.07500000000000001,7.500000000000001,1057,30
static_28_no_learning,0.07750000000000001,7.750000000000002,1048,30
static_28_no_learning,0.08,8.0,1036,30
static_28_no_learning,0.0825,8.25,1027,30
static_28_no_learning,0.085,8.5,1006,30
static_28_no_learning,0.08750000000000001,8.75,987,30
static_28_no_learning,0.09000000000000001,9.000000000000002,966,30
static_28_no_learning,0.09250000000000001,9.250000000000002,944,30
static_28_no_learning,0.09500000000000001,9.500000000000002,904,30
static_28_no_learning,0.09750000000000002,9.750000000000002,892,30
static_28_no_learning,0.10000000000000002,10.000000000000002,874,30
anticipated_22_linear,0.01,1.0,1334,30
anticipated_22_linear,0.0125,1.25,1321,30
anticipated_22_linear,0.01447315,1.4473150000000001,1282,30
anticipated_22_linear,0.015000000000000001,1.5000000000000002,1281,30
anticipated_22_linear,0.0175,1.7500000000000002,1263,30
anticipated_22_linear,0.020000000000000004,2.0000000000000004,1239,30
anticipated_22_linear,0.022500000000000003,2.2500000000000004,1211,30
anticipated_22_linear,0.025,2.5,1184,30
anticipated_22_linear,0.027500000000000004,2.7500000000000004,1173,30
anticipated_22_linear,0.030000000000000006,3.0000000000000004,1156,30
anticipated_22_linear,0.03250000000000001,3.250000000000001,1140,30
anticipated_22_linear,0.035,3.5000000000000004,1129,30
anticipated_22_linear,0.037500000000000006,3.7500000000000004,1108,30
anticipated_22_linear,0.04000000000000001,4.000000000000001,1094,30
anticipated_22_linear,0.04250000000000001,4.250000000000001,1081,30
anticipated_22_linear,0.045000000000000005,4.500000000000001,1075,30
anticipated_22_linear,0.04750000000000001,4.750000000000001,1065,30
anticipated_22_linear,0.05000000000000001,5.000000000000001,1057,30
anticipated_22_linear,0.05250000000000001,5.250000000000001,1047,30
anticipated_22_linear,0.055000000000000014,5.500000000000002,1038,30
anticipated_22_linear,0.05750000000000001,5.750000000000001,1029,30
anticipated_22_linear,0.06000000000000001,6.000000000000001,1018,30
anticipated_22_linear,0.06250000000000001,6.250000000000002,1000,30
anticipated_22_linear,0.065,6.5,971,30
anticipated_22_linear,0.0675,6.75,957,30
anticipated_22_linear,0.07,7.000000000000001,939,30
anticipated_22_linear,0.07250000000000001,7.250000000000001,900,30
anticipated_22_linear,0.07500000000000001,7.500000000000001,883,30
anticipated_22_linear,0.07750000000000001,7.750000000000002,871,30
anticipated_22_linear,0.08,8.0,832,30
anticipated_22_linear,0.0825,8.25,814,30
anticipated_22_linear,0.085,8.5,788,30
anticipated_22_linear,0.08750000000000001,8.75,763,30
anticipated_22_linear,0.09000000000000001,9.000000000000002,731,30
anticipated_22_linear,0.09250000000000001,9.250000000000002,719,30
anticipated_22_linear,0.09500000000000001,9.500000000000002,694,30
anticipated_22_linear,0.09750000000000002,9.750000000000002,646,30
anticipated_22_linear,0.10000000000000002,10.000000000000002,637,30
anticipated_18_linear,0.01,1.0,1084,30
anticipated_18_linear,0.0125,1.25,1081,30
anticipated_18_linear,0.01447315,1.4473150000000001,1077,30
anticipated_18_linear,0.015000000000000001,1.5000000000000002,1075,30
anticipated_18_linear,0.0175,1.7500000000000002,1072,30
anticipated_18_linear,0.020000000000000004,2.0000000000000004,1062,30
anticipated_18_linear,0.022500000000000003,2.2500000000000004,1057,30
anticipated_18_linear,0.025,2.5,1048,30
anticipated_18_linear,0.027500000000000004,2.7500000000000004,1038,30
anticipated_18_linear,0.030000000000000006,3.0000000000000004,1031,30
anticipated_18_linear,0.03250000000000001,3.250000000000001,1024,30
anticipated_18_linear,0.035,3.5000000000000004,1007,30
anticipated_18_linear,0.037500000000000006,3.7500000000000004,997,30
anticipated_18_linear,0.04000000000000001,4.000000000000001,970,30
anticipated_18_linear,0.04250000000000001,4.250000000000001,957,30
anticipated_18_linear,0.045000000000000005,4.500000000000001,942,30
anticipated_18_linear,0.04750000000000001,4.750000000000001,909,30
anticipated_18_linear,0.05000000000000001,5.000000000000001,894,30
anticipated_18_linear,0.05250000000000001,5.250000000000001,879,30
anticipated_18_linear,0.055000000000000014,5.500000000000002,866,30
anticipated_18_linear,0.05750000000000001,5.750000000000001,829,30
anticipated_18_linear,0.06000000000000001,6.000000000000001,800,30
anticipated_18_linear,0.06250000000000001,6.250000000000002,781,30
anticipated_18_linear,0.065,6.5,761,30
anticipated_18_linear,0.0675,6.75,731,30
anticipated_18_linear,0.07,7.000000000000001,719,30
anticipated_18_linear,0.07250000000000001,7.250000000000001,696,30
anticipated_18_linear,0.07500000000000001,7.500000000000001,673,30
anticipated_18_linear,0.07750000000000001,7.750000000000002,641,30
anticipated_18_linear,0.08,8.0,625,30
anticipated_18_linear,0.0825,8.25,614,30
anticipated_18_linear,0.085,8.5,587,30
anticipated_18_linear,0.08750000000000001,8.75,574,30
anticipated_18_linear,0.09000000000000001,9.000000000000002,543,30
anticipated_18_linear,0.09250000000000001,9.250000000000002,532,30
anticipated_18_linear,0.09500000000000001,9.500000000000002,506,30
anticipated_18_linear,0.09750000000000002,9.750000000000002,489,30
anticipated_18_linear,0.10000000000000002,10.000000000000002,474,30
