learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
conservative,False,2026,0.5,0.2,0.1,0.4,0.5,0.0,0.0,0.0,0.0,
conservative,False,2027,0.5,0.2,0.1,0.4,0.5,0.022966103967129226,0.0918644158685169,0.030631530369524207,0.14546205020517033,0.15788381873303828
conservative,False,2028,0.5,0.2,0.1,0.4,0.5,0.026201412331349008,0.10480564932539603,0.035485702442487,0.16649276409923203,0.1573726790656956
conservative,False,2029,0.5,0.2,0.1,0.4,0.5,0.02849419136910608,0.11397676547642432,0.039024277568200705,0.1814952344137311,0.15699691212911726
conservative,False,2030,0.5,0.2,0.1,0.4,0.5,0.03025812909688812,0.12103251638755248,0.04180564496429062,0.19309629044873122,0.15669969126062483
conservative,False,2031,0.5,0.2,0.1,0.4,0.5,0.03226684166968417,0.12906736667873667,0.04503865614770569,0.20637286449612652,0.1563521529270133
conservative,False,2032,0.5,0.2,0.1,0.4,0.5,0.0338396509446958,0.1353586037787832,0.047621182623787395,0.21681943734726639,0.15607295802772936
conservative,False,2033,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.049769536925968694,0.22476953692596868,0.1557150514196583
conservative,False,2034,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.05160762427380816,0.22660762427380815,0.15445199653878275
conservative,False,2035,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.053213015732807234,0.22821301573280722,0.15336548569595235
conservative,False,2036,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.05463748189832984,0.22963748189832983,0.15241414298165823
conservative,False,2037,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.055917285879793055,0.23091728587979304,0.15156942394611245
conservative,False,2038,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.057078809568000044,0.23207880956800003,0.15081083906432594
conservative,False,2039,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.0581418412206296,0.2331418412206296,0.15012320318290004
conservative,False,2040,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.05912160131327121,0.2341216013132712,0.1494949624625518
conservative,False,2041,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06072701687738452,0.2357270168773845,0.1484768291035794
conservative,False,2042,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06214875541815107,0.23714875541815106,0.14758669063342317
conservative,False,2043,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06342413577932676,0.23842413577932675,0.14679721868592288
conservative,False,2044,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06458018115215547,0.23958018115215546,0.1460888786029082
conservative,False,2045,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.0656370837260607,0.24063708372606069,0.1454472413730035
conservative,False,2046,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06661032560050606,0.24161032560050605,0.14486135852435061
conservative,False,2047,0.5,0.2,0.1,0.4,0.5,0.034999999999999996,0.13999999999999999,0.06751203624770591,0.2425120362477059,0.14432273359104703
