ObjectId,province,technology,critical_combined_learning_multiple,right_censored_at_20
10956,Tibet,solar PV,1.1,False
11041,Tibet,solar PV,,True
11990,Tibet,solar PV,4.3,False
1798,Qinghai,solar PV,,True
1800,Qinghai,solar PV,,True
4006,Qinghai,solar PV,,True
4040,Qinghai,solar PV,,True
4117,Qinghai,solar PV,,True
4126,Qinghai,solar PV,,True
4127,Qinghai,solar PV,,True
4128,Qinghai,solar PV,,True
4129,Qinghai,solar PV,,True
4130,Qinghai,solar PV,,True
4132,Qinghai,solar PV,,True
4133,Qinghai,solar PV,,True
4134,Qinghai,solar PV,,True
4135,Qinghai,solar PV,,True
4136,Qinghai,solar PV,,True
4137,Qinghai,solar PV,,True
4138,Qinghai,solar PV,,True
4139,Qinghai,solar PV,,True
4140,Qinghai,solar PV,,True
4141,Qinghai,solar PV,,True
4143,Qinghai,solar PV,,True
4144,Qinghai,solar PV,,True
4145,Qinghai,solar PV,,True
4146,Qinghai,solar PV,,True
4147,Qinghai,solar PV,,True
4148,Qinghai,solar PV,,True
4149,Qinghai,solar PV,,True
4151,Qinghai,solar PV,,True
4153,Qinghai,solar PV,,True
4154,Qinghai,solar PV,,True
4155,Qinghai,solar PV,,True
4156,Qinghai,solar PV,,True
4157,Qinghai,solar PV,,True
4159,Qinghai,solar PV,,True
4160,Qinghai,solar PV,,True
4161,Qinghai,solar PV,,True
4163,Qinghai,solar PV,,True
4165,Qinghai,solar PV,,True
4167,Qinghai,solar PV,,True
4173,Qinghai,solar PV,,True
4176,Qinghai,solar PV,,True
4179,Qinghai,solar PV,,True
4180,Qinghai,solar PV,,True
4182,Qinghai,solar PV,,True
4189,Qinghai,solar PV,,True
4190,Qinghai,solar PV,,True
4192,Qinghai,solar PV,,True
4197,Qinghai,solar PV,,True
4204,Qinghai,solar PV,,True
4205,Qinghai,solar PV,,True
4208,Qinghai,solar PV,,True
4225,Qinghai,solar PV,,True
4228,Qinghai,solar PV,,True
4233,Qinghai,solar PV,,True
