ObjectId,province,technology,initial_6p5_gap_100m_cny,operating_learning_gain_100m_cny,gap_share_of_initial_capex,gain_share_of_initial_capex,learning_gain_share_of_gap,closes_gap_at_baseline_learning
10956,Tibet,solar PV,0.0017047185456507,0.0015814123727965,0.0236766464673715,0.0219640607332854,0.9276677237020772,False
11041,Tibet,solar PV,0.0059139729584243,0.0014181323157579,0.0821385133114491,0.0196962821633043,0.2397935069584328,False
11990,Tibet,solar PV,0.0051437338515291,0.0014683597972862,0.0714407479379044,0.02039388607342,0.2854657413601855,False
1798,Qinghai,solar PV,0.0320570875568095,0.0,0.1415517938920104,0.0,0.0,False
1800,Qinghai,solar PV,0.1393786458081772,0.0,0.1415517983270003,0.0,0.0,False
4006,Qinghai,solar PV,0.0363075211422229,0.0,0.1830707250097393,0.0,0.0,False
4040,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4117,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4126,Qinghai,solar PV,0.0140571844855647,0.0,0.1952386734106218,0.0,0.0,False
4127,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4128,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4129,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4130,Qinghai,solar PV,0.0167462765631786,0.0,0.2325871744885924,0.0,0.0,False
4132,Qinghai,solar PV,0.0167462765631786,0.0,0.2325871744885924,0.0,0.0,False
4133,Qinghai,solar PV,0.0167462765631786,0.0,0.2325871744885924,0.0,0.0,False
4134,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4135,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4136,Qinghai,solar PV,0.0140571844855647,0.0,0.1952386734106218,0.0,0.0,False
4137,Qinghai,solar PV,0.0133567310351843,0.0,0.1745516186312866,0.0,0.0,False
4138,Qinghai,solar PV,0.0215011201147948,0.0,0.1745943414295696,0.0,0.0,False
4139,Qinghai,solar PV,0.0168162430453091,0.0,0.233558931184849,0.0,0.0,False
4140,Qinghai,solar PV,0.0378848028856059,0.0,0.1895048831017243,0.0,0.0,False
4141,Qinghai,solar PV,0.0175506340078908,0.0,0.2437588056651504,0.0,0.0,False
4143,Qinghai,solar PV,0.0189424017262593,0.0,0.1895048858708441,0.0,0.0,False
4144,Qinghai,solar PV,0.0182836470287731,0.0,0.2539395420662937,0.0,0.0,False
4145,Qinghai,solar PV,0.0182836470287731,0.0,0.2539395420662937,0.0,0.0,False
4146,Qinghai,solar PV,0.0140492657431108,0.0,0.1951286908765401,0.0,0.0,False
4147,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4148,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4149,Qinghai,solar PV,0.016695912274476,0.0,0.1745516029644985,0.0,0.0,False
4151,Qinghai,solar PV,0.0173826074333479,0.0,0.2414251032409433,0.0,0.0,False
4153,Qinghai,solar PV,0.0278757295368787,0.0,0.1415518007801516,0.0,0.0,False
4154,Qinghai,solar PV,0.0167300509377329,0.0,0.2323618185796246,0.0,0.0,False
4155,Qinghai,solar PV,0.0557514571591594,0.0,0.1415517962912206,0.0,0.0,False
4156,Qinghai,solar PV,0.0418135925627251,0.0,0.1415517945503759,0.0,0.0,False
4157,Qinghai,solar PV,0.0557514571591594,0.0,0.1415517962912206,0.0,0.0,False
4159,Qinghai,solar PV,0.1477413687588203,0.0,0.1415518016602442,0.0,0.0,False
4160,Qinghai,solar PV,0.016405860941564,0.0,0.1550168833266175,0.0,0.0,False
4161,Qinghai,solar PV,0.0119042657323462,0.0,0.165337024060364,0.0,0.0,False
4163,Qinghai,solar PV,0.012123129369121,0.0,0.1683767967933475,0.0,0.0,False
4165,Qinghai,solar PV,0.0163556507010654,0.0,0.1516492673085211,0.0,0.0,False
4167,Qinghai,solar PV,0.0119042657323462,0.0,0.165337024060364,0.0,0.0,False
4173,Qinghai,solar PV,0.018575971283142,0.0,0.2579996011547513,0.0,0.0,False
4176,Qinghai,solar PV,0.017241711784215,0.0,0.2394682192252096,0.0,0.0,False
4179,Qinghai,solar PV,0.0167300509377329,0.0,0.2323618185796246,0.0,0.0,False
4180,Qinghai,solar PV,0.0122202117997342,0.0,0.1697251638851984,0.0,0.0,False
4182,Qinghai,solar PV,0.016405860941564,0.0,0.1550168833266175,0.0,0.0,False
4189,Qinghai,solar PV,0.016405860941564,0.0,0.1550168833266175,0.0,0.0,False
4190,Qinghai,solar PV,0.0328117217193591,0.0,0.1550168826685272,0.0,0.0,False
4192,Qinghai,solar PV,0.0158299334566536,0.0,0.2198601868979678,0.0,0.0,False
4197,Qinghai,solar PV,0.0136460481160886,0.0,0.1600955712725007,0.0,0.0,False
4204,Qinghai,solar PV,0.0366254924184785,0.0,0.1839674389581103,0.0,0.0,False
4205,Qinghai,solar PV,0.1374445081660527,0.0,0.1977208004656815,0.0,0.0,False
4208,Qinghai,solar PV,0.0625132486047002,0.0,0.1534958580871081,0.0,0.0,False
4225,Qinghai,solar PV,0.3350686490490555,0.0,0.1929618952692632,0.0,0.0,False
4228,Qinghai,solar PV,0.0328117217193591,0.0,0.1550168826685272,0.0,0.0,False
4233,Qinghai,solar PV,0.0335068629814938,0.0,0.1929618858714039,0.0,0.0,False
4242,Qinghai,solar PV,0.0185733918077354,0.0,0.2579637751074365,0.0,0.0,False
4250,Qinghai,solar PV,0.0185733918077354,0.0,0.2579637751074365,0.0,0.0,False
4256,Qinghai,solar PV,0.014465802251797,0.0,0.2009139201638474,0.0,0.0,False
4263,Qinghai,solar PV,0.0312566241375823,0.0,0.153495857235986,0.0,0.0,False
4268,Qinghai,solar PV,0.0217845116929479,0.0,0.183070716246444,0.0,0.0,False
4274,Qinghai,solar PV,0.0209005663574125,0.0,0.1804101702785116,0.0,0.0,False
4283,Qinghai,solar PV,0.0181537606162171,0.0,0.1830707250960935,0.0,0.0,False
4288,Qinghai,solar PV,0.0278757295368787,0.0,0.1415518007801516,0.0,0.0,False
4291,Qinghai,solar PV,0.0156445555708373,0.0,0.1718152789427679,0.0,0.0,False
4298,Qinghai,solar PV,0.0179911507332474,0.0,0.2498770935173259,0.0,0.0,False
4301,Qinghai,solar PV,0.0308449395924686,0.0,0.1545800171250251,0.0,0.0,False
4309,Qinghai,solar PV,0.017241711784215,0.0,0.2394682192252096,0.0,0.0,False
4317,Qinghai,solar PV,0.0321496585319663,0.0,0.1482715772630702,0.0,0.0,False
4320,Qinghai,solar PV,0.0181537606162171,0.0,0.1830707250960935,0.0,0.0,False
4326,Qinghai,solar PV,0.013851545643145,0.0,0.1923825783770143,0.0,0.0,False
4420,Qinghai,solar PV,0.0185733918077354,0.0,0.2579637751074365,0.0,0.0,False
4434,Qinghai,solar PV,0.0679138329297167,0.0,0.1971654167977946,0.0,0.0,False
4440,Qinghai,solar PV,0.0325885173920684,0.0,0.1819856790385736,0.0,0.0,False
4446,Qinghai,solar PV,0.0679138329297167,0.0,0.1971654167977946,0.0,0.0,False
4452,Qinghai,solar PV,0.1845208370184232,0.0,0.1498533379195286,0.0,0.0,False
4456,Qinghai,solar PV,0.0185206861867198,0.0,0.2572317525933307,0.0,0.0,False
4463,Qinghai,solar PV,0.1845208370184232,0.0,0.1498533379195286,0.0,0.0,False
4479,Qinghai,solar PV,0.0168926141630198,0.0,0.2346196411530528,0.0,0.0,False
4490,Qinghai,solar PV,0.0195469026961641,0.0,0.1526535994284349,0.0,0.0,False
4510,Qinghai,solar PV,0.0195388251646461,0.0,0.1643046884435318,0.0,0.0,False
4516,Qinghai,solar PV,0.0183127460164944,0.0,0.183967437218821,0.0,0.0,False
4522,Qinghai,solar PV,0.0183127460164944,0.0,0.183967437218821,0.0,0.0,False
4535,Qinghai,solar PV,0.0169056562878324,0.0,0.2348007817754501,0.0,0.0,False
4541,Qinghai,solar PV,0.017241711784215,0.0,0.2394682192252096,0.0,0.0,False
4543,Qinghai,solar PV,0.0366254924184785,0.0,0.1839674389581103,0.0,0.0,False
4603,Qinghai,solar PV,0.0167300509377329,0.0,0.2323618185796246,0.0,0.0,False
4609,Qinghai,solar PV,0.0165768052574444,0.0,0.2302334063533953,0.0,0.0,False
4615,Qinghai,solar PV,0.013851545643145,0.0,0.1923825783770143,0.0,0.0,False
4622,Qinghai,solar PV,0.0312566241375823,0.0,0.153495857235986,0.0,0.0,False
4631,Qinghai,solar PV,0.0278757295368787,0.0,0.1415518007801516,0.0,0.0,False
4641,Qinghai,solar PV,0.0182948583800966,0.0,0.1923803969461546,0.0,0.0,False
4642,Qinghai,solar PV,0.0150543644834405,0.0,0.209088395603341,0.0,0.0,False
4647,Qinghai,solar PV,0.0327113017526388,0.0,0.1516492686726165,0.0,0.0,False
4648,Qinghai,solar PV,0.0366254924184785,0.0,0.1839674389581103,0.0,0.0,False
4654,Qinghai,solar PV,0.0366254924184785,0.0,0.1839674389581103,0.0,0.0,False
4682,Qinghai,solar PV,0.0626228133934709,0.0,0.1713609343738223,0.0,0.0,False
4690,Qinghai,solar PV,0.0150543644834405,0.0,0.209088395603341,0.0,0.0,False
4693,Qinghai,solar PV,0.0181311503196643,0.0,0.2518215322175606,0.0,0.0,False
4705,Qinghai,solar PV,0.1514245363258464,0.0,0.1539500836677196,0.0,0.0,False
4710,Qinghai,solar PV,0.0128003109321987,0.0,0.1777820962805388,0.0,0.0,False
4712,Qinghai,solar PV,0.0136021464989963,0.0,0.1889187013749486,0.0,0.0,False
4716,Qinghai,solar PV,0.011643911159961,0.0,0.1617209883327925,0.0,0.0,False
4718,Qinghai,solar PV,0.0131103942649513,0.0,0.1796173753888181,0.0,0.0,False
4722,Qinghai,solar PV,0.0555478388090932,0.0,0.1592708937670395,0.0,0.0,False
4724,Qinghai,solar PV,0.0131103942649513,0.0,0.1796173753888181,0.0,0.0,False
4726,Qinghai,solar PV,0.0168805274939766,0.0,0.2344517707496755,0.0,0.0,False
4744,Qinghai,solar PV,0.0376556967173896,0.0,0.1464769155016978,0.0,0.0,False
4746,Qinghai,solar PV,0.0142773297438272,0.0,0.1982962464420446,0.0,0.0,False
4752,Qinghai,solar PV,0.0142773297438272,0.0,0.1982962464420446,0.0,0.0,False
4756,Qinghai,solar PV,0.0123061823697296,0.0,0.1606964915063249,0.0,0.0,False
4757,Qinghai,solar PV,0.0099194051961633,0.0,0.1337425542132276,0.0,0.0,False
4767,Qinghai,solar PV,0.0246280546993967,0.0,0.1837661273687766,0.0,0.0,False
4795,Qinghai,solar PV,0.0173995328741649,0.0,0.2416601788078466,0.0,0.0,False
4804,Qinghai,solar PV,0.0154759037866523,0.0,0.1865223658825545,0.0,0.0,False
4811,Qinghai,solar PV,0.0836271846387594,0.0,0.1415517938063878,0.0,0.0,False
4817,Qinghai,solar PV,0.0153744585560798,0.0,0.2135341466122203,0.0,0.0,False
4824,Qinghai,solar PV,0.0176920688633532,0.0,0.2457231786576835,0.0,0.0,False
4850,Qinghai,solar PV,0.0174618157785719,0.0,0.2425252191468326,0.0,0.0,False
4854,Qinghai,solar PV,0.1630160568482117,0.0,0.1792718615302609,0.0,0.0,False
4857,Qinghai,solar PV,0.0174618157785719,0.0,0.2425252191468326,0.0,0.0,False
4863,Qinghai,solar PV,0.0174618157785719,0.0,0.2425252191468326,0.0,0.0,False
4865,Qinghai,solar PV,0.174547887981355,0.0,0.1590058792853561,0.0,0.0,False
4868,Qinghai,solar PV,0.0140492657431108,0.0,0.1951286908765401,0.0,0.0,False
4874,Qinghai,solar PV,0.0140492657431108,0.0,0.1951286908765401,0.0,0.0,False
4879,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4882,Qinghai,solar PV,0.0169056562878324,0.0,0.2348007817754501,0.0,0.0,False
4889,Qinghai,solar PV,0.0169056562878324,0.0,0.2348007817754501,0.0,0.0,False
4891,Qinghai,solar PV,0.033392908029819,0.0,0.1538497958352592,0.0,0.0,False
4897,Qinghai,solar PV,0.0175249771756455,0.0,0.1482290296220338,0.0,0.0,False
4899,Qinghai,solar PV,0.0181537606162171,0.0,0.1830707250960935,0.0,0.0,False
4903,Qinghai,solar PV,0.017241711784215,0.0,0.2394682192252096,0.0,0.0,False
4905,Qinghai,solar PV,0.0133567310351843,0.0,0.1745516186312866,0.0,0.0,False
4911,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4916,Qinghai,solar PV,0.016695912274476,0.0,0.1745516029644985,0.0,0.0,False
4928,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4931,Qinghai,solar PV,0.0339569166453751,0.0,0.197165417646522,0.0,0.0,False
4932,Qinghai,solar PV,0.1051498481388049,0.0,0.1482290103815554,0.0,0.0,False
4933,Qinghai,solar PV,0.0140571844855647,0.0,0.1952386734106218,0.0,0.0,False
4943,Qinghai,solar PV,0.0757696056422257,0.0,0.1895048828885679,0.0,0.0,False
4944,Qinghai,solar PV,0.2643222093365702,0.0,0.145189806012368,0.0,0.0,False
4952,Qinghai,solar PV,0.0568272045491322,0.0,0.1895048837805105,0.0,0.0,False
4956,Qinghai,solar PV,0.0189424017262593,0.0,0.1895048858708441,0.0,0.0,False
4957,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
4960,Qinghai,solar PV,0.0113568378015806,0.0,0.1539500549425108,0.0,0.0,False
4966,Qinghai,solar PV,0.0304914314451658,0.0,0.1923804023203324,0.0,0.0,False
4977,Qinghai,solar PV,0.0134756081048433,0.0,0.1863549880282285,0.0,0.0,False
4992,Qinghai,solar PV,0.2645297868254145,0.0,0.1879311154841911,0.0,0.0,False
4994,Qinghai,solar PV,0.2486958642562509,0.0,0.1850959866051655,0.0,0.0,False
4997,Qinghai,solar PV,0.018575971283142,0.0,0.2579996011547513,0.0,0.0,False
4998,Qinghai,solar PV,0.0175918706930429,0.0,0.2443315374033745,0.0,0.0,False
6017,Xinjiang,solar PV,0.0162301487253187,0.0,0.1885645246604835,0.0,0.0,False
6030,Xinjiang,solar PV,0.0181543820872336,0.0,0.2521441956560223,0.0,0.0,False
6031,Xinjiang,solar PV,0.0221639351689792,0.0,0.2181473542574371,0.0,0.0,False
6032,Xinjiang,solar PV,0.016634353193026,0.0,0.2310326832364733,0.0,0.0,False
6036,Xinjiang,solar PV,0.0593578123203078,0.0,0.232893053865997,0.0,0.0,False
6037,Xinjiang,solar PV,0.0314276920088965,0.0,0.2034865808702521,0.0,0.0,False
6057,Xinjiang,solar PV,0.0159154788366168,0.0,0.2210483171752342,0.0,0.0,False
6059,Xinjiang,solar PV,0.0147138369929356,0.0,0.2043588471241056,0.0,0.0,False
6060,Xinjiang,solar PV,0.0142173945591204,0.0,0.1974638133211176,0.0,0.0,False
6061,Xinjiang,solar PV,0.0177576408449176,0.0,0.2466339006238561,0.0,0.0,False
6063,Xinjiang,solar PV,0.0125003907761433,0.0,0.173616538557547,0.0,0.0,False
6066,Xinjiang,solar PV,0.0286657767361969,0.0,0.2074581318352311,0.0,0.0,False
6067,Xinjiang,solar PV,0.0130869150682997,0.0,0.181762709281941,0.0,0.0,False
6068,Xinjiang,solar PV,0.0157824156843105,0.0,0.2192002178376464,0.0,0.0,False
6069,Xinjiang,solar PV,0.0118504243921619,0.0,0.1645892276689161,0.0,0.0,False
6070,Xinjiang,solar PV,0.0195674233291585,0.0,0.1637930566515537,0.0,0.0,False
6076,Xinjiang,solar PV,0.0185957250339396,0.0,0.1863207178303126,0.0,0.0,False
6082,Xinjiang,solar PV,0.0704078407676016,0.0,0.1786743516471341,0.0,0.0,False
6083,Xinjiang,solar PV,0.0221985839149605,0.0,0.1982898879671478,0.0,0.0,False
6086,Xinjiang,solar PV,0.0543410686706075,0.0,0.2272456513852174,0.0,0.0,False
6089,Xinjiang,solar PV,0.0171117182442808,0.0,0.2376627533927901,0.0,0.0,False
6098,Xinjiang,solar PV,0.0174197925799964,0.0,0.1953960168982357,0.0,0.0,False
6101,Xinjiang,solar PV,0.0155580598228118,0.0,0.2160841642057205,0.0,0.0,False
6102,Xinjiang,solar PV,0.1043309946588107,0.0,0.2197940470606707,0.0,0.0,False
6104,Xinjiang,solar PV,0.016794879365303,0.0,0.2332622134069872,0.0,0.0,False
