equipment_share_of_uninstalled_system,incumbent_operating_improvement_access_fraction,new_build_cost_pass_through_elasticity,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,npv_low_100m_cny,npv_6p5_100m_cny
0.5,0.0,0.0,28.0,710,710,0,17.952939084605735,-18.916242025835473
0.5,0.0,0.25,24.643128630215013,710,3,0,-21.581440015374913,-38.73755223780871
0.5,0.0,0.5,21.688706738761535,710,0,0,-56.885178298624744,-56.50094404757557
0.5,0.0,0.75,19.08848535665399,710,0,0,-88.24784349602886,-72.3412032722747
0.5,0.0,1.0,16.800000000000004,710,0,0,-117.65527135964355,-86.94118904334266
0.5,0.25,0.0,28.0,710,710,0,17.96558571059859,-18.913083847837814
0.5,0.25,0.25,24.643128630215013,710,4,0,-21.569253567750902,-38.7345054735427
0.5,0.25,0.5,21.688706738761535,710,0,0,-56.873396859384194,-56.497995339842454
0.5,0.25,0.75,19.08848535665399,710,0,0,-88.23641850942008,-72.33834086524703
0.5,0.25,1.0,16.800000000000004,710,0,0,-117.64315668194222,-86.93816279042986
0.5,0.5,0.0,28.0,710,710,0,17.97840587799547,-18.909883657718943
0.5,0.5,0.25,24.643128630215013,710,4,0,-21.556914431093265,-38.731421745252916
0.5,0.5,0.5,21.688706738761535,710,0,0,-56.8614810835259,-56.49501411097531
0.5,0.5,0.75,19.08848535665399,710,0,0,-88.22487533837021,-72.33544984732478
0.5,0.5,1.0,16.800000000000004,710,0,0,-117.63138910338063,-86.93521962298608
0.5,0.75,0.0,28.0,710,710,0,17.991411656367163,-18.90663853386947
0.5,0.75,0.25,24.643128630215013,710,5,0,-21.544411986084942,-38.728298482384865
0.5,0.75,0.5,21.688706738761535,710,0,0,-56.84942162811821,-56.49199809938728
0.5,0.75,0.75,19.08848535665399,710,0,0,-88.21320576330929,-72.33252822884708
0.5,0.75,1.0,16.800000000000004,710,0,0,-117.61990369882066,-86.93234321963408
0.5,1.0,0.0,28.0,710,710,3,18.00461626111904,-18.90334527734156
0.5,1.0,0.25,24.643128630215013,710,5,0,-21.531734605255295,-38.72513287037011
0.5,1.0,0.5,21.688706738761535,710,0,0,-56.83720826325044,-56.48894482880669
0.5,1.0,0.75,19.08848535665399,710,0,0,-88.20140078433563,-72.32957383128124
0.5,1.0,1.0,16.800000000000004,710,0,0,-117.60837322582304,-86.92945569096706
0.675,0.0,0.0,28.0,710,710,0,17.952939084605735,-18.916242025835473
0.675,0.0,0.25,24.46143967310532,710,0,0,-24.885703268916746,-40.63152372354777
0.675,0.0,0.5,21.370072531463247,710,0,0,-62.74510177001255,-59.871468904487536
0.675,0.0,0.75,18.669383572795475,710,0,0,-96.02688958445404,-76.83305613656393
0.675,0.0,1.0,16.310000000000002,710,0,0,-127.89691559376251,-92.62729177187401
0.675,0.25,0.0,28.0,710,710,0,17.96558571059859,-18.913083847837814
0.675,0.25,0.25,24.46143967310532,710,0,0,-24.873541728213116,-40.62848298949339
0.675,0.25,0.5,21.370072531463247,710,0,0,-62.733364010899585,-59.868530772145064
0.675,0.25,0.75,18.669383572795475,710,0,0,-96.01552205062015,-76.83020763942093
0.675,0.25,1.0,16.310000000000002,710,0,0,-127.88476451798046,-92.62425490457767
0.675,0.5,0.0,28.0,710,710,0,17.97840587799547,-18.909883657718943
0.675,0.5,0.25,24.46143967310532,710,4,0,-24.8612286270998,-40.625405564640914
0.675,0.5,0.5,21.370072531463247,710,0,0,-62.72149389447576,-59.86556059783393
0.675,0.5,0.75,18.669383572795475,710,0,0,-96.00403893574128,-76.82733116163293
0.675,0.5,1.0,16.310000000000002,710,0,0,-127.87250429400711,-92.62119197820505
0.675,0.75,0.0,28.0,710,710,0,17.991411656367163,-18.90663853386947
0.675,0.75,0.25,24.46143967310532,710,4,0,-24.84875342475401,-40.62228889743656
0.675,0.75,0.5,21.370072531463247,710,0,0,-62.70948221546745,-59.86255615328941
0.675,0.75,0.75,18.669383572795475,710,0,0,-95.99243220131001,-76.82442475736782
0.675,0.75,1.0,16.310000000000002,710,0,0,-127.86063362945393,-92.61822310353111
0.675,1.0,0.0,28.0,710,710,3,18.00461626111904,-18.90334527734156
0.675,1.0,0.25,24.46143967310532,710,4,0,-24.836104579651245,-40.619130194116224
0.675,1.0,0.5,21.370072531463247,710,0,0,-62.697318894690746,-59.85951499872514
0.675,1.0,0.75,18.669383572795475,710,0,0,-95.98069304567657,-76.8214862960823
0.675,1.0,1.0,16.310000000000002,710,0,0,-127.84882755126397,-92.61526939380985
0.7,0.0,0.0,28.0,710,710,0,17.952939084605735,-18.916242025835473
0.7,0.0,0.25,24.4351511454243,710,0,0,-25.366966576142236,-40.90788073957655
0.7,0.0,0.5,21.324164696418944,710,0,0,-63.59314005946203,-60.35983709874478
0.7,0.0,0.75,18.609256693104207,710,0,0,-97.14077814372223,-77.47712466962795
0.7,0.0,1.0,16.240000000000002,710,0,0,-129.36045973365054,-93.4397601502581
0.7,0.25,0.0,28.0,710,710,0,17.96558571059859,-18.913083847837814
0.7,0.25,0.25,24.4351511454243,710,0,0,-25.3548086392144,-40.9048408780319
0.7,0.25,0.5,21.324164696418944,710,0,0,-63.581408593647296,-60.35690049007199
0.7,0.25,0.75,18.609256693104207,710,0,0,-97.12941885241136,-77.47427816808124
0.7,0.25,1.0,16.240000000000002,710,0,0,-129.3483120347702,-93.43672396580361
