resource_realization,capacity_adjustability,original_cohort_count,retain_low_count,reach_6p5_count,cancelled_record_count,at_risk_record_count,at_risk_capex_100m_cny,avoided_capex_100m_cny,annual_h2_mt_per_year
0.5,0.0,1809,346,0,0,1463,525.4230408762702,0.0,0.23658323919992108
0.5,0.25,1809,1053,0,322,434,194.65194525227756,94.7269114639555,0.2169320130173408
0.5,0.5,1809,1436,38,322,51,14.750634751292557,166.17978894683648,0.20232284432181213
0.5,0.75,1809,1477,488,322,10,0.7651025863208546,237.63266642971752,0.18273134688107015
0.5,1.0,1809,1487,860,322,0,0.0,309.08554391259855,0.15663758575600778
0.625,0.0,1809,1517,11,0,292,43.11402565162549,0.0,0.2689348721658768
0.625,0.25,1809,1544,118,232,33,12.412267388037195,70.78032952104309,0.2500083955440893
0.625,0.5,1809,1575,386,232,2,0.27636402492666656,124.8557774229626,0.23517696818883232
0.625,0.75,1809,1577,666,232,0,0.0,178.93122532488212,0.21742155346638756
0.625,1.0,1809,1577,899,232,0,0.0,233.00667322680164,0.19662285837138804
0.75,0.0,1809,1652,325,0,157,11.75876813188954,0.0,0.2921075439781814
0.75,0.25,1809,1655,500,154,0,0.0,47.34381693520893,0.2767542692379206
0.75,0.5,1809,1655,648,154,0,0.0,83.5987522512943,0.26459757427751424
0.75,0.75,1809,1655,791,154,0,0.0,119.85368756737965,0.2512896726415682
0.75,1.0,1809,1655,910,154,0,0.0,156.10862288346502,0.23691706862033976
0.875,0.0,1809,1711,697,0,98,7.056,0.0,0.3078938118978715
0.875,0.25,1809,1711,740,98,0,0.0,25.272221759789733,0.2983650584492365
0.875,0.5,1809,1711,813,98,0,0.0,43.48844351957945,0.29144081893851603
0.875,0.75,1809,1711,882,98,0,0.0,61.70466527936917,0.28426888500747766
0.875,1.0,1809,1711,918,98,0,0.0,79.92088703915891,0.276923359014452
1.0,0.0,1809,1809,923,0,0,0.0,0.0,0.31842110355394293
1.0,0.25,1809,1809,923,0,0,0.0,0.0,0.31842110355394293
1.0,0.5,1809,1809,923,0,0,0.0,0.0,0.31842110355394293
1.0,0.75,1809,1809,923,0,0,0.0,0.0,0.31842110355394293
1.0,1.0,1809,1809,923,0,0,0.0,0.0,0.31842110355394293
