learning_case,construction_years,capitalized_interest,after_tax_residual_share_of_initial_capex,strict_record_count,retain_low_count,reach_6p5_count,interest_during_construction_100m_cny,npv_low_100m_cny,npv_6p5_100m_cny
none,0,True,0.0,710,710,0,0.0,17.952939084605735,-18.916242025835473
none,0,True,0.05,710,710,0,0.0,24.318777921199683,-17.435142924431688
none,0,True,0.1,710,710,4,0.0,30.684616757793638,-15.954043823027902
none,0,True,0.2,710,710,5,0.0,43.41629443098154,-12.991845620220337
none,1,True,0.0,710,680,0,2.703108328470662,16.914945560534253,-20.38475266868768
none,1,True,0.05,710,710,0,2.703108328470662,23.315465488859445,-18.966235219455882
none,1,True,0.1,710,710,0,2.703108328470662,29.715985417184633,-17.547717770224093
none,1,True,0.2,710,710,4,2.703108328470662,42.51702527383502,-14.710682871760506
none,2,True,0.0,710,665,0,5.500825448437798,15.843523384449025,-21.767228706982184
none,2,True,0.05,710,710,0,5.500825448437798,22.278913347102737,-20.408648614760185
none,2,True,0.1,710,710,0,5.500825448437798,28.71430330975645,-19.050068522538186
none,2,True,0.2,710,710,0,5.500825448437798,41.58508323506388,-16.332908338094185
combined,0,True,0.0,710,710,3,0.0,18.00461626111904,-18.90334527734156
combined,0,True,0.05,710,710,4,0.0,24.370455097712995,-17.422246175937783
combined,0,True,0.1,710,710,4,0.0,30.736293934306946,-15.941147074533994
combined,0,True,0.2,710,710,6,0.0,43.46797160749484,-12.978948871726427
combined,1,True,0.0,710,681,0,2.703108328470662,16.967047250588337,-20.372367860087262
combined,1,True,0.05,710,710,0,2.703108328470662,23.367567178913525,-18.95385041085547
combined,1,True,0.1,710,710,4,2.703108328470662,29.768087107238717,-17.535332961623677
combined,1,True,0.2,710,710,5,2.703108328470662,42.56912696388909,-14.69829806316009
combined,2,True,0.0,710,666,0,5.500825448437798,15.896046343852497,-21.755336994472984
combined,2,True,0.05,710,710,0,5.500825448437798,22.33143630650621,-20.396756902250985
combined,2,True,0.1,710,710,0,5.500825448437798,28.76682626915992,-19.03817681002899
combined,2,True,0.2,710,710,4,5.500825448437798,41.63760619446735,-16.321016625584992
