electrical_buffer_hours,round_trip_efficiency,battery_capex_cny_per_kwh,battery_fixed_om_rate,battery_replacement_interval_years,battery_replacement_cost_factor,free_lossless_upper_bound,learning_case,strict_record_count,electrolyser_input_twh_per_year,raw_electricity_draw_twh_per_year,ending_stored_energy_gwh,battery_capex_100m_cny,mean_h2_mt_per_year,retain_low_count,reach_6p5_count,zero_buffer_max_absorbed_kwh_error
0.0,1.0,0.0,0.0,,0.0,True,none,710,2.718601865895589,2.718601865895589,0.0,0.0,0.04761721765185231,710,0,1.4156103134155273e-06
0.0,1.0,0.0,0.0,,0.0,True,combined,710,2.718601865895589,2.718601865895589,0.0,0.0,0.04761948984824942,710,3,1.4156103134155273e-06
1.0,1.0,0.0,0.0,,0.0,True,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,0.0,0.05799704695984726,710,702,1.4156103134155273e-06
1.0,1.0,0.0,0.0,,0.0,True,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,0.0,0.058569368100752466,710,710,1.4156103134155273e-06
1.0,1.0,900.0,0.025,10.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,710,5,1.4156103134155273e-06
1.0,1.0,900.0,0.025,10.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,15,1.4156103134155273e-06
1.0,1.0,900.0,0.025,10.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,701,1,1.4156103134155273e-06
1.0,1.0,900.0,0.025,10.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,5,1.4156103134155273e-06
1.0,1.0,900.0,0.025,15.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,710,19,1.4156103134155273e-06
1.0,1.0,900.0,0.025,15.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,57,1.4156103134155273e-06
1.0,1.0,900.0,0.025,15.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,710,9,1.4156103134155273e-06
1.0,1.0,900.0,0.025,15.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,24,1.4156103134155273e-06
1.0,1.0,900.0,0.025,20.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,710,23,1.4156103134155273e-06
1.0,1.0,900.0,0.025,20.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,92,1.4156103134155273e-06
1.0,1.0,900.0,0.025,20.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.05799704695984726,710,16,1.4156103134155273e-06
1.0,1.0,900.0,0.025,20.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,13.791369022809526,0.058569368100752466,710,51,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,10.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,304,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,10.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,506,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,10.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,107,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,10.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,284,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,15.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,610,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,15.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,709,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,15.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,509,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,15.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,661,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,20.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,607,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,20.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,709,1,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,20.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.05799704695984726,498,0,1.4156103134155273e-06
1.0,1.0,1500.0,0.025,20.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,22.98561503801588,0.058569368100752466,655,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,10.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,1,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,10.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,9,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,10.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,0,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,10.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,0,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,15.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,33,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,15.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,185,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,15.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,9,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,15.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,61,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,20.0,0.7,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,31,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,20.0,0.7,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,184,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,20.0,1.0,False,none,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.05799704695984726,9,0,1.4156103134155273e-06
1.0,1.0,2400.0,0.025,20.0,1.0,False,combined,710,3.3094312160779458,3.309565755956196,0.1345398782496224,36.776984060825406,0.058569368100752466,57,0,1.4156103134155273e-06
1.0,0.85,0.0,0.0,,0.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,0.0,0.05716629203758266,710,576,1.4156103134155273e-06
1.0,0.85,0.0,0.0,,0.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,0.0,0.057710796010590495,710,636,1.4156103134155273e-06
1.0,0.85,900.0,0.025,10.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,691,1,1.4156103134155273e-06
1.0,0.85,900.0,0.025,10.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,710,5,1.4156103134155273e-06
1.0,0.85,900.0,0.025,10.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,579,0,1.4156103134155273e-06
1.0,0.85,900.0,0.025,10.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,706,1,1.4156103134155273e-06
1.0,0.85,900.0,0.025,15.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,710,6,1.4156103134155273e-06
1.0,0.85,900.0,0.025,15.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,710,15,1.4156103134155273e-06
1.0,0.85,900.0,0.025,15.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,710,4,1.4156103134155273e-06
1.0,0.85,900.0,0.025,15.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,710,9,1.4156103134155273e-06
1.0,0.85,900.0,0.025,20.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,710,6,1.4156103134155273e-06
1.0,0.85,900.0,0.025,20.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,710,20,1.4156103134155273e-06
1.0,0.85,900.0,0.025,20.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.05716629203758266,710,4,1.4156103134155273e-06
1.0,0.85,900.0,0.025,20.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,13.791369022809526,0.057710796010590495,710,15,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,10.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,175,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,10.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,337,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,10.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,23,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,10.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,163,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,15.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,475,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,15.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,628,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,15.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,331,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,15.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,534,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,20.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,454,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,20.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,618,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,20.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.05716629203758266,318,0,1.4156103134155273e-06
1.0,0.85,1500.0,0.025,20.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,22.98561503801588,0.057710796010590495,518,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,10.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,0,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,10.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,4,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,10.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,0,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,10.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,0,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,15.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,9,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,15.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,98,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,15.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,4,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,15.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,17,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,20.0,0.7,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,9,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,20.0,0.7,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,70,0,1.4156103134155273e-06
