resource_realization,minimum_build_size_mw,capacity_adjustability,original_cohort_count,retain_low_count,reach_6p5_count,cancelled_record_count,threshold_cancellation_count,at_risk_record_count,at_risk_capex_100m_cny,avoided_capex_100m_cny,installed_capex_100m_cny,retain_low_capex_100m_cny,reach_6p5_capex_100m_cny,annual_h2_mt_per_year,retain_low_h2_mt_per_year,reach_6p5_h2_mt_per_year,at_risk_h2_mt_per_year
0.75,0.0,0.0,1809,1652,325,0,0,157,11.75876813188954,0.0,607.3529179777055,595.594149845816,201.54435282966878,0.2921075439781814,0.2874612618552154,0.1054473064589241,0.004646282122966014
0.75,0.0,0.25,1809,1710,503,0,0,99,6.066498481732479,39.28154927791644,568.0713686997891,562.0048702180567,272.93362658009306,0.2800743539841677,0.27763786993762485,0.14499668304019087,0.002436484046542876
0.75,0.0,0.5,1809,1809,656,0,0,0,0.0,78.5630985558329,528.7898194218726,528.7898194218726,312.7944147115915,0.26681527401903077,0.26681527401903077,0.16888377392022252,0.0
0.75,0.0,0.75,1809,1809,802,0,0,0,0.0,117.84464783374933,489.50827014395617,489.50827014395617,322.23945743443693,0.25235488392630795,0.25235488392630795,0.1769436618617736,0.0
0.75,0.0,1.0,1809,1809,929,0,0,0,0.0,157.1261971116658,450.2267208660397,450.2267208660397,324.43490125830556,0.23678118137516707,0.23678118137516707,0.1806577954296736,0.0
0.75,0.1,0.0,1809,1652,325,0,0,157,11.75876813188954,0.0,607.3529179777055,595.594149845816,201.54435282966878,0.2921075439781814,0.2874612618552154,0.1054473064589241,0.004646282122966014
0.75,0.1,0.25,1809,1710,503,0,0,99,6.066498481732479,39.28154927791644,568.0713686997891,562.0048702180567,272.93362658009306,0.2800743539841677,0.27763786993762485,0.14499668304019087,0.002436484046542876
0.75,0.1,0.5,1809,1809,656,0,0,0,0.0,78.5630985558329,528.7898194218726,528.7898194218726,312.7944147115915,0.26681527401903077,0.26681527401903077,0.16888377392022252,0.0
0.75,0.1,0.75,1809,1809,802,0,0,0,0.0,117.84464783374933,489.50827014395617,489.50827014395617,322.23945743443693,0.25235488392630795,0.25235488392630795,0.1769436618617736,0.0
0.75,0.1,1.0,1809,1809,929,0,0,0,0.0,157.1261971116658,450.2267208660397,450.2267208660397,324.43490125830556,0.23678118137516707,0.23678118137516707,0.1806577954296736,0.0
0.75,0.5,0.0,1809,1652,325,0,0,157,11.75876813188954,0.0,607.3529179777055,595.594149845816,201.54435282966878,0.2921075439781814,0.2874612618552154,0.1054473064589241,0.004646282122966014
0.75,0.5,0.25,1809,1699,503,0,0,110,6.94912520284136,39.03060876831778,568.3223092093878,561.3731840065464,272.93362658009306,0.28015983637921393,0.27737848167132456,0.14499668304019087,0.00278135470788935
0.75,0.5,0.5,1809,1796,656,0,0,13,0.709786846775737,78.06121753663555,529.2917004410699,528.5819135942943,312.7944147115915,0.26699574508153784,0.2667085688356827,0.16888377392022252,0.0002871762458551096
0.75,0.5,0.75,1809,1809,802,0,0,0,0.0,117.09182630495333,490.26109167275223,490.26109167275223,322.23945743443693,0.2526389274081003,0.2526389274081003,0.1769436618617736,0.0
0.75,0.5,1.0,1809,1809,927,0,0,0,0.0,156.1224350732711,451.23048290443444,451.23048290443444,324.3737773640492,0.23717812186879572,0.23717812186879572,0.1806267701319167,0.0
0.75,1.0,0.0,1809,1652,325,0,0,157,11.75876813188954,0.0,607.3529179777055,595.594149845816,201.54435282966878,0.2921075439781814,0.2874612618552154,0.1054473064589241,0.004646282122966014
0.75,1.0,0.25,1809,1655,500,154,154,0,0.0,47.34381693520893,560.013856426905,560.013856426905,272.7434674288368,0.2767542692379206,0.27675426923792057,0.14489782692060774,0.0
0.75,1.0,0.5,1809,1655,648,154,154,0,0.0,83.5987522512943,523.7636764952283,523.7636764952283,312.32122537679373,0.26459757427751424,0.26459757427751424,0.16863271567750746,0.0
0.75,1.0,0.75,1809,1655,791,154,154,0,0.0,119.85368756737965,487.5134965635515,487.5134965635515,321.6788490548971,0.2512896726415682,0.25128967264156815,0.17663771522831964,0.0
0.75,1.0,1.0,1809,1655,910,154,0,0,0.0,156.10862288346502,451.2633166318747,451.2633166318747,323.58371355618414,0.23691706862033976,0.23691706862033976,0.18019656584125548,0.0
0.75,2.0,0.0,1809,1166,319,640,640,3,0.6698865127659593,57.13017004917985,550.2227479285257,549.5528614157597,200.89545463246148,0.2675714898447899,0.26730159565601486,0.10511514381875267,0.0002698941887750587
0.75,2.0,0.25,1809,1175,472,634,634,0,0.0,89.7091252087783,517.7440075312949,517.7440075312949,269.2136714290818,0.25808473441311736,0.25808473441311736,0.1431078608003537,0.0
0.75,2.0,0.5,1809,1185,611,624,624,0,0.0,121.77895271632198,486.0123514124805,486.0123514124805,308.1462772061627,0.2477745393080401,0.2477745393080401,0.16648311763832113,0.0
0.75,2.0,0.75,1809,1194,723,615,615,0,0.0,153.94177546919124,454.1800590630395,454.1800590630395,314.3108482394904,0.23628236074786774,0.23628236074786776,0.1728474902048189,0.0
0.75,2.0,1.0,1809,1359,820,450,0,0,0.0,167.87349755183533,445.12700966434966,445.12700966434966,315.5534451846223,0.23351824541557686,0.23351824541557686,0.17601510602222462,0.0
