prior_case,draw_count,project_draw_reach_6p5_probability,monte_carlo_standard_error,expected_reach_6p5_count
reference_gate,500,0.0003352112676056,8.946469076082739e-05,0.238
reference_gate,1000,0.0005112676056338,8.769919495689965e-05,0.363
reference_gate,2500,0.0004242253521126,4.732065182167037e-05,0.3012
reference_gate,5000,0.0003673239436619,2.941214322973938e-05,0.2608
reference_delivered,500,0.0,0.0,0.0
reference_delivered,1000,0.0,0.0,0.0
reference_delivered,2500,0.0,0.0,0.0
reference_delivered,5000,0.0,0.0,0.0
upper_price_gate,500,0.0010056338028169,0.0002184894176344,0.714
upper_price_gate,1000,0.0010070422535211,0.0001400517280712,0.715
upper_price_gate,2500,0.0009109859154929,8.061519957771656e-05,0.6468
upper_price_gate,5000,0.0009287323943661,5.817940752076746e-05,0.6594
uniform_price_gate,500,0.000625352112676,0.0001453027950784,0.444
uniform_price_gate,1000,0.0005507042253521,0.0001050186660152,0.391
uniform_price_gate,2500,0.0005504225352112,6.479235505266118e-05,0.3908
uniform_price_gate,5000,0.0005870422535211,4.835010934109533e-05,0.4168
independent_price_learning,500,0.000512676056338,0.0001202852787535,0.364
independent_price_learning,1000,0.0004,7.280499556706235e-05,0.284
independent_price_learning,2500,0.0003735211267605,4.8660392832530216e-05,0.2652
independent_price_learning,5000,0.000381690140845,3.4212012874979034e-05,0.271
strong_coupling,500,0.0002169014084507,6.726926680246872e-05,0.154
strong_coupling,1000,0.0002028169014084,4.1832317191936543e-05,0.144
strong_coupling,2500,0.0002050704225352,2.72523387305761e-05,0.1456
strong_coupling,5000,0.0002245070422535,2.0142284585923903e-05,0.1594
