year,province,solar_utilization,wind_utilization
2021,Shanghai,1.0,1.0
2021,Yunnan,0.998,0.999
2021,Inner Mongolia,0.9795,0.9435
2021,Beijing,1.0,1.0
2021,Jilin,0.989,0.971
2021,Sichuan,1.0,1.0
2021,Tianjin,0.999,1.0
2021,Ningxia,0.975,0.976
2021,Anhui,1.0,1.0
2021,Shandong,0.991,0.985
2021,Shanxi,0.991,0.975
2021,Guangdong,1.0,1.0
2021,Guangxi,1.0,1.0
2021,Xinjiang,0.983,0.927
2021,Jiangsu,1.0,1.0
2021,Jiangxi,1.0,0.999
2021,Hebei,0.982,0.954
2021,Henan,0.999,0.983
2021,Zhejiang,1.0,1.0
2021,Hainan,1.0,1.0
2021,Hubei,1.0,1.0
2021,Hunan,1.0,0.99
2021,Gansu,0.985,0.959
2021,Fujian,1.0,1.0
2021,Tibet,0.802,1.0
2021,Guizhou,0.996,0.995
2021,Liaoning,0.996,0.98
2021,Chongqing,1.0,1.0
2021,Shaanxi,0.98,0.977
2021,Qinghai,0.862,0.893
2021,Heilongjiang,0.996,0.981
2022,Shanghai,1.0,1.0
2022,Yunnan,0.995,0.999
2022,Inner Mongolia,0.98,0.9145000000000001
2022,Beijing,1.0,1.0
2022,Jilin,0.982,0.952
2022,Sichuan,1.0,1.0
2022,Tianjin,1.0,1.0
2022,Ningxia,0.974,0.985
2022,Anhui,1.0,1.0
2022,Shandong,0.985,0.979
2022,Shanxi,0.995,0.983
2022,Guangdong,1.0,0.999
2022,Guangxi,1.0,1.0
2022,Xinjiang,0.972,0.954
2022,Jiangsu,1.0,1.0
2022,Jiangxi,1.0,0.999
2022,Hebei,0.98,0.956
2022,Henan,0.995,0.982
2022,Zhejiang,1.0,1.0
2022,Hainan,1.0,1.0
2022,Hubei,1.0,1.0
2022,Hunan,1.0,0.974
2022,Gansu,0.982,0.938
2022,Fujian,1.0,1.0
2022,Tibet,0.8,1.0
2022,Guizhou,0.994,0.997
2022,Liaoning,0.993,0.985
2022,Chongqing,1.0,1.0
2022,Shaanxi,0.978,0.958
2022,Qinghai,0.911,0.927
2022,Heilongjiang,0.989,0.982
2023,Shanghai,1.0,1.0
2023,Yunnan,0.994,1.0
2023,Inner Mongolia,0.9764999999999999,0.9495
2023,Beijing,1.0,0.999
2023,Jilin,0.971,0.96
2023,Sichuan,1.0,1.0
2023,Tianjin,1.0,1.0
2023,Ningxia,0.964,0.978
2023,Anhui,1.0,1.0
2023,Shandong,0.993,0.976
2023,Shanxi,0.989,0.989
2023,Guangdong,0.999,0.996
2023,Guangxi,1.0,1.0
2023,Xinjiang,0.969,0.958
2023,Jiangsu,1.0,1.0
2023,Jiangxi,0.999,1.0
2023,Hebei,0.975,0.943
2023,Henan,0.977,0.968
2023,Zhejiang,1.0,1.0
2023,Hainan,0.998,0.999
2023,Hubei,0.983,0.99
2023,Hunan,1.0,0.997
2023,Gansu,0.95,0.95
2023,Fujian,1.0,1.0
2023,Tibet,0.78,1.0
2023,Guizhou,0.994,0.997
2023,Liaoning,0.993,0.98
2023,Chongqing,1.0,1.0
2023,Shaanxi,0.965,0.968
2023,Qinghai,0.914,0.942
2023,Heilongjiang,0.991,0.986
2024,Shanghai,1.0,1.0
2024,Yunnan,0.967,0.991
2024,Inner Mongolia,0.9550000000000001,0.9385
2024,Beijing,0.998,0.984
2024,Jilin,0.975,0.936
2024,Sichuan,0.981,0.996
2024,Tianjin,0.99,0.99
2024,Ningxia,0.953,0.976
2024,Anhui,0.999,1.0
2024,Shandong,0.985,0.964
2024,Shanxi,0.982,0.987
2024,Guangdong,0.999,0.995
2024,Guangxi,0.986,0.982
2024,Xinjiang,0.922,0.934
2024,Jiangsu,0.999,0.997
2024,Jiangxi,0.99,0.995
2024,Hebei,0.961,0.926
2024,Henan,0.981,0.964
2024,Zhejiang,1.0,1.0
2024,Hainan,0.998,1.0
2024,Hubei,0.976,0.983
2024,Hunan,0.994,0.972
2024,Gansu,0.913,0.94
2024,Fujian,1.0,1.0
2024,Tibet,0.6859999999999999,0.83
2024,Guizhou,0.98,0.996
2024,Liaoning,0.972,0.953
2024,Chongqing,1.0,1.0
2024,Shaanxi,0.945,0.944
2024,Qinghai,0.903,0.928
2024,Heilongjiang,0.967,0.952
2025,Shanghai,1.0,1.0
2025,Yunnan,0.931,0.972
2025,Inner Mongolia,0.9165000000000001,0.923
2025,Beijing,0.994,0.924
2025,Jilin,0.966,0.918
2025,Sichuan,0.986,0.984
2025,Tianjin,0.969,0.976
2025,Ningxia,0.939,0.956
2025,Anhui,0.985,0.99
2025,Shandong,0.969,0.957
2025,Shanxi,0.978,0.944
2025,Guangdong,0.996,0.986
2025,Guangxi,0.965,0.962
2025,Xinjiang,0.863,0.91
2025,Jiangsu,0.994,0.983
2025,Jiangxi,0.989,0.996
2025,Hebei,0.943,0.92
2025,Henan,0.984,0.953
2025,Zhejiang,1.0,0.995
2025,Hainan,0.972,0.964
2025,Hubei,0.97,0.981
2025,Hunan,0.98,0.934
2025,Gansu,0.896,0.937
2025,Fujian,1.0,1.0
2025,Tibet,0.649,0.686
2025,Guizhou,0.961,0.992
2025,Liaoning,0.965,0.93
2025,Chongqing,1.0,1.0
2025,Shaanxi,0.91,0.953
2025,Qinghai,0.834,0.928
2025,Heilongjiang,0.951,0.938
