province,low_return_records,strict_marginal_records,low_return_capacity_gw,strict_capacity_gw,low_return_h2_mt,strict_h2_mt,constrained_county_share_2030,constrained_county_share_2050,exposure_weighted_strict_records_2030,exposure_weighted_strict_capacity_gw_2030,exposure_weighted_strict_h2_mt_2030,exposure_weighted_strict_records_2050,exposure_weighted_strict_capacity_gw_2050,exposure_weighted_strict_h2_mt_2050,identification
Shanghai,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Yunnan,8,8,0.0106248841895474,0.0106248841895474,0.0003264063700806,0.0003264063700806,0.0465116279069767,0.0465116279069767,0.3720930232558136,0.0004941806599789,1.5181691631658613e-05,0.3720930232558136,0.0004941806599789,1.5181691631658613e-05,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Inner Mongolia,483,53,3.6006483619631617,0.1013221542033055,0.1436319024385024,0.003244818891442,0.349514563106796,0.58252427184466,18.524271844660188,0.0354135684594077,0.001134111457203,30.873786407766985,0.0590226140990129,0.001890185762005,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Beijing,3,3,0.003,0.003,8.931948954486602e-05,8.931948954486602e-05,0.4375,0.3125,1.3125,0.0013125,3.907727667587888e-05,0.9375,0.0009375,2.7912340482770636e-05,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Jilin,122,2,0.6269788306328014,0.0022869082458403,0.023505404310861,7.39007372123422e-05,0.133333333333333,0.133333333333333,0.266666666666666,0.0003049210994453,9.85343162831227e-06,0.266666666666666,0.0003049210994453,9.85343162831227e-06,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Sichuan,0,0,0.0,0.0,0.0,0.0,0.262295081967213,0.289617486338798,0.0,0.0,0.0,0.0,0.0,0.0,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Tianjin,0,0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Ningxia,0,0,0.0,0.0,0.0,0.0,0.590909090909091,0.681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Anhui,0,0,0.0,0.0,0.0,0.0,0.238095238095238,0.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,province-weighted exposure; county identity is unavailable and no station is deterministically removed
Shandong,13,13,0.0170423723546766,0.0170423723546766,0.00054944356095,0.00054944356095,0.262773722627737,0.262773722627737,3.416058394160581,0.0044782876260464,0.0001443793298846,3.416058394160581,0.0044782876260464,0.0001443793298846,province-weighted exposure; county identity is unavailable and no station is deterministically removed
