raw_hour_index,inferred_china_standard_time_hour,national_solar_output_relative_to_peak
16,0,0.0
17,1,0.0
18,2,5.156415057292509e-06
19,3,0.0004623349660484972
20,4,0.0029011743349338483
21,5,0.010293266710902171
22,6,0.029931019049925282
23,7,0.07210524344761479
0,8,0.00012045674784012332
1,9,0.3433942988043674
2,10,0.5595027278877934
3,11,0.7420184716868681
4,12,0.9098504634956751
5,13,0.9990747761315404
6,14,1.0
7,15,0.9201252828190191
8,16,0.7620231454178118
9,17,0.54220450866462
10,18,0.3222664643546908
11,19,0.13985696694989033
12,20,0.04085636101860342
13,21,0.010044279643024954
14,22,0.0015919060397141334
15,23,0.00024382604382319645
