year,tech_case_id,tech_case_cn,deployment_path_id,deployment_path_cn,cumulative_electrolyzer_gw,equipment_learning_rate,equipment_capex_factor,bop_epc_learning_rate,bop_epc_factor,energy_learning_rate,energy_consumption_factor,energy_consumption_kwh_per_kg,stack_cost_learning_rate,stack_cost_factor,stack_life_hours
2026,T0_no_learning,无学习,base,基准装机路径,4.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2027,T0_no_learning,无学习,base,基准装机路径,50.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2028,T0_no_learning,无学习,base,基准装机路径,80.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2029,T0_no_learning,无学习,base,基准装机路径,110.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2030,T0_no_learning,无学习,base,基准装机路径,140.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2031,T0_no_learning,无学习,base,基准装机路径,196.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2032,T0_no_learning,无学习,base,基准装机路径,252.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2033,T0_no_learning,无学习,base,基准装机路径,308.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2034,T0_no_learning,无学习,base,基准装机路径,364.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2035,T0_no_learning,无学习,base,基准装机路径,420.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2036,T0_no_learning,无学习,base,基准装机路径,476.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2037,T0_no_learning,无学习,base,基准装机路径,532.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2038,T0_no_learning,无学习,base,基准装机路径,588.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2039,T0_no_learning,无学习,base,基准装机路径,644.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2040,T0_no_learning,无学习,base,基准装机路径,700.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2041,T0_no_learning,无学习,base,基准装机路径,770.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2042,T0_no_learning,无学习,base,基准装机路径,840.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2043,T0_no_learning,无学习,base,基准装机路径,910.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2044,T0_no_learning,无学习,base,基准装机路径,980.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2045,T0_no_learning,无学习,base,基准装机路径,1050.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2046,T0_no_learning,无学习,base,基准装机路径,1120.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2047,T0_no_learning,无学习,base,基准装机路径,1190.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2048,T0_no_learning,无学习,base,基准装机路径,1260.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2049,T0_no_learning,无学习,base,基准装机路径,1330.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2050,T0_no_learning,无学习,base,基准装机路径,1400.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
