year,tech_case_id,tech_case_cn,deployment_path_id,deployment_path_cn,cumulative_electrolyzer_gw,equipment_learning_rate,equipment_capex_factor,bop_epc_learning_rate,bop_epc_factor,energy_learning_rate,energy_consumption_factor,energy_consumption_kwh_per_kg,stack_cost_learning_rate,stack_cost_factor,stack_life_hours,energy_path_basis,life_path_basis,stack_learning_basis,deployment_interpretation
2026,T0_no_learning,无学习,base,基准装机路径,4.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2027,T0_no_learning,无学习,base,基准装机路径,50.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2028,T0_no_learning,无学习,base,基准装机路径,80.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2029,T0_no_learning,无学习,base,基准装机路径,110.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2030,T0_no_learning,无学习,base,基准装机路径,140.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2031,T0_no_learning,无学习,base,基准装机路径,196.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2032,T0_no_learning,无学习,base,基准装机路径,252.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2033,T0_no_learning,无学习,base,基准装机路径,308.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2034,T0_no_learning,无学习,base,基准装机路径,364.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2035,T0_no_learning,无学习,base,基准装机路径,420.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2036,T0_no_learning,无学习,base,基准装机路径,476.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2037,T0_no_learning,无学习,base,基准装机路径,532.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2038,T0_no_learning,无学习,base,基准装机路径,588.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2039,T0_no_learning,无学习,base,基准装机路径,644.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2040,T0_no_learning,无学习,base,基准装机路径,700.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2041,T0_no_learning,无学习,base,基准装机路径,770.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2042,T0_no_learning,无学习,base,基准装机路径,840.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
