region_original,solar_curtailment_rate_2025,wind_curtailment_rate_2025,wind_power_price_2025_cny_per_kwh,solar_power_price_2025_cny_per_kwh,merge_province_cn
北京市,0.0067,0.0067,0.3598,0.3598,北京
天津市,0.0195,0.0337,0.4088,0.4088,天津
冀南,0.0901,0.0625,0.3613,0.3408,河北
冀北,0.0901,0.0625,0.3618,0.3413,河北
山西省,0.0741,0.0303,0.266,0.207,山西
山东省,0.052,0.0398,0.3542,0.3392,山东
蒙西,0.0674,0.0583,0.2415,0.2774,内蒙古
蒙东,0.0658,0.0566,0.2537,0.2579,内蒙古
辽宁省,0.0367,0.0747,0.3201,0.3783,辽宁
吉林省,0.0422,0.0498,0.3105,0.3103,吉林
黑龙江省,0.0701,0.0648,0.3231,0.328,黑龙江
上海市,0.0003,0.0,0.41,0.463,上海
江苏省,0.0134,0.0082,0.3598,0.4335,江苏
浙江省,0.0123,0.0083,0.4399,0.4399,浙江
安徽省,0.0191,0.0215,0.4124,0.4124,安徽
福建省,0.0021,0.0017,0.3961,0.3884,福建
江西省,0.0148,0.0098,0.393,0.393,江西
河南省,0.0426,0.0421,0.3314,0.3275,河南
湖北省,0.0571,0.0117,0.3803,0.347,湖北
湖南省,0.0206,0.0265,0.387,0.3911,湖南
重庆市,0.0017,0.0148,0.3781,0.3739,重庆
四川省,0.0568,0.0343,0.3229,0.3078,四川
陕西省,0.0823,0.1157,0.3112,0.3071,陕西
甘肃省,0.1928,0.1061,0.2752,0.233,甘肃
青海省,0.201,0.1757,0.233,0.2317,青海
宁夏回族自治区,0.0678,0.0442,0.2537,0.1844,宁夏
新疆维吾尔自治区,0.22,0.16,0.2154,0.1681,新疆
广东省,0.0118,0.0282,0.4205,0.4205,广东
广西壮族自治区,0.0349,0.0258,0.362,0.3616,广西
海南省,0.0133,0.0083,0.4143,0.4143,海南
贵州省,0.0173,0.0089,0.3836,0.3836,贵州
云南省,0.046,0.0279,0.2636,0.2394,云南
西藏自治区,0.3618,0.0533,0.341,0.341,西藏
