region_original,merge_province_cn,wind_utilization_2025,solar_utilization_2025,source_note
全国,全国,0.943,0.948,2025全年，仅计系统原因受限电量
北京市,北京,0.924,0.994,2025全年
天津市,天津,0.976,0.969,2025全年
河北省,河北,0.920,0.943,2025全年
山西省,山西,0.944,0.978,2025全年
山东省,山东,0.957,0.969,2025全年
蒙西,内蒙古,0.918,0.905,2025全年；与蒙东取简单平均形成省级主值
蒙东,内蒙古,0.928,0.928,2025全年；与蒙西取简单平均形成省级主值
辽宁省,辽宁,0.930,0.965,2025全年
吉林省,吉林,0.918,0.966,2025全年
黑龙江省,黑龙江,0.938,0.951,2025全年
上海市,上海,1.000,1.000,2025全年
江苏省,江苏,0.983,0.994,2025全年
浙江省,浙江,0.995,1.000,2025全年
安徽省,安徽,0.990,0.985,2025全年
福建省,福建,1.000,1.000,2025全年
江西省,江西,0.996,0.989,2025全年
河南省,河南,0.953,0.984,2025全年
湖北省,湖北,0.981,0.970,2025全年
湖南省,湖南,0.934,0.980,2025全年
重庆市,重庆,1.000,1.000,2025全年
四川省,四川,0.984,0.986,2025全年
陕西省,陕西,0.953,0.910,2025全年
甘肃省,甘肃,0.937,0.896,2025全年
青海省,青海,0.928,0.834,2025全年
宁夏回族自治区,宁夏,0.956,0.939,2025全年
新疆维吾尔自治区,新疆,0.910,0.863,2025全年
西藏自治区,西藏,0.686,0.649,2025全年
广东省,广东,0.986,0.996,2025全年
广西壮族自治区,广西,0.962,0.965,2025全年
海南省,海南,0.964,0.972,2025全年
贵州省,贵州,0.992,0.961,2025全年
云南省,云南,0.972,0.931,2025全年
