ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,status,start_year,project_name,latitude,longitude,wind_utilization_2025,solar_utilization_2025,potential_mwh_2020_weather_replay,curtailed_mwh_2025_calibrated,delivered_mwh_2025_calibrated,curtailment_rate_2025_calibrated,curtailed_positive_hours_2025_calibrated,curtailed_h2_potential_t_55kwh
1,光伏,安徽,安徽,20.0,operating,2016.0,Anhui Qiaocheng Gujing Photovoltaic solar farm,32.0001,117.0001,0.99,0.985,22921.308079049588,343.8192932087183,22577.48878584087,0.014999985691173279,804,6.251259876522151
10,光伏,安徽,安徽,100.0,operating,2016.0,Anhui Shouxian Anfengzhen solar farm,32.1447,116.785,0.99,0.985,113854.17460516738,1707.8109936590195,112146.36361150836,0.014999985723681218,807,31.051108975618536
1000,光伏,广东,广东,80.0,operating,2022.0,Guangdong Luoding Chuanbuzhen (Xinlong) Agriculture solar farm,22.6099,111.6157,0.986,0.996,102711.50327140809,410.84684592556954,102300.6564254825,0.004000008108536149,483,7.469942653192174
10001,光伏,山东,山东,5.7,operating,2017.0,Longkou Bofeng Photovoltaic Technology II solar project,37.6443,120.4709,0.957,0.969,7890.330200714111,244.6003787267208,7645.72982198739,0.03100001806066156,1014,4.447279613213105
10005,光伏,山东,山东,1.2,operating,2018.0,Longkou Huafu Shopping Plaza solar project,37.6443,120.4709,0.957,0.969,1661.1221461759956,51.4948166731298,1609.6273295028657,0.031000018145368784,1014,0.9362693940569055
1001,光伏,广东,广东,40.0,operating,2020.0,Guangdong Zijin Haoyi (Guangzhou Development) Agriculture solar farm,23.386,114.733,0.986,0.996,52233.13294823468,208.9329552130699,52024.199993021604,0.004000008106351416,457,3.7987810038739984
10013,光伏,山东,山东,1.0,operating,2016.0,Longkou Yuntong New Energy Technology solar project,37.6443,120.4709,0.957,0.969,1384.2684460472074,42.91234689942002,1341.3560991477873,0.03100001811206249,1014,0.780224489080364
10015,光伏,辽宁,辽宁,1.5,operating,2017.0,Longxing Huludao Shenjiatun solar project,40.8738,120.624,0.93,0.965,2054.4837206934953,71.90698415700346,1982.5767365364916,0.03500002625123314,1041,1.3073997119455176
1002,光伏,广西,广西,150.0,operating,2022.0,Guangxi Baiji Xinping solar farm,22.4674,108.5769,0.962,0.965,174347.4854918747,6102.1665621248485,168245.31892974983,0.035000026211500675,1045,110.94848294772453
10020,光伏,冀南,河北,6.0,operating,2019.0,Longyao County Shuosheng New Energy Technology solar project,37.3528,114.7739,0.92,0.943,8029.119284767404,457.6596498482525,7571.4596349191515,0.05699998139478513,1334,8.3210845426955
10021,光伏,冀南,河北,5.9,operating,2017.0,Longyao Qingshuo New Energy Technology newly installed photovoltaic solar project,37.3528,114.7739,0.92,0.943,7895.300656900629,450.03198976942895,7445.2686671312,0.056999981295974236,1334,8.182399813989617
10022,光伏,浙江,浙江,3.0,operating,2016.0,Longyou County Tongjing New Energy solar project,29.031,119.1674,0.995,1.0,3139.5547469940334,0.0,3139.5547469940334,0.0,0,0.0
10023,光伏,浙江,浙江,2.2,operating,2017.0,Longyou Dezhou Hardware solar project,27.7833,120.625,0.995,1.0,2314.0347536818235,0.0,2314.0347536818235,0.0,0,0.0
