ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,resource_branch,low_return_entry,colocated_6p5_same_configuration,colocated_6p5_independent_optimized,independent_h2_8_independent_optimized,strict_marginal_vs_6p5,strict_marginal_vs_8,optimized_capture_target,optimized_electrolyzer_mw,optimized_h2_t_per_year,npv_low_100m_cny,npv_colocated_6p5_100m_cny,npv_independent_h2_8_100m_cny
1,安徽,光伏,20.0,32.0001,117.0001,curtailment_only,False,False,False,False,False,False,0.95,1.0462434458303942,5.029859466050488,-0.18436683460531816,-0.11084985690631483,-0.09911710234827834
10,安徽,光伏,100.0,32.1447,116.785,curtailment_only,False,False,False,False,False,False,0.4,1.1610049454956575,11.754361097304885,-0.15239789195144363,-0.0989827627866969,-0.08995701616554806
1000,广东,光伏,80.0,22.6099,111.6157,curtailment_only,False,False,False,False,False,False,0.8,1.0580416478460994,5.560872340978753,-0.18243909456219964,-0.11026643009193883,-0.09870849749913603
10001,山东,光伏,5.7,37.6443,120.4709,curtailment_only,False,False,False,False,False,False,0.01,0.0024299146628260614,0.04338290110678587,-0.0001658607297525136,-0.00013566833052269705,-0.00012843907105421356
10005,山东,光伏,1.2,37.6443,120.4709,curtailment_only,False,False,False,False,False,False,0.01,0.0005115609573456645,0.009133241686089054,-3.4918048256493846e-05,-2.856175319361446e-05,-2.703980378843394e-05
1001,广东,光伏,40.0,23.386,114.733,curtailment_only,False,False,False,False,False,False,1.0,1.1282569580078126,3.250153535877187,-0.21725587085362255,-0.1280038632683313,-0.11393948007546971
10013,山东,光伏,1.0,37.6443,120.4709,curtailment_only,False,False,False,False,False,False,0.01,0.0004263008049717546,0.007611034003363933,-2.909838015256698e-05,-2.3801464386228698e-05,-2.2533172736344694e-05
10015,辽宁,光伏,1.5,40.8738,120.624,curtailment_only,False,False,False,False,False,False,0.01,0.0006923508674873607,0.012751925041420751,-4.439643831238015e-05,-3.724666702635469e-05,-3.540078217564106e-05
1002,广西,光伏,150.0,22.4674,108.5769,curtailment_only,False,False,False,False,False,False,0.2,1.338159173886625,21.439613258720474,-0.10925553284053947,-0.08336311447749552,-0.07803366889019851
10020,河北,光伏,6.0,37.3528,114.7739,curtailment_only,False,False,False,False,False,False,1.0,1.2080496826171876,6.314276758091988,-0.20877766058874603,-0.12607300943387661,-0.1128381879646816
10021,河北,光伏,5.9,37.3528,114.7739,curtailment_only,False,False,False,False,False,False,1.0,1.18791552734375,6.20903856554775,-0.20529803632117552,-0.12397179432796376,-0.11095755296945263
10022,浙江,光伏,3.0,29.031,119.1674,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10023,浙江,光伏,2.2,27.7833,120.625,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10025,浙江,光伏,1.8,29.031,119.1674,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10027,浙江,光伏,1.7,29.031,119.1674,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
1003,广西,光伏,150.0,22.4674,108.5769,curtailment_only,False,False,False,False,False,False,0.2,1.338159173886625,21.439613258720474,-0.10925553284053947,-0.08336311447749552,-0.07803366889019851
10030,西藏,光伏,10.0,30.4749,91.0998,curtailment_only,True,True,True,True,False,False,0.5,1.4822776375572466,51.82023191633102,0.06786125837122244,0.0019139735836108352,-0.00615352285955661
10031,西藏,光伏,10.0,28.9057,88.0203,curtailment_only,True,True,True,True,False,False,0.6,2.0989170544677913,77.76748448123818,0.12584313401540242,0.016569519269159567,0.0029703518441285253
10033,甘肃,光伏,10.0,39.0002,100.52,curtailment_only,False,False,False,False,False,False,0.8,1.127504856211438,21.75016195932785,-0.06517393166274002,-0.057024133823543266,-0.054545362600143664
10034,湖南,光伏,2.6,27.6995,111.9891,curtailment_only,False,False,False,False,False,False,0.01,0.0005567178305533386,0.00901070400591617,-4.466031303981772e-05,-3.433424930513667e-05,-3.217858747017077e-05
10036,安徽,光伏,1.8,31.7383,116.5142,curtailment_only,False,False,False,False,False,False,0.01,0.00039522183754300675,0.0054103831625426585,-3.9981017917952904e-05,-2.8209413229450556e-05,-2.60469448684784e-05
10040,四川,光伏,5.6,31.45,100.7,curtailment_only,False,False,False,False,False,False,0.01,0.00188908015470946,0.021777422990999593,-0.00022562686620833752,-0.00015079650832890826,-0.00013782144923450877
10041,安徽,光伏,3.9,31.2592,117.2828,curtailment_only,False,False,False,False,False,False,0.01,0.0007997925718544771,0.011760364826596138,-7.408122512459594e-05,-5.392420376289001e-05,-5.00696046634225e-05
10045,河南,光伏,12.0,33.6881,113.9131,curtailment_only,False,False,False,False,False,False,1.0,1.13547021484375,3.058276121669039,-0.2204860695187983,-0.12966273082610677,-0.11536720426824676
10048,河南,光伏,2.0,33.6881,113.9131,curtailment_only,False,False,False,False,False,False,0.01,0.000490723499245497,0.006995083864162736,-4.741072092197664e-05,-3.399207038867732e-05,-3.14774993083081e-05
10049,河南,光伏,15.0,34.374,111.495,curtailment_only,False,False,False,False,False,False,0.99,1.0956270841014863,4.309748448722981,-0.20124995784877248,-0.11983573897142466,-0.10692258182321353
1005,广西,光伏,290.0,23.9001,106.6061,curtailment_only,False,False,False,False,False,False,0.1,1.1154559408452498,19.899975765088982,-0.07600584204639056,-0.06220421240301864,-0.05889504426149699
10050,河南,光伏,5.5,34.3913,111.6451,curtailment_only,False,False,False,False,False,False,0.01,0.0013294913271439744,0.019160538355337525,-0.00012669001642793087,-9.127972175132805e-05,-8.460140913401601e-05
10051,河南,光伏,2.0,34.3913,111.6451,curtailment_only,False,False,False,False,False,False,0.01,0.0004834514194898169,0.00696747104674093,-4.6069081347279995e-05,-3.319261963446976e-05,-3.076414357127104e-05
10052,宁夏,光伏,9.0,39.3414,106.7224,curtailment_only,False,False,False,False,False,False,0.9,1.0656329298814569,13.981978148617074,-0.11319799515735554,-0.0784531702224137,-0.07220515606932702
10053,山东,光伏,7.4,34.7116,117.5562,curtailment_only,False,False,False,False,False,False,1.0,1.1326689453125,3.4810991866460657,-0.21631516634727324,-0.12767439414667417,-0.11369174249318537
10054,湖北,光伏,5.9,30.9608,115.4683,curtailment_only,False,False,False,False,False,False,0.01,0.0019330173270139064,0.0358898770349303,-0.00012165037907630241,-0.00010285632164702124,-9.787506667838334e-05
1006,广西,光伏,20.0,21.718,109.329,curtailment_only,False,False,False,False,False,False,0.8,1.1661953724085903,11.607351239118179,-0.15481203716293093,-0.10020895836899119,-0.09100960456648649
10062,河南,光伏,1.6,34.6197,112.4477,curtailment_only,False,False,False,False,False,False,0.01,0.00037205628842894366,0.005429201310172073,-3.489036930221685e-05,-2.5283327373284004e-05,-2.345746447690833e-05
10065,河南,光伏,3.0,33.7417,112.7269,curtailment_only,False,False,False,False,False,False,0.01,0.0006988760782008763,0.010287874356294767,-6.478627287812149e-05,-4.7144196713396706e-05,-4.3771942610054286e-05
10066,河南,光伏,15.3,33.9748,110.9859,curtailment_only,False,False,False,False,False,False,0.99,1.189123700373769,4.318725194204672,-0.22145596100186762,-0.1314559344926281,-0.11720869752871439
10068,江苏,光伏,5.0,31.7991,121.4408,curtailment_only,False,False,False,False,False,False,0.01,0.0006111928755958737,0.006323944927520194,-7.906349857490907e-05,-5.158773278694681e-05,-4.6926070272976095e-05
10069,江西,光伏,1.2,29.6654,115.9475,curtailment_only,False,False,False,False,False,False,0.01,0.00020496554503372116,0.0025822974322264993,-2.261719061873551e-05,-1.5500251132441998e-05,-1.4234888464833018e-05
1007,广西,光伏,20.0,21.7204,109.1337,curtailment_only,False,False,False,False,False,False,0.8,1.1731835297694344,11.66826244327848,-0.15581695411840932,-0.10084272690976435,-0.09158223152734449
10070,河南,光伏,16.5,33.899,115.511,curtailment_only,False,False,False,False,False,False,0.99,1.1133897429516488,4.820567481163928,-0.2007824486217589,-0.12006589607190195,-0.10722905145321736
10071,河南,光伏,1.5,33.8908,115.3806,curtailment_only,False,False,False,False,False,False,0.01,0.00037167785010495236,0.005317860754678015,-3.574386013523467e-05,-2.566911239699543e-05,-2.3777184409588663e-05
10075,安徽,光伏,10.0,33.5305,117.8779,curtailment_only,False,False,False,False,False,False,0.01,0.002344960730469902,0.032376380896580716,-0.00023490758076588416,-0.00016630238288984045,-0.00015364831878902024
10076,宁夏,光伏,10.0,37.527,105.075,curtailment_only,False,False,False,False,False,False,0.9,1.034845409374556,13.237662366669333,-0.11277902024099877,-0.07751203435617385,-0.07122693101840732
10077,西藏,光伏,12.0,29.769,91.889,curtailment_only,True,True,True,True,False,False,0.5,1.9412053307694932,70.6135519803095,0.10765647962256647,0.011185273781101405,-0.0007442134856278344
10078,宁夏,光伏,8.0,37.835,106.879,curtailment_only,False,False,False,False,False,False,0.99,1.2516566300873748,11.105081986790633,-0.17772948091473956,-0.11284014285202913,-0.10207921537937768
10079,宁夏,光伏,6.0,37.8201,106.712,curtailment_only,False,False,False,False,False,False,1.0,1.5422568359375,7.402730967093056,-0.27200624681553603,-0.16346665422948825,-0.1461516899480637
10080,宁夏,光伏,5.0,37.766,106.726,curtailment_only,False,False,False,False,False,False,1.0,1.3166217041015624,6.131923307665668,-0.23380095993934558,-0.14028110583777662,-0.12537761166124195
10081,河北,光伏,15.0,41.265,114.621,curtailment_only,False,False,False,False,False,False,0.7,1.1002237623939832,14.845731544918348,-0.11355049377817639,-0.0794907633798934,-0.07329509546316892
10082,甘肃,光伏,9.0,38.7536,103.1689,curtailment_only,False,False,False,False,False,False,0.9,1.177007870889892,20.95295862622136,-0.08059440733724707,-0.06569209322175736,-0.06216363028074132
10083,山东,光伏,15.0,37.3538,120.4282,curtailment_only,False,False,False,False,False,False,0.95,1.1801676640303151,9.362392107299952,-0.1769599619497257,-0.11075170581458502,-0.09988923599205758
10084,黑龙江,光伏,10.0,44.677,130.509,curtailment_only,False,False,False,False,False,False,0.95,1.0819288428306342,7.784742012703372,-0.16894972824170043,-0.10461943367695974,-0.09414660291743412
10085,内蒙古,光伏,1.1,42.9594,120.8395,curtailment_only,False,False,False,False,False,False,0.01,0.0006841076700619964,0.018879145380327544,8.976450727368748e-07,-1.4653204473837154e-05,-1.6176015204786332e-05
1010,广西,光伏,40.0,21.5195,109.3999,curtailment_only,False,False,False,False,False,False,0.5,1.1765553480249644,15.86895556628891,-0.12115027086154324,-0.08490713699188068,-0.07830429386772451
10103,山东,光伏,5.0,36.7994,116.7439,curtailment_only,False,False,False,False,False,False,0.01,0.0019460845997349727,0.03646192800693847,-0.0001206152079623696,-0.00010263445636126862,-9.775850300636759e-05
10105,浙江,光伏,3.0,29.108,119.6486,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10106,山东,光伏,13.0,36.0598,117.8054,curtailment_only,False,False,False,False,False,False,0.99,1.3262363528593388,7.589684284265862,-0.22360566142446264,-0.1358463670784532,-0.12174581673674793
1011,广西,光伏,20.0,21.659,109.433,curtailment_only,False,False,False,False,False,False,0.8,1.182949310415924,11.69885178024332,-0.1576718083348967,-0.1019414805354013,-0.09256133181994733
10110,江西,光伏,1.9,28.6472,116.0348,curtailment_only,False,False,False,False,False,False,0.01,0.0003174996354217524,0.004111914451622224,-3.409290288496847e-05,-2.3574902130829266e-05,-2.168680158716143e-05
10111,浙江,光伏,1.1,29.8622,121.6204,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10112,山东,光伏,2.0,36.215,117.6698,curtailment_only,False,False,False,False,False,False,0.01,0.0007641728220017409,0.014068216370374568,-4.914511659961596e-05,-4.118041053357346e-05,-3.913230725125396e-05
10113,江苏,光伏,5.8,31.9828,120.8905,curtailment_only,False,False,False,False,False,False,0.01,0.0007231917176921735,0.007276779943535571,-9.528899332385982e-05,-6.184292169072711e-05,-5.6194172091211186e-05
10119,辽宁,光伏,1.9,41.2374,122.9955,curtailment_only,False,False,False,False,False,False,0.01,0.0007468610687481801,0.015041765781753435,-3.868607212132859e-05,-3.563945096540043e-05,-3.4337274146016204e-05
10120,江苏,光伏,1.2,34.2665,117.181,curtailment_only,False,False,False,False,False,False,0.01,0.00016052318883824434,0.0016082552420331516,-2.1209469076936436e-05,-1.3753939353447527e-05,-1.2495625546436417e-05
10125,河南,光伏,4.2,33.7375,113.2981,curtailment_only,False,False,False,False,False,False,0.01,0.000975442400487367,0.014318196650258488,-9.076703117353045e-05,-6.595968219843588e-05,-6.122674633416594e-05
10128,河南,光伏,5.0,33.001,112.5293,curtailment_only,False,False,False,False,False,False,0.01,0.0011513404003722437,0.016220447515661002,-0.00011284149338579604,-8.049741101262179e-05,-7.447506321857307e-05
10129,江西,光伏,1.0,29.6654,115.9475,curtailment_only,False,False,False,False,False,False,0.01,0.00017080491636743648,0.0021519158712886956,-1.884771159375032e-05,-1.291690754695581e-05,-1.1862435291366426e-05
10132,山东,光伏,3.5,36.8618,120.5158,curtailment_only,False,False,False,False,False,False,0.01,0.0012935464317435398,0.023897494659552862,-8.259294308985622e-05,-6.941399285101474e-05,-6.599176782413283e-05
10133,浙江,光伏,2.1,29.4798,121.8649,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10135,辽宁,光伏,1.5,41.2374,122.9955,curtailment_only,False,False,False,False,False,False,0.01,0.0005896271367515245,0.011875078242982494,-3.054163144405612e-05,-2.813640597476323e-05,-2.710837192815854e-05
10137,江西,光伏,3.0,29.6654,115.9475,curtailment_only,False,False,False,False,False,False,0.01,0.0005124142947253428,0.006455744499253423,-5.6543062546707096e-05,-3.8750678122777596e-05,-3.558726585268784e-05
1014,广西,光伏,100.0,23.173,108.9398,curtailment_only,False,False,False,False,False,False,0.3,1.3705573563159956,19.97008097632733,-0.12864146332779916,-0.09312551635895977,-0.0863877376813341
10140,山东,光伏,5.0,36.7843,119.9494,curtailment_only,False,False,False,False,False,False,0.01,0.0019133190928469974,0.035256203218153086,-0.00012281638482345038,-0.00010299314171499808,-9.78825394152811e-05
10142,山东,光伏,5.9,36.9787,120.7069,curtailment_only,False,False,False,False,False,False,0.01,0.002193814358107149,0.040437418983381435,-0.0001407314510837441,-0.00011804808502938671,-0.00011219500567408014
10143,浙江,光伏,1.2,29.4798,121.8649,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10144,河南,光伏,1.4,33.001,112.5293,curtailment_only,False,False,False,False,False,False,0.01,0.00032237529876501464,0.0045417251182399065,-3.159561682561177e-05,-2.2539274143983426e-05,-2.0853016832575595e-05
10145,陕西,光伏,9.8,36.5794,110.0062,curtailment_only,False,False,False,False,False,False,0.8,1.1076049575193108,17.495482436826848,-0.09286992546283027,-0.07006127220360504,-0.06546056600575956
10148,山东,光伏,5.0,36.7843,119.9494,curtailment_only,False,False,False,False,False,False,0.01,0.0019133190928469974,0.035256203218153086,-0.00012281638482345038,-0.00010299314171499808,-9.78825394152811e-05
10152,山东,光伏,2.1,36.2003,117.0809,curtailment_only,False,False,False,False,False,False,0.01,0.0008309626491923511,0.015165854314015436,-5.4377054493950725e-05,-4.52416836319582e-05,-4.294459269777817e-05
10153,江西,光伏,2.5,27.2846,116.9024,curtailment_only,False,False,False,False,False,False,0.01,0.0004559509108522459,0.005454507126722626,-5.275516658371782e-05,-3.5609675230445787e-05,-3.260813228597896e-05
10159,河北,光伏,5.9,37.4658,114.3404,curtailment_only,False,False,False,False,False,False,1.0,1.2249395751953125,6.71683933894078,-0.2090441640480457,-0.12661529078968445,-0.11339843922915194
1016,广西,光伏,60.0,23.2628,109.1664,curtailment_only,False,False,False,False,False,False,0.4,1.233962194838116,16.04460959279728,-0.13210232961280957,-0.09138106277746062,-0.08407080098417659
10160,河北,光伏,12.3,37.4658,114.3404,curtailment_only,False,False,False,False,False,False,0.8,1.0057364651517655,13.125217166779851,-0.10752763758418837,-0.07439670227571434,-0.06844852413150691
10163,安徽,光伏,10.0,33.5429,117.553,curtailment_only,False,False,False,False,False,False,0.01,0.002363100643941548,0.032213438775715565,-0.0002402041387372218,-0.00016919918406900302,-0.00015618137842103312
10164,辽宁,光伏,2.5,41.2374,122.9955,curtailment_only,False,False,False,False,False,False,0.01,0.0009827118080081181,0.019791797139893957,-5.0902701550050205e-05,-4.689399944975662e-05,-4.518061050170885e-05
10165,河北,光伏,10.0,38.5207,114.2042,curtailment_only,False,False,False,False,False,False,0.95,1.160686330813972,11.67346969494493,-0.15333940431922585,-0.09935368987374776,-0.09025262418115121
10166,江西,光伏,16.0,27.3855,115.8368,curtailment_only,False,False,False,False,False,False,1.0,1.2289130859375,2.4669594385649916,-0.2457250402675101,-0.14359103190269626,-0.12757581163585513
10167,浙江,光伏,9.1,28.85,121.1167,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
1017,广西,光伏,60.0,23.2725,109.1798,curtailment_only,False,False,False,False,False,False,0.4,1.233962194838116,16.04460959279728,-0.13210232961280957,-0.09138106277746062,-0.08407080098417659
10171,吉林,光伏,12.0,43.729,126.1997,curtailment_only,False,False,False,False,False,False,0.95,1.0147803327751297,6.32741987172956,-0.16667724009953738,-0.10192095129417177,-0.09147023413438726
10173,陕西,光伏,19.5,38.2769,109.7155,curtailment_only,False,False,False,False,False,False,0.5,1.2069015952132798,23.609942075829075,-0.06771293409788182,-0.060069226656661937,-0.05757148173436785
10174,山东,光伏,3.2,34.9137,118.6343,curtailment_only,False,False,False,False,False,False,0.01,0.001191826168858769,0.021450453299864423,-8.013331436766601e-05,-6.594415345336261e-05,-6.248939466243209e-05
10175,甘肃,光伏,18.0,35.4466,103.9799,curtailment_only,False,False,False,False,False,False,0.5,1.0790168873625468,22.43853335019231,-0.05072209472091211,-0.04883274434136172,-0.047332759312913676
10176,山东,光伏,4.9,35.1032,118.3507,curtailment_only,False,False,False,False,False,False,0.01,0.0018373525931709188,0.03278211587827185,-0.00012556171673947054,-0.00010265914316488577,-9.718188713710311e-05
10180,山东,光伏,7.0,37.1767,116.8508,curtailment_only,False,False,False,False,False,False,1.0,1.0704974365234374,3.685141105283479,-0.20110284035580628,-0.11913195322168968,-0.1061724296937588
10186,山东,光伏,1.1,35.1032,118.3507,curtailment_only,False,False,False,False,False,False,0.01,0.00041246682758203936,0.0073592514314011264,-2.8187301801695285e-05,-2.3045917340919562e-05,-2.1816330753454548e-05
10188,山东,光伏,2.0,35.1032,118.3507,curtailment_only,False,False,False,False,False,False,0.01,0.0007499401045419151,0.01338045566257945,-5.124973156167997e-05,-4.190172223070812e-05,-3.9666104267160155e-05
10189,山东,光伏,1.0,35.5178,117.6097,curtailment_only,False,False,False,False,False,False,0.01,0.00037293455593743216,0.006855675352932739,-2.405477235392471e-05,-2.0131816063496547e-05,-1.9126997434757146e-05
