resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year,water_requirement_kg_per_kg_h2,water_boundary
curtailment_only,water_10,28.0,flat,none,all_low_return_admissions,1889,1889,959,618,959,618,1.0,0.5076760190577025,0.3271572260455267,545.9928135450941,60.64507576991193,9.62351524830129,692.893097877693,0.3520031783745592,10.0,feedwater_lower
curtailment_only,water_10,28.0,flat,none,strict_marginal_vs_6p5,741,741,0,0,0,0,1.0,0.0,0.0,23.777107458195296,-29.485867531631307,1.996362631393401,143.7381094603249,0.05942821624515723,10.0,feedwater_lower
curtailment_only,water_15,28.0,flat,none,all_low_return_admissions,1889,1889,950,598,950,598,1.0,0.5029115934356803,0.31656961355214397,543.0405094807953,59.21584479157481,9.62351524830129,692.893097877693,0.3520031783745592,15.0,DOE_engineering_main
curtailment_only,water_15,28.0,flat,none,strict_marginal_vs_6p5,741,741,0,0,0,0,1.0,0.0,0.0,23.32950450199603,-29.704850715686064,1.996362631393401,143.7381094603249,0.05942821624515723,15.0,DOE_engineering_main
curtailment_only,water_60,28.0,flat,none,all_low_return_admissions,1889,1809,885,494,885,494,0.957649550026469,0.4685018528321863,0.26151402858655376,516.4587460674343,46.345236111604535,9.62351524830129,692.893097877693,0.3520031783745592,60.0,once_through_cooling_upper
curtailment_only,water_60,28.0,flat,none,strict_marginal_vs_6p5,741,661,0,0,0,0,0.8920377867746289,0.0,0.0,19.29588942077172,-31.67820730101514,1.996362631393401,143.7381094603249,0.05942821624515723,60.0,once_through_cooling_upper
full_output_upper_bound,water_10,28.0,flat,none,all_low_return_admissions,7385,7385,6467,5807,6467,5807,1.0,0.8756939742721733,0.7863236289776574,12206.007533997816,3686.8916751038037,103.56723654871553,7456.841031507518,7.653643248852673,10.0,feedwater_lower
full_output_upper_bound,water_10,28.0,flat,none,strict_marginal_vs_6p5,760,760,19,0,19,0,1.0,0.025,0.0,25.998300141483107,-10.38713938212195,1.0850577635365433,78.12415897463111,0.08941437003295884,10.0,feedwater_lower
full_output_upper_bound,water_15,28.0,flat,none,all_low_return_admissions,7385,7385,6430,5798,6430,5798,1.0,0.8706838185511171,0.785104942450914,12146.628272326714,3658.7960322851445,103.56723654871553,7456.841031507518,7.653643248852673,15.0,DOE_engineering_main
full_output_upper_bound,water_15,28.0,flat,none,strict_marginal_vs_6p5,760,760,0,0,0,0,1.0,0.0,0.0,25.323548990782815,-10.714914319099945,1.0850577635365433,78.12415897463111,0.08941437003295884,15.0,DOE_engineering_main
full_output_upper_bound,water_60,28.0,flat,none,all_low_return_admissions,7385,7310,6158,5499,6158,5499,0.989844278943805,0.8338524035206499,0.7446174678402167,11611.422843843682,3405.175797076845,103.56723654871553,7456.841031507518,7.653643248852673,60.0,once_through_cooling_upper
full_output_upper_bound,water_60,28.0,flat,none,strict_marginal_vs_6p5,760,685,0,0,0,0,0.9013157894736842,0.0,0.0,19.21938492104387,-13.68027952894609,1.0850577635365433,78.12415897463111,0.08941437003295884,60.0,once_through_cooling_upper
