resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,curtailment_only_P22_front_loaded_none,22.0,front_loaded,none,all_low_return_admissions,1889,1001,256,142,256,142,0.5299100052938063,0.1355214399152991,0.07517204870301747,124.57746080256751,-104.32336358458717,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P22_front_loaded_none,22.0,front_loaded,none,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-50.214638006483,-58.99673838632658,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_front_loaded_energy_only,22.0,front_loaded,energy_only,all_low_return_admissions,1889,1044,283,183,283,183,0.5526733721545791,0.1498147167813658,0.0968766543144521,179.38351076529148,-91.57152257106094,9.62351524830129,692.893097877693,0.3600852211304861
curtailment_only,curtailment_only_P22_front_loaded_energy_only,22.0,front_loaded,energy_only,strict_marginal_vs_6p5,741,4,0,0,0,0,0.005398110661268556,0.0,0.0,-48.57027054625349,-58.681025707110955,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P22_front_loaded_life_only,22.0,front_loaded,life_only,all_low_return_admissions,1889,1001,256,142,256,142,0.5299100052938063,0.1355214399152991,0.07517204870301747,124.57746080256751,-104.32336358458717,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P22_front_loaded_life_only,22.0,front_loaded,life_only,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-50.214638006483,-58.99673838632658,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_front_loaded_stack_cost_only,22.0,front_loaded,stack_cost_only,all_low_return_admissions,1889,1034,270,153,270,153,0.5473795659078877,0.142932768660667,0.08099523557437797,153.84868121070275,-95.96666233069658,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P22_front_loaded_stack_cost_only,22.0,front_loaded,stack_cost_only,strict_marginal_vs_6p5,741,3,0,0,0,0,0.004048582995951417,0.0,0.0,-45.485967681013776,-58.05354357164623,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_front_loaded_combined,22.0,front_loaded,combined,all_low_return_admissions,1889,1095,302,192,302,192,0.5796717840127051,0.1598729486500794,0.10164107993647432,208.65473117342677,-83.21482131717032,9.62351524830129,692.893097877693,0.3600852211304861
curtailment_only,curtailment_only_P22_front_loaded_combined,22.0,front_loaded,combined,strict_marginal_vs_6p5,741,16,0,0,0,0,0.021592442645074223,0.0,0.0,-43.841600220784265,-57.73783089243061,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P22_linear_none,22.0,linear,none,all_low_return_admissions,1889,1171,354,270,354,270,0.6199047114875595,0.18740074113287453,0.142932768660667,229.24786635170642,-47.38683680808034,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P22_linear_none,22.0,linear,none,strict_marginal_vs_6p5,741,45,0,0,0,0,0.06072874493927125,0.0,0.0,-31.1652342522323,-48.66078878040887,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_linear_energy_only,22.0,linear,energy_only,all_low_return_admissions,1889,1205,404,298,404,298,0.6379036527263102,0.2138697723663314,0.15775542615140287,285.0029803248344,-34.38881162568672,9.62351524830129,692.893097877693,0.3600852211304861
curtailment_only,curtailment_only_P22_linear_energy_only,22.0,linear,energy_only,strict_marginal_vs_6p5,741,67,0,0,0,0,0.09041835357624832,0.0,0.0,-29.514340612408027,-48.34374050412124,1.996362631393401,143.7381094603249,0.05966946211001487
