resource_branch,terminal_h2_price,merge_province_cn,strict_marginal_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,npv_low_100m_cny,npv_colocated_6p5_100m_cny,retain_low_return_share,reach_colocated_6p5_share
curtailment_only,12.0,云南,10,0,0,0,-1.342962892062179,-0.8767933298857498,0.0,0.0
curtailment_only,12.0,内蒙古,43,0,0,0,-4.083975548836774,-2.6949104118601515,0.0,0.0
curtailment_only,12.0,吉林,2,0,0,0,-0.1092599991509538,-0.07580933579822549,0.0,0.0
curtailment_only,12.0,山东,12,0,0,0,-0.724875583416952,-0.5022378538979225,0.0,0.0
curtailment_only,12.0,山西,58,0,0,0,-5.171023509467389,-3.318304406905896,0.0,0.0
curtailment_only,12.0,广西,8,0,0,0,-0.5528728461212665,-0.36192518807831303,0.0,0.0
curtailment_only,12.0,新疆,300,0,0,0,-62.82393924991239,-40.91928691104353,0.0,0.0
curtailment_only,12.0,河北,40,0,0,0,-3.7511866806965015,-2.4234973726179505,0.0,0.0
curtailment_only,12.0,海南,2,0,0,0,-0.1253369509644991,-0.0873367755940818,0.0,0.0
curtailment_only,12.0,湖南,7,0,0,0,-0.6079968146280004,-0.3993445879462355,0.0,0.0
curtailment_only,12.0,甘肃,60,0,0,0,-7.145591201752929,-4.681068403972355,0.0,0.0
curtailment_only,12.0,西藏,2,0,0,0,-0.0969806593952744,-0.0697132609802267,0.0,0.0
curtailment_only,12.0,辽宁,6,0,0,0,-0.4078644775963255,-0.27121082530714713,0.0,0.0
curtailment_only,12.0,陕西,1,0,0,0,-0.0732716731905959,-0.047784316120113,0.0,0.0
curtailment_only,12.0,青海,129,0,0,0,-31.964122059514374,-20.768593155414845,0.0,0.0
curtailment_only,12.0,黑龙江,61,0,0,0,-5.094761763785692,-3.433078088762389,0.0,0.0
curtailment_only,15.0,云南,10,0,0,0,-1.012358073866529,-0.7675221941571391,0.0,0.0
curtailment_only,15.0,内蒙古,43,0,0,0,-2.8484763133800532,-2.2898510713606632,0.0,0.0
