resource_branch,terminal_price,scope,metric,A_flat_no_learning,B_flat_learning,C_decline_no_learning,D_decline_learning,price_contribution_shapley,learning_contribution_shapley,interaction_diagnostic_not_additive_with_shapley,total_change,shapley_closure_error
curtailment_only,22.0,strict_marginal_vs_6p5,npv_low,23.32950450199603,30.143839264292374,-31.1652342522323,-24.785670286938796,-54.71212415272975,6.5969493637949235,-0.43477079700284094,-48.11517478893482,0.0
curtailment_only,22.0,strict_marginal_vs_6p5,npv_colocated_6p5,-29.704850715686064,-28.361326149681073,-48.66078878040887,-47.4005456894409,-18.997578802241314,1.301883828486483,-0.08328147503701544,-17.695694973754833,0.0
curtailment_only,22.0,strict_marginal_vs_6p5,pass_low,741.0,741.0,45.0,79.0,-679.0,17.0,34.0,-662.0,0.0
curtailment_only,22.0,strict_marginal_vs_6p5,pass_colocated_6p5,0.0,2.0,0.0,0.0,-1.0,1.0,-2.0,0.0,0.0
curtailment_only,18.0,strict_marginal_vs_6p5,npv_low,23.32950450199603,30.143839264292374,-67.94731547140881,-61.68065685049486,-91.55065804409604,6.5404966916051475,-0.547676141382393,-85.0101613524909,0.0
curtailment_only,18.0,strict_marginal_vs_6p5,npv_colocated_6p5,-29.704850715686064,-28.361326149681073,-61.40593969712175,-60.168422815292644,-31.754092823523628,1.2905207239170498,-0.10600768417588213,-30.46357209960658,0.0
curtailment_only,18.0,strict_marginal_vs_6p5,pass_low,741.0,741.0,0.0,0.0,-741.0,0.0,0.0,-741.0,0.0
curtailment_only,18.0,strict_marginal_vs_6p5,pass_colocated_6p5,0.0,2.0,0.0,0.0,-1.0,1.0,-2.0,0.0,0.0
full_output_upper_bound,22.0,strict_marginal_vs_6p5,npv_low,25.323548990782815,66.28905065915629,-61.945184403574295,-20.30776069734628,-86.93277237542983,41.30146268730075,0.6719220378545465,-45.63130968812909,7.105427357601002e-15
full_output_upper_bound,22.0,strict_marginal_vs_6p5,npv_colocated_6p5,-10.714914319099945,3.8560106628196795,-40.36605458644492,-25.573301487840983,-29.540226209002817,14.68183904026178,0.22182811668431057,-14.858387168741038,0.0
full_output_upper_bound,22.0,strict_marginal_vs_6p5,pass_low,760.0,760.0,0.0,94.0,-713.0,47.0,94.0,-666.0,0.0
full_output_upper_bound,22.0,strict_marginal_vs_6p5,pass_colocated_6p5,0.0,513.0,0.0,0.0,-256.5,256.5,-513.0,0.0,0.0
full_output_upper_bound,18.0,strict_marginal_vs_6p5,npv_low,25.323548990782815,66.28905065915629,-130.27130988753987,-87.96837233140745,-154.9261409344432,41.63421961225295,1.3374358877589465,-113.29192132219026,1.4210854715202004e-14
full_output_upper_bound,18.0,strict_marginal_vs_6p5,npv_colocated_6p5,-10.714914319099945,3.8560106628196795,-62.96349686082177,-47.876615143284944,-51.990604173913226,14.828903349728225,0.5159567356172019,-37.161700824185,-7.105427357601002e-15
full_output_upper_bound,18.0,strict_marginal_vs_6p5,pass_low,760.0,760.0,0.0,0.0,-760.0,0.0,0.0,-760.0,0.0
full_output_upper_bound,18.0,strict_marginal_vs_6p5,pass_colocated_6p5,0.0,513.0,0.0,0.0,-256.5,256.5,-513.0,0.0,0.0
