resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,C001_P22,22.0,linear,combined,all_low_return_admissions,6715,6584,5806,5286,5806,5286,0.9804914370811616,0.8646314221891288,0.787192851824274,2244.283862100197,787.7679673603981,25.99265705156746,935.7356538564285,0.4992874833419169
curtailment_only,C001_P22,22.0,linear,combined,strict_marginal_vs_6p5,633,502,0,0,0,0,0.7930489731437599,0.0,0.0,4.804931998863904,-6.350652206847297,0.7256063486522922,26.12182855148252,0.006053034984961208
curtailment_only,C001_P18,18.0,linear,combined,all_low_return_admissions,6715,6450,5513,5070,5513,5070,0.960536113179449,0.8209977661950856,0.7550260610573343,1951.0616085776649,690.1251064171985,25.99265705156746,935.7356538564285,0.4992874833419169
curtailment_only,C001_P18,18.0,linear,combined,strict_marginal_vs_6p5,633,368,0,0,0,0,0.5813586097946287,0.0,0.0,1.123245402894646,-7.622641604487544,0.7256063486522922,26.12182855148252,0.006053034984961208
curtailment_only,C001_P15,15.0,linear,combined,all_low_return_admissions,6715,6346,5245,4943,5245,4943,0.9450483991064781,0.7810871183916605,0.7361131794489948,1731.124895517445,616.8686646127522,25.99265705156746,935.7356538564285,0.4992874833419169
curtailment_only,C001_P15,15.0,linear,combined,strict_marginal_vs_6p5,633,264,0,0,0,0,0.41706161137440756,0.0,0.0,-1.655482996532808,-8.585089414086418,0.7256063486522922,26.12182855148252,0.006053034984961208
curtailment_only,C001_P12,12.0,linear,combined,all_low_return_admissions,6715,6202,5061,4719,5061,4719,0.9236038719285182,0.7536857781087118,0.7027550260610573,1511.1711309984905,543.5903027481619,25.99265705156746,935.7356538564285,0.4992874833419169
curtailment_only,C001_P12,12.0,linear,combined,strict_marginal_vs_6p5,633,121,0,0,0,0,0.1911532385466035,0.0,0.0,-4.448886314623332,-9.55461570259341,0.7256063486522922,26.12182855148252,0.006053034984961208
curtailment_only,C002_P22,22.0,linear,combined,all_low_return_admissions,6678,6546,5718,5190,5718,5190,0.9802336028751123,0.8562443845462714,0.7771787960467206,2215.347231043877,768.4541117491992,25.638967565910388,923.002832372774,0.4970189210496212
curtailment_only,C002_P22,22.0,linear,combined,strict_marginal_vs_6p5,658,526,0,0,0,0,0.7993920972644377,0.0,0.0,5.323651611209301,-6.7196628114505295,0.752753170383251,27.099114133797034,0.0064612195729076395
curtailment_only,C002_P18,18.0,linear,combined,all_low_return_admissions,6678,6413,5374,5027,5374,5027,0.9603174603174603,0.8047319556753519,0.7527702905061395,1923.3496297477216,671.1678889430822,25.638967565910388,923.002832372774,0.4970189210496212
curtailment_only,C002_P18,18.0,linear,combined,strict_marginal_vs_6p5,658,393,0,0,0,0,0.5972644376899696,0.0,0.0,1.3957712744218271,-8.076535715052822,0.752753170383251,27.099114133797034,0.0064612195729076395
curtailment_only,C002_P15,15.0,linear,combined,all_low_return_admissions,6678,6294,5152,4796,5152,4796,0.9424977538185085,0.7714884696016772,0.7181790955375861,1704.3361488374778,598.180903897245,25.638967565910388,923.002832372774,0.4970189210496212
curtailment_only,C002_P15,15.0,linear,combined,strict_marginal_vs_6p5,658,274,0,0,0,0,0.41641337386018235,0.0,0.0,-1.5684687611823505,-9.103086076706628,0.752753170383251,27.099114133797034,0.0064612195729076395
curtailment_only,C002_P12,12.0,linear,combined,all_low_return_admissions,6678,6161,5001,4556,5001,4556,0.9225816112608566,0.7488769092542678,0.682240191674154,1485.3053036185443,525.16886748787,25.638967565910388,923.002832372774,0.4970189210496212
curtailment_only,C002_P12,12.0,linear,combined,strict_marginal_vs_6p5,658,141,0,0,0,0,0.21428571428571427,0.0,0.0,-4.547901084226726,-10.136964471222523,0.752753170383251,27.099114133797034,0.0064612195729076395
curtailment_only,C003_P22,22.0,linear,combined,all_low_return_admissions,6647,6501,5600,5103,5600,5103,0.9780352038513616,0.8424853317285994,0.7677147585376862,2185.7008102593854,747.4094965316648,25.421036669105636,915.157320087803,0.4955687360533711
curtailment_only,C003_P22,22.0,linear,combined,strict_marginal_vs_6p5,685,539,0,0,0,0,0.7868613138686131,0.0,0.0,5.712724114799943,-7.176620985412527,0.7799557579999216,28.07840728799718,0.006863608803499148
curtailment_only,C003_P18,18.0,linear,combined,all_low_return_admissions,6647,6375,5257,4882,5257,4882,0.959079283887468,0.7908831051602226,0.734466676696254,1894.453665624507,650.3206040375819,25.421036669105636,915.157320087803,0.4955687360533711
curtailment_only,C003_P18,18.0,linear,combined,strict_marginal_vs_6p5,685,413,0,0,0,0,0.602919708029197,0.0,0.0,1.5406944813012355,-8.617901974269973,0.7799557579999216,28.07840728799718,0.006863608803499148
curtailment_only,C003_P15,15.0,linear,combined,all_low_return_admissions,6647,6240,5090,4680,5090,4680,0.9387693696404393,0.765758989017602,0.7040770272303295,1676.0008339239548,577.4779983711917,25.421036669105636,915.157320087803,0.4955687360533711
curtailment_only,C003_P15,15.0,linear,combined,strict_marginal_vs_6p5,685,278,0,0,0,0,0.4058394160583942,0.0,0.0,-1.6076717402129237,-9.708241325391239,0.7799557579999216,28.07840728799718,0.006863608803499148
curtailment_only,C003_P12,12.0,linear,combined,all_low_return_admissions,6647,6103,4869,4421,4869,4421,0.9181585677749361,0.7325109071761697,0.6651120806378817,1457.5085554856646,504.5958704126468,25.421036669105636,915.157320087803,0.4955687360533711
curtailment_only,C003_P12,12.0,linear,combined,strict_marginal_vs_6p5,685,143,0,0,0,0,0.20875912408759123,0.0,0.0,-4.771037670222273,-10.805815818501964,0.7799557579999216,28.07840728799718,0.006863608803499148
curtailment_only,C004_P22,22.0,linear,combined,all_low_return_admissions,6699,6565,6009,5704,6009,5704,0.979997014479773,0.8969995521719659,0.851470368711748,2236.3334749375813,842.9679034021292,25.846276658704113,930.4659597133481,0.4983539449759039
curtailment_only,C004_P22,22.0,linear,combined,strict_marginal_vs_6p5,506,372,0,0,0,0,0.7351778656126482,0.0,0.0,2.47731212657578,-4.514863704312615,0.5805040085175615,20.898144306632208,0.0047131916125706715
curtailment_only,C004_P18,18.0,linear,combined,all_low_return_admissions,6699,6433,5784,5429,5784,5429,0.9602925809822361,0.8634124496193462,0.8104194655918794,1943.5388125599884,745.4067639678125,25.846276658704113,930.4659597133481,0.4983539449759039
curtailment_only,C004_P18,18.0,linear,combined,strict_marginal_vs_6p5,506,240,0,0,0,0,0.4743083003952569,0.0,0.0,-0.41941036737735016,-5.519675945323804,0.5805040085175615,20.898144306632208,0.0047131916125706715
curtailment_only,C004_P15,15.0,linear,combined,all_low_return_admissions,6699,6328,5563,5204,5563,5204,0.9446185997910136,0.8304224511121063,0.7768323630392596,1723.924677372958,672.2114330500841,25.846276658704113,930.4659597133481,0.4983539449759039
curtailment_only,C004_P15,15.0,linear,combined,strict_marginal_vs_6p5,506,135,0,0,0,0,0.26679841897233203,0.0,0.0,-2.5968034238996607,-6.275625106219428,0.5805040085175615,20.898144306632208,0.0047131916125706715
curtailment_only,C004_P12,12.0,linear,combined,all_low_return_admissions,6699,6189,5293,5055,5293,5055,0.9238692342140618,0.7901179280489625,0.754590237348858,1504.288577192287,598.9878199826414,25.846276658704113,930.4659597133481,0.4983539449759039
curtailment_only,C004_P12,12.0,linear,combined,strict_marginal_vs_6p5,506,0,0,0,0,0,0.0,0.0,0.0,-4.774255760449934,-7.031602860965365,0.5805040085175615,20.898144306632208,0.0047131916125706715
curtailment_only,C005_P22,22.0,linear,combined,all_low_return_admissions,6652,6510,5896,5530,5896,5530,0.9786530366806976,0.8863499699338545,0.8313289236319904,2194.9565455448937,813.2734862123682,25.475976970341158,917.1351709322818,0.49593375613031465
curtailment_only,C005_P22,22.0,linear,combined,strict_marginal_vs_6p5,544,402,0,0,0,0,0.7389705882352942,0.0,0.0,3.0149371648945795,-4.988968254334493,0.6203961556338374,22.334261602818145,0.005243435223863962
curtailment_only,C005_P18,18.0,linear,combined,all_low_return_admissions,6652,6382,5646,5235,5646,5235,0.9594107035478052,0.8487672880336741,0.7869813589897775,1903.4329252097543,716.0592032469716,25.475976970341158,917.1351709322818,0.49593375613031465
curtailment_only,C005_P18,18.0,linear,combined,strict_marginal_vs_6p5,544,274,0,0,0,0,0.5036764705882353,0.0,0.0,-0.20234273957599572,-6.104398229011833,0.6203961556338374,22.334261602818145,0.005243435223863962
curtailment_only,C005_P15,15.0,linear,combined,all_low_return_admissions,6652,6252,5360,5089,5360,5089,0.9398677089597114,0.8057726999398677,0.7650330727600722,1684.7623912950312,643.1143396377846,25.475976970341158,917.1351709322818,0.49593375613031465
curtailment_only,C005_P15,15.0,linear,combined,strict_marginal_vs_6p5,544,144,0,0,0,0,0.2647058823529412,0.0,0.0,-2.62351712704193,-6.944932972224352,0.6203961556338374,22.334261602818145,0.005243435223863962
curtailment_only,C005_P12,12.0,linear,combined,all_low_return_admissions,6652,6110,5140,4890,5140,4890,0.9185207456404089,0.7726999398677089,0.7351172579675286,1466.0440834951714,570.124823529083,25.475976970341158,917.1351709322818,0.49593375613031465
curtailment_only,C005_P12,12.0,linear,combined,strict_marginal_vs_6p5,544,4,0,0,0,0,0.007352941176470588,0.0,0.0,-5.045635832106487,-7.78592320908272,0.6203961556338374,22.334261602818145,0.005243435223863962
curtailment_only,C006_P22,22.0,linear,combined,all_low_return_admissions,6615,6452,5782,5331,5782,5331,0.9753590325018896,0.8740740740740741,0.8058956916099773,2153.086466417606,782.5530508870658,25.207644883911144,907.4752158208013,0.4941042886044018
curtailment_only,C006_P22,22.0,linear,combined,strict_marginal_vs_6p5,595,432,0,0,0,0,0.7260504201680672,0.0,0.0,3.5020316777670573,-5.737854648724518,0.6788557352232664,24.438806468037587,0.005938690509278049
curtailment_only,C006_P18,18.0,linear,combined,all_low_return_admissions,6615,6323,5455,5139,5455,5139,0.9558578987150416,0.8246409674981103,0.7768707482993197,1862.4692333366736,685.5519259550025,25.207644883911144,907.4752158208013,0.4941042886044018
curtailment_only,C006_P18,18.0,linear,combined,strict_marginal_vs_6p5,595,303,0,0,0,0,0.5092436974789916,0.0,0.0,-0.13676973744640925,-6.998926500097867,0.6788557352232664,24.438806468037587,0.005938690509278049
curtailment_only,C006_P15,15.0,linear,combined,all_low_return_admissions,6615,6192,5221,4934,5221,4934,0.9360544217687075,0.7892668178382464,0.7458805744520031,1644.4532991318192,612.7506448327348,25.207644883911144,907.4752158208013,0.4941042886044018
curtailment_only,C006_P15,15.0,linear,combined,strict_marginal_vs_6p5,595,172,0,0,0,0,0.28907563025210087,0.0,0.0,-2.8768468799666067,-7.950024725204144,0.6788557352232664,24.438806468037587,0.005938690509278049
curtailment_only,C006_P12,12.0,linear,combined,all_low_return_admissions,6615,6041,5064,4707,5064,4707,0.9132275132275133,0.7655328798185941,0.7115646258503401,1426.3905579217133,539.9062597802531,25.207644883911144,907.4752158208013,0.4941042886044018
curtailment_only,C006_P12,12.0,linear,combined,strict_marginal_vs_6p5,595,26,0,0,0,0,0.043697478991596636,0.0,0.0,-5.6197349946183035,-8.902478828826746,0.6788557352232664,24.438806468037587,0.005938690509278049
curtailment_only,C007_P22,22.0,linear,combined,all_low_return_admissions,6692,6559,6077,5882,6077,5882,0.9801255230125523,0.9080992229527795,0.8789599521817095,2232.2064594962308,870.1464010480693,25.784489912948235,928.2416368661364,0.4979496497775637
curtailment_only,C007_P22,22.0,linear,combined,strict_marginal_vs_6p5,453,320,0,0,0,0,0.7064017660044151,0.0,0.0,1.6804711731748991,-3.7551703852057696,0.5202006269595838,18.727222570545017,0.004176451847845444
curtailment_only,C007_P18,18.0,linear,combined,all_low_return_admissions,6692,6425,5907,5656,5907,5656,0.9601016138673042,0.8826957561267185,0.8451882845188284,1939.5917840660327,772.6146443790798,25.784489912948235,928.2416368661364,0.4979496497775637
curtailment_only,C007_P18,18.0,linear,combined,strict_marginal_vs_6p5,453,186,0,0,0,0,0.4105960264900662,0.0,0.0,-0.8913702185131023,-4.647928181392165,0.5202006269595838,18.727222570545017,0.004176451847845444
