instrument,error_scenario,aace_class,estimate_use,error_p10,error_p90,budget_100m_cny,draw_count,durable_project_count_mean,durable_project_count_p05,durable_project_count_p95,mean_abs_difference_vs_5000,p05_abs_difference_vs_5000,p95_abs_difference_vs_5000
targeted_15y_price_contract,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,200,185.9,166.95,208.04999999999998,0.4685999999999808,2.9499999999999886,0.950000000000017
targeted_15y_price_contract,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,500,186.77,166.0,210.0,0.40140000000002374,2.0,1.0
targeted_15y_price_contract,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,1000,186.02,164.0,209.04999999999995,0.34859999999997626,0.0,0.049999999999954525
targeted_15y_price_contract,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,2000,186.273,164.0,210.0,0.09559999999999036,0.0,1.0
targeted_15y_price_contract,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,5000,186.3686,164.0,209.0,0.0,0.0,0.0
targeted_15y_price_contract,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,200,170.615,147.0,197.04999999999998,1.0225999999999829,0.0,0.950000000000017
targeted_15y_price_contract,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,500,171.372,147.95,197.0,0.26559999999997785,0.9499999999999886,1.0
targeted_15y_price_contract,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,1000,172.06,148.0,198.0,0.4224000000000103,1.0,0.0
targeted_15y_price_contract,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,2000,171.6965,147.0,198.0,0.05889999999999418,0.0,0.0
targeted_15y_price_contract,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,5000,171.6376,147.0,198.0,0.0,0.0,0.0
targeted_15y_price_contract,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,200,179.04,152.0,201.04999999999998,1.3708000000000027,4.0,3.950000000000017
targeted_15y_price_contract,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,500,179.04,152.0,202.04999999999995,1.3708000000000027,4.0,2.9500000000000455
targeted_15y_price_contract,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,1000,179.929,155.0,203.04999999999995,0.4817999999999927,1.0,1.9500000000000455
targeted_15y_price_contract,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,2000,180.094,155.0,204.0,0.31680000000000064,1.0,1.0
targeted_15y_price_contract,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,5000,180.4108,156.0,205.0,0.0,0.0,0.0
targeted_capex_grant,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,200,162.69,145.95,185.04999999999998,0.5866000000000042,2.9499999999999886,1.049999999999983
targeted_capex_grant,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,500,163.764,144.0,186.0,0.48740000000000805,1.0,2.0
targeted_capex_grant,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,1000,163.192,143.0,185.0,0.08459999999999468,0.0,1.0
targeted_capex_grant,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,2000,163.2085,143.0,185.0,0.06810000000001537,0.0,1.0
targeted_capex_grant,AACE_Class2_control_outer,Class 2,control_or_bid_tender,-0.15,0.2,50.0,5000,163.2766,143.0,184.0,0.0,0.0,0.0
targeted_capex_grant,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,200,140.41,119.0,162.04999999999998,0.491800000000012,0.0,1.950000000000017
targeted_capex_grant,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,500,140.52,119.0,162.0,0.38179999999999836,0.0,2.0
targeted_capex_grant,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,1000,141.137,119.0,164.0,0.23519999999999186,0.0,0.0
targeted_capex_grant,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,2000,140.78,118.95,163.04999999999995,0.12180000000000746,0.04999999999999716,0.9500000000000455
targeted_capex_grant,AACE_Class3_budget_control_outer,Class 3,budget_authorization_or_control,-0.2,0.3,50.0,5000,140.9018,119.0,164.0,0.0,0.0,0.0
targeted_capex_grant,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,200,143.775,119.9,171.0,0.5589999999999975,0.9000000000000057,0.0
targeted_capex_grant,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,500,143.216,118.0,171.04999999999995,1.117999999999995,1.0,0.049999999999954525
targeted_capex_grant,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,1000,143.928,118.0,172.0,0.4060000000000059,1.0,1.0
targeted_capex_grant,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,2000,144.106,118.0,170.0,0.22800000000000864,1.0,1.0
targeted_capex_grant,AACE_Class4_feasibility_outer,Class 4,study_or_feasibility,-0.3,0.5,50.0,5000,144.334,119.0,171.0,0.0,0.0,0.0
