scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main
C001,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.025,False
C002,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.035,False
C003,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.045,False
C004,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.025,False
C005,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False
C006,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False
C007,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False
C008,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False
C009,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False
C010,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False
C011,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.5,0.035,False
C012,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.5,0.045,False
C013,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.7,0.025,False
C014,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.7,0.035,False
C015,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.7,0.045,False
C016,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.8,0.025,False
C017,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.8,0.035,False
C018,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.8,0.045,False
C019,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.5,0.025,False
C020,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.5,0.035,False
C021,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.5,0.045,False
C022,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.7,0.025,False
C023,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.7,0.035,False
C024,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.7,0.045,False
C025,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.8,0.025,False
C026,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.8,0.035,False
C027,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,1.0,0.8,0.045,False
C028,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.5,0.025,False
C029,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.5,0.035,False
C030,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.5,0.045,False
C031,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.7,0.025,False
C032,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.7,0.035,False
C033,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.7,0.045,False
C034,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.8,0.025,False
C035,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.8,0.035,False
C036,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.5,0.8,0.045,False
C037,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.5,0.025,False
C038,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.5,0.035,False
C039,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.5,0.045,False
C040,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.7,0.025,False
C041,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.7,0.035,False
C042,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.7,0.045,False
C043,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.8,0.025,False
C044,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.8,0.035,False
C045,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,0.75,0.8,0.045,False
C046,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.5,0.025,False
C047,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.5,0.035,False
C048,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.5,0.045,False
C049,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.7,0.025,False
C050,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.7,0.035,False
C051,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.7,0.045,False
C052,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.8,0.025,False
C053,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.8,0.035,False
C054,curtailment_only,3600.0,0.0,WB_allin_3pct,0.03,0.0,1.0,0.8,0.045,False
C055,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.025,False
C056,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.035,False
C057,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.045,False
C058,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.025,False
C059,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.035,False
C060,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.045,False
C061,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.025,False
C062,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.035,False
C063,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.045,False
C064,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.025,False
C065,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.035,False
C066,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.045,False
C067,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.025,False
C068,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.035,False
C069,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.045,False
C070,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.025,False
C071,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.035,False
C072,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.045,False
C073,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.025,False
C074,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.035,False
C075,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.045,False
C076,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.025,False
C077,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.035,False
C078,curtailment_only,3600.0,0.0,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.045,False
