year,month,hours,instant_bytes,accum_bytes
2020,1,744,415763950,27492662
2020,2,696,386903436,27541774
2020,3,744,416881960,32723773
2020,4,720,400596259,34294674
2020,5,744,416145653,38638182
2020,6,720,399573503,39376619
2020,7,744,411319729,40292052
2020,8,744,411221069,37999761
2020,9,720,395613849,33452261
2020,10,744,412733318,30922203
2020,11,720,398607496,26840415
2020,12,744,414725033,26442423
2021,1,744,417081170,27245988
2021,2,672,373961757,26475436
2021,3,744,417248690,32720856
2021,4,720,400658980,34698148
2021,5,744,414728612,38770683
2021,6,720,400230209,39292692
2021,7,744,412247329,40268867
2021,8,744,410916502,38046865
2021,9,720,395719208,33303758
2021,10,744,411063567,30906256
2021,11,720,399212690,26996247
2021,12,744,414902137,26499220
2022,1,744,415658131,27547103
2022,2,672,371682668,26583641
2022,3,744,417354874,32712186
2022,4,720,401410597,34411517
2022,5,744,415785954,38802768
2022,6,720,400232141,39226219
2022,7,744,412063643,40221903
2022,8,744,411221890,37918618
2022,9,720,396705847,33013589
2022,10,744,411962823,30887925
2022,11,720,399854959,26954018
2022,12,744,415123563,26405797
2023,1,744,417441498,27132554
2023,2,672,372271101,26442273
2023,3,744,416793220,32479026
2023,4,720,402532405,34550672
2023,5,744,414860702,38628760
2023,6,720,400894336,38978713
2023,7,744,411396112,40151064
2023,8,744,410644211,38073567
2023,9,720,396368824,33525744
2023,10,744,410913462,30732393
2023,11,720,399723518,27047233
2023,12,744,416159218,26587022
2024,1,744,416400287,27427842
2024,2,696,388424265,27579181
2024,3,744,417290092,32694671
2024,4,720,402525265,34797549
2024,5,744,416958972,38631578
2024,6,720,400121285,39194937
2024,7,744,411801190,40194412
2024,8,744,411207443,37878794
2024,9,720,398214761,33418570
2024,10,744,410896958,31043352
2024,11,720,399353682,27092971
2024,12,744,415017875,26536942
2025,1,744,416368720,27231299
2025,2,672,371875651,26531549
2025,3,744,416593298,32443991
2025,4,720,403261510,34685611
2025,5,744,416030036,38813445
2025,6,720,400428708,39063381
2025,7,744,412924208,40222377
2025,8,744,409253337,38005567
2025,9,720,396415016,33321249
2025,10,744,410738319,31051457
2025,11,720,399740127,26806725
2025,12,744,416135156,26481639
