queue,weather_year_a,weather_year_b,intersection_count,union_count,jaccard
low_return_entry,2020,2021,2258,2739,0.8243884629426798
low_return_entry,2020,2022,2238,2443,0.9160867785509619
low_return_entry,2020,2023,2250,2733,0.823271130625686
low_return_entry,2020,2024,2217,2500,0.8868
low_return_entry,2020,2025,2232,2722,0.8199853049228508
low_return_entry,2021,2022,2306,2742,0.8409919766593728
low_return_entry,2021,2023,2557,2793,0.9155030433225922
low_return_entry,2021,2024,2341,2743,0.8534451330659861
low_return_entry,2021,2025,2573,2748,0.9363173216885007
low_return_entry,2022,2023,2310,2724,0.8480176211453745
low_return_entry,2022,2024,2272,2496,0.9102564102564102
low_return_entry,2022,2025,2295,2710,0.8468634686346863
low_return_entry,2023,2024,2366,2704,0.875
low_return_entry,2023,2025,2535,2772,0.9145021645021645
low_return_entry,2024,2025,2327,2714,0.8574060427413412
strict_marginal,2020,2021,873,1514,0.5766182298546896
strict_marginal,2020,2022,930,1236,0.7524271844660194
strict_marginal,2020,2023,866,1535,0.5641693811074918
strict_marginal,2020,2024,935,1312,0.7126524390243902
strict_marginal,2020,2025,825,1534,0.5378096479791395
strict_marginal,2021,2022,907,1486,0.6103633916554508
strict_marginal,2021,2023,1143,1485,0.7696969696969697
strict_marginal,2021,2024,966,1508,0.6405835543766578
strict_marginal,2021,2025,1159,1427,0.8121934127540295
strict_marginal,2022,2023,921,1486,0.6197846567967699
strict_marginal,2022,2024,967,1286,0.7519440124416796
strict_marginal,2022,2025,884,1481,0.5968939905469277
strict_marginal,2023,2024,999,1489,0.6709200805910007
strict_marginal,2023,2025,1123,1477,0.7603249830737983
strict_marginal,2024,2025,938,1508,0.6220159151193634
colocated_6p5,2020,2021,1210,1400,0.8642857142857143
colocated_6p5,2020,2022,1207,1308,0.922782874617737
colocated_6p5,2020,2023,1198,1384,0.865606936416185
colocated_6p5,2020,2024,1188,1282,0.9266770670826833
colocated_6p5,2020,2025,1177,1418,0.8300423131170663
colocated_6p5,2021,2022,1240,1415,0.8763250883392226
colocated_6p5,2021,2023,1308,1414,0.925035360678925
colocated_6p5,2021,2024,1210,1400,0.8642857142857143
colocated_6p5,2021,2025,1321,1414,0.9342291371994342
colocated_6p5,2022,2023,1237,1390,0.8899280575539569
colocated_6p5,2022,2024,1210,1305,0.9272030651340997
colocated_6p5,2022,2025,1214,1426,0.8513323983169705
colocated_6p5,2023,2024,1214,1368,0.8874269005847953
colocated_6p5,2023,2025,1294,1413,0.9157820240622788
colocated_6p5,2024,2025,1188,1407,0.8443496801705757
