ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
1,安徽,光伏,0,0,0
10,安徽,光伏,0,0,0
1000,广东,光伏,0,0,0
10001,山东,光伏,0,0,0
10005,山东,光伏,0,0,0
1001,广东,光伏,0,0,0
10013,山东,光伏,0,0,0
10015,辽宁,光伏,0,0,0
1002,广西,光伏,0,0,0
10020,河北,光伏,0,0,0
10021,河北,光伏,0,0,0
10022,浙江,光伏,0,0,0
10023,浙江,光伏,0,0,0
10025,浙江,光伏,0,0,0
10027,浙江,光伏,0,0,0
1003,广西,光伏,0,0,0
10030,西藏,光伏,6,0,6
10031,西藏,光伏,6,0,6
10033,甘肃,光伏,0,0,0
10034,湖南,光伏,0,0,0
10036,安徽,光伏,0,0,0
10040,四川,光伏,0,0,0
10041,安徽,光伏,0,0,0
10045,河南,光伏,0,0,0
10048,河南,光伏,0,0,0
10049,河南,光伏,0,0,0
1005,广西,光伏,0,0,0
10050,河南,光伏,0,0,0
10051,河南,光伏,0,0,0
10052,宁夏,光伏,0,0,0
10053,山东,光伏,0,0,0
10054,湖北,光伏,0,0,0
1006,广西,光伏,0,0,0
10062,河南,光伏,0,0,0
10065,河南,光伏,0,0,0
10066,河南,光伏,0,0,0
10068,江苏,光伏,0,0,0
10069,江西,光伏,0,0,0
1007,广西,光伏,0,0,0
10070,河南,光伏,0,0,0
10071,河南,光伏,0,0,0
10075,安徽,光伏,0,0,0
10076,宁夏,光伏,0,0,0
10077,西藏,光伏,6,0,6
10078,宁夏,光伏,0,0,0
10079,宁夏,光伏,0,0,0
10080,宁夏,光伏,0,0,0
10081,河北,光伏,0,0,0
10082,甘肃,光伏,0,0,0
10083,山东,光伏,0,0,0
10084,黑龙江,光伏,0,0,0
10085,内蒙古,光伏,0,0,0
1010,广西,光伏,0,0,0
10103,山东,光伏,0,0,0
10105,浙江,光伏,0,0,0
10106,山东,光伏,0,0,0
1011,广西,光伏,0,0,0
10110,江西,光伏,0,0,0
10111,浙江,光伏,0,0,0
10112,山东,光伏,0,0,0
10113,江苏,光伏,0,0,0
10119,辽宁,光伏,0,0,0
10120,江苏,光伏,0,0,0
10125,河南,光伏,0,0,0
10128,河南,光伏,0,0,0
10129,江西,光伏,0,0,0
10132,山东,光伏,0,0,0
10133,浙江,光伏,0,0,0
10135,辽宁,光伏,0,0,0
10137,江西,光伏,0,0,0
1014,广西,光伏,0,0,0
10140,山东,光伏,0,0,0
10142,山东,光伏,0,0,0
10143,浙江,光伏,0,0,0
10144,河南,光伏,0,0,0
10145,陕西,光伏,0,0,0
10148,山东,光伏,0,0,0
10152,山东,光伏,0,0,0
10153,江西,光伏,0,0,0
10159,河北,光伏,0,0,0
1016,广西,光伏,0,0,0
10160,河北,光伏,0,0,0
10163,安徽,光伏,0,0,0
10164,辽宁,光伏,0,0,0
10165,河北,光伏,0,0,0
10166,江西,光伏,0,0,0
10167,浙江,光伏,0,0,0
1017,广西,光伏,0,0,0
10171,吉林,光伏,0,0,0
10173,陕西,光伏,0,0,0
10174,山东,光伏,0,0,0
10175,甘肃,光伏,0,0,0
10176,山东,光伏,0,0,0
10180,山东,光伏,0,0,0
10186,山东,光伏,0,0,0
10188,山东,光伏,0,0,0
