weather_year,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,strict_marginal_count,retain_low_return_count,reach_colocated_6p5_count,retain_low_return_share,reach_colocated_6p5_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny
2020,22.0,front_loaded,combined,1080,13,0,0.012037037037037037,0.0,-46.44059743214863,-67.3058225797383
2020,22.0,linear,combined,1080,205,0,0.18981481481481483,0.0,-22.66599325104745,-54.41022722476035
2020,22.0,back_loaded,combined,1080,451,0,0.41759259259259257,0.0,0.25254139609052123,-43.83378806921835
2020,18.0,front_loaded,combined,1080,0,0,0.0,0.0,-108.57015784147184,-91.88056477911756
2020,18.0,linear,combined,1080,0,0,0.0,0.0,-68.84875022730796,-70.36674284224152
2020,18.0,back_loaded,combined,1080,124,0,0.11481481481481481,0.0,-30.514341097554436,-52.68975893412981
2020,15.0,front_loaded,combined,1080,0,0,0.0,0.0,-159.53769329761775,-111.35333984976371
2020,15.0,linear,combined,1080,0,0,0.0,0.0,-105.9198515705496,-82.85352187913908
2020,15.0,back_loaded,combined,1080,8,0,0.007407407407407408,0.0,-54.855719462729255,-59.58773154371251
2020,12.0,front_loaded,combined,1080,0,0,0.0,0.0,-215.35482259331528,-132.29789049330327
2020,12.0,linear,combined,1080,0,0,0.0,0.0,-146.4687070832608,-96.19343116590015
2020,12.0,back_loaded,combined,1080,0,0,0.0,0.0,-81.43679042486586,-66.96501459375268
2020,22.0,linear,none,1080,75,0,0.06944444444444445,0.0,-32.15365704167462,-56.32257779668279
2020,22.0,linear,conservative,1080,160,0,0.14814814814814814,0.0,-25.35548739243985,-54.94743421377784
2020,22.0,linear,base,1080,205,0,0.18981481481481483,0.0,-22.66599325104745,-54.41022722476035
2020,22.0,linear,optimistic,1080,249,0,0.23055555555555557,0.0,-19.111935643008596,-53.69708289599018
2020,18.0,linear,none,1080,0,0,0.0,0.0,-78.12156873818604,-72.23589563811358
2020,18.0,linear,conservative,1080,0,0,0.0,0.0,-71.32628582240618,-70.86309235446632
2020,18.0,linear,base,1080,0,0,0.0,0.0,-68.84875022730796,-70.36674284224152
2020,18.0,linear,optimistic,1080,0,0,0.0,0.0,-65.53213450537422,-69.69935734836993
2021,22.0,front_loaded,combined,1307,42,0,0.032134659525631215,0.0,-50.69879547996594,-73.35828461379519
2021,22.0,linear,combined,1307,201,0,0.15378729915837797,0.0,-24.855917870775272,-59.34073107977318
2021,22.0,back_loaded,combined,1307,546,0,0.4177505738332058,0.0,0.06467249814584136,-47.840040631432664
2021,18.0,front_loaded,combined,1307,0,0,0.0,0.0,-118.24834901619741,-100.07403387828187
2021,18.0,linear,combined,1307,0,0,0.0,0.0,-75.06504819129165,-76.68707051187877
2021,18.0,back_loaded,combined,1307,120,0,0.09181331293037491,0.0,-33.39216956262614,-57.471455501754264
2021,15.0,front_loaded,combined,1307,0,0,0.0,0.0,-173.66857426206937,-121.24699659005306
2021,15.0,linear,combined,1307,0,0,0.0,0.0,-115.36899058378567,-90.26243880953356
2021,15.0,back_loaded,combined,1307,5,0,0.0038255547054322878,0.0,-59.842718665970516,-64.96812876321906
2021,12.0,front_loaded,combined,1307,0,0,0.0,0.0,-234.34713669661286,-144.01655253843612
2021,12.0,linear,combined,1307,0,0,0.0,0.0,-159.45670156124345,-104.7663618782682
2021,12.0,back_loaded,combined,1307,0,0,0.0,0.0,-88.7544818765419,-72.99098592770979
2021,22.0,linear,none,1307,60,0,0.045906656465187455,0.0,-34.97991873027129,-61.383271129982035
2021,22.0,linear,conservative,1307,145,0,0.11094108645753634,0.0,-27.733392822379,-59.91571008494746
2021,22.0,linear,base,1307,201,0,0.15378729915837797,0.0,-24.855917870775272,-59.34073107977318
2021,22.0,linear,optimistic,1307,272,0,0.20811017597551645,0.0,-21.058789255076668,-58.57832231861355
2021,18.0,linear,none,1307,0,0,0.0,0.0,-84.96148537437757,-78.6839464703939
2021,18.0,linear,conservative,1307,0,0,0.0,0.0,-77.7127575695996,-77.21780708624682
2021,18.0,linear,base,1307,0,0,0.0,0.0,-75.06504819129165,-76.68707051187877
2021,18.0,linear,optimistic,1307,1,0,0.0007651109410864575,0.0,-71.52466402026471,-75.97409028212981
2022,22.0,front_loaded,combined,1086,31,0,0.0285451197053407,0.0,-43.43692714531635,-62.12911964748953
2022,22.0,linear,combined,1086,174,0,0.16022099447513813,0.0,-21.709752156273147,-50.3440986701471
2022,22.0,back_loaded,combined,1086,426,0,0.39226519337016574,0.0,-0.764733228599852,-40.67836540757188
2022,18.0,front_loaded,combined,1086,0,0,0.0,0.0,-100.22994839060699,-84.59070918228109
2022,18.0,linear,combined,1086,0,0,0.0,0.0,-63.92153083485347,-64.92779025063558
2022,18.0,back_loaded,combined,1086,122,0,0.11233885819521179,0.0,-28.88780718352494,-48.77390584415346
2022,15.0,front_loaded,combined,1086,0,0,0.0,0.0,-146.87591026777423,-102.40492278138075
2022,15.0,linear,combined,1086,0,0,0.0,0.0,-97.8488842799604,-76.35045403431788
2022,15.0,back_loaded,combined,1086,18,0,0.016574585635359115,0.0,-51.15535356372569,-55.082185768884585
2022,12.0,front_loaded,combined,1086,0,0,0.0,0.0,-197.90634210986724,-121.55527107888521
2022,12.0,linear,combined,1086,0,0,0.0,0.0,-134.92039738367242,-88.54716532361599
2022,12.0,back_loaded,combined,1086,0,0,0.0,0.0,-75.46195609535226,-61.82732848661206
2022,22.0,linear,none,1086,66,0,0.06077348066298342,0.0,-30.290556057792045,-52.075369597926525
2022,22.0,linear,conservative,1086,132,0,0.12154696132596685,0.0,-24.142496534388666,-50.830373709928836
2022,22.0,linear,base,1086,174,0,0.16022099447513813,0.0,-21.709752156273147,-50.3440986701471
2022,22.0,linear,optimistic,1086,232,0,0.2136279926335175,0.0,-18.494874906603528,-49.69845692029812
2022,18.0,linear,none,1086,0,0,0.0,0.0,-72.32215319010471,-66.62262684821852
2022,18.0,linear,conservative,1086,0,0,0.0,0.0,-66.162583218354,-65.37712028302771
2022,18.0,linear,base,1086,0,0,0.0,0.0,-63.92153083485347,-64.92779025063558
2022,18.0,linear,optimistic,1086,0,0,0.0,0.0,-60.92162735945191,-64.32356984124846
2023,22.0,front_loaded,combined,1321,44,0,0.033308099924299776,0.0,-52.94440864131142,-74.46575733338474
2023,22.0,linear,combined,1321,203,0,0.15367146101438303,0.0,-27.29228372286368,-60.55165056969765
2023,22.0,back_loaded,combined,1321,474,0,0.3588190764572294,0.0,-2.562046887167816,-49.13866455365816
2023,18.0,front_loaded,combined,1321,0,0,0.0,0.0,-119.99039360068976,-100.98463681761466
2023,18.0,linear,combined,1321,0,0,0.0,0.0,-77.10441729551151,-77.76554628145959
2023,18.0,back_loaded,combined,1321,117,0,0.08856926570779712,0.0,-35.7282048251619,-58.689555066162626
2023,15.0,front_loaded,combined,1321,0,0,0.0,0.0,-175.15901850804465,-122.04592750437045
2023,15.0,linear,combined,1321,0,0,0.0,0.0,-117.21554156055996,-91.26568480903276
2023,15.0,back_loaded,combined,1321,6,0,0.004542013626040878,0.0,-62.05645438172625,-66.14622798006654
2023,12.0,front_loaded,combined,1321,0,0,0.0,0.0,-235.39568311606902,-144.66450706804116
2023,12.0,linear,combined,1321,0,0,0.0,0.0,-160.97309954075794,-105.66936964362753
2023,12.0,back_loaded,combined,1321,0,0,0.0,0.0,-90.72055676945659,-74.10566914791454
2023,22.0,linear,none,1321,61,0,0.04617713853141559,0.0,-36.697128848813186,-62.449658572456535
2023,22.0,linear,conservative,1321,161,0,0.12187736563209689,0.0,-29.961901905888297,-61.08543239319658
2023,22.0,linear,base,1321,203,0,0.15367146101438303,0.0,-27.29228372286368,-60.55165056969765
2023,22.0,linear,optimistic,1321,260,0,0.1968205904617714,0.0,-23.766157170844018,-59.84331992135677
2023,18.0,linear,none,1321,0,0,0.0,0.0,-86.29309596573843,-79.62007480798715
2023,18.0,linear,conservative,1321,0,0,0.0,0.0,-79.56285792729142,-78.25859709078674
2023,18.0,linear,base,1321,0,0,0.0,0.0,-77.10441729551151,-77.76554628145959
2023,18.0,linear,optimistic,1321,0,0,0.0,0.0,-73.81532457362617,-77.10291860838768
2024,22.0,front_loaded,combined,1167,42,0,0.03598971722365039,0.0,-47.597244336909085,-68.99660781209177
2024,22.0,linear,combined,1167,207,0,0.17737789203084833,0.0,-23.230357060888387,-55.78002717804976
2024,22.0,back_loaded,combined,1167,458,0,0.3924592973436161,0.0,0.2607102811688179,-44.93970504515453
2024,18.0,front_loaded,combined,1167,0,0,0.0,0.0,-111.28730379151222,-94.18594755366318
2024,18.0,linear,combined,1167,1,0,0.000856898029134533,0.0,-70.57385190059752,-72.13606760205943
2024,18.0,back_loaded,combined,1167,128,0,0.10968294772922023,0.0,-31.285300698135917,-54.02003882209687
2024,15.0,front_loaded,combined,1167,0,0,0.0,0.0,-163.52527182288833,-114.1445080632469
2024,15.0,linear,combined,1167,0,0,0.0,0.0,-108.56852164942738,-84.93413204682555
2024,15.0,back_loaded,combined,1167,3,0,0.002570694087403599,0.0,-56.227643598451465,-61.088583019963096
2024,12.0,front_loaded,combined,1167,0,0,0.0,0.0,-220.73946482815526,-135.61216310141575
2024,12.0,linear,combined,1167,0,0,0.0,0.0,-150.13532006661336,-98.60826152258022
2024,12.0,back_loaded,combined,1167,0,0,0.0,0.0,-83.4784486478325,-68.65070554628026
2024,22.0,linear,none,1167,67,0,0.05741216795201371,0.0,-32.97511052216658,-57.747055446783406
2024,22.0,linear,conservative,1167,157,0,0.13453299057412169,0.0,-25.99746659211742,-56.333595757110096
2024,22.0,linear,base,1167,207,0,0.17737789203084833,0.0,-23.230357060888387,-55.78002717804976
2024,22.0,linear,optimistic,1167,260,0,0.22279348757497858,0.0,-19.57542588316864,-55.04551520536591
2024,18.0,linear,none,1167,0,0,0.0,0.0,-80.09305320289283,-74.05765893626702
2024,18.0,linear,conservative,1167,0,0,0.0,0.0,-73.12133557036734,-72.64723107713672
2024,18.0,linear,base,1167,1,0,0.000856898029134533,0.0,-70.57385190059752,-72.13606760205943
2024,18.0,linear,optimistic,1167,2,0,0.001713796058269066,0.0,-67.16474857060406,-71.44901765752162
2025,22.0,front_loaded,combined,1279,27,0,0.02111024237685692,0.0,-48.61132166872261,-69.99622384409894
2025,22.0,linear,combined,1279,190,0,0.1485535574667709,0.0,-24.018872200700713,-56.65681486984167
2025,22.0,back_loaded,combined,1279,533,0,0.41673182173573103,0.0,-0.30404125722312897,-45.712380473505554
2025,18.0,front_loaded,combined,1279,0,0,0.0,0.0,-112.88321771418337,-95.41764086196437
2025,18.0,linear,combined,1279,0,0,0.0,0.0,-71.78945920953913,-73.16213674747954
2025,18.0,back_loaded,combined,1279,123,0,0.09616888193901485,0.0,-32.13346596898525,-54.876141111398056
2025,15.0,front_loaded,combined,1279,0,0,0.0,0.0,-165.63545452005565,-115.56977327048426
2025,15.0,linear,combined,1279,0,0,0.0,0.0,-110.15064529325173,-86.08238106097339
2025,15.0,back_loaded,combined,1279,5,0,0.003909304143862392,0.0,-57.31065169655223,-62.011536364908714
2025,12.0,front_loaded,combined,1279,0,0,0.0,0.0,-223.3794692690939,-137.23989485948428
2025,12.0,linear,combined,1279,0,0,0.0,0.0,-152.10250671767182,-99.88462526067003
2025,12.0,back_loaded,combined,1279,0,0,0.0,0.0,-84.81648990518269,-69.64498748633284
2025,22.0,linear,none,1279,54,0,0.04222048475371384,0.0,-33.6355974994834,-58.5926296097762
2025,22.0,linear,conservative,1279,143,0,0.11180609851446442,0.0,-26.746733061163578,-57.20089957611673
2025,22.0,linear,base,1279,190,0,0.1485535574667709,0.0,-24.018872200700713,-56.65681486984167
2025,22.0,linear,optimistic,1279,239,0,0.18686473807662235,0.0,-20.416425236168152,-55.93496131417481
2025,18.0,linear,none,1279,0,0,0.0,0.0,-81.19954169287769,-75.05639804573975
2025,18.0,linear,conservative,1279,0,0,0.0,0.0,-74.30107954845175,-73.66460552678636
2025,18.0,linear,base,1279,0,0,0.0,0.0,-71.78945920953913,-73.16213674747954
2025,18.0,linear,optimistic,1279,0,0,0.0,0.0,-68.42857583521423,-72.48676400081354
