scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main,candidate_station_count,capacity_candidates_per_station,minimum_electrolyzer_capacity_mw,low_return_entry_count,colocated_6p5_same_configuration_count,colocated_6p5_independent_optimized_count,independent_h2_8_same_configuration_count,independent_h2_8_independent_optimized_count,strict_marginal_vs_6p5_count,strict_marginal_vs_8_count,low_return_station_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year,low_return_mean_capture_target,low_return_median_capture_target,strict_6p5_station_count,strict_6p5_capacity_gw,strict_6p5_capex_100m_cny,strict_6p5_h2_mt_per_year,strict_6p5_mean_capture_target,strict_6p5_median_capture_target,strict_8_station_count,strict_8_capacity_gw,strict_8_capex_100m_cny,strict_8_h2_mt_per_year,strict_8_mean_capture_target,strict_8_median_capture_target
C001,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.025,False,10214,16,1.0,6715,6073,6082,5692,5834,633,881,6715,25.99265705156746,935.7356538564285,0.4955455471608097,0.8156947133283695,0.8,633,0.7256063486522922,26.12182855148252,0.006053034984961208,0.8091627172195893,0.8,881,1.0070308863169088,36.253111907408716,0.008961564462808758,0.7987400681044269,0.8
C002,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.035,False,10214,16,1.0,6678,6011,6020,5586,5758,658,920,6678,25.638967565910388,923.002832372774,0.4932596917061131,0.8115498652291107,0.8,658,0.752753170383251,27.099114133797034,0.0064612195729076395,0.801306990881459,0.8,920,1.0496975803025184,37.789112890890664,0.009611181235819116,0.7860000000000001,0.8
C003,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.5,0.045,False,10214,16,1.0,6647,5949,5962,5463,5684,685,963,6647,25.421036669105636,915.157320087803,0.4918074908689303,0.8086294568978488,0.8,685,0.7799557579999216,28.07840728799718,0.006863608803499148,0.7946277372262774,0.8,963,1.0971534638739544,39.49752469946236,0.010302761227556374,0.7753894080996885,0.8
C004,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.025,False,10214,16,1.0,6699,6192,6193,6005,6016,506,683,6699,25.846276658704113,930.4659597133481,0.4946043144638965,0.8139961188237052,0.8,506,0.5805040085175615,20.898144306632208,0.0047131916125706715,0.814090909090909,0.8,683,0.7819179802229055,28.149047288024597,0.006676293424797438,0.8036456808199123,0.8
C005,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False,10214,16,1.0,6652,6105,6108,5871,5899,544,753,6652,25.475976970341158,917.1351709322818,0.49217313799829077,0.8092844257366206,0.8,544,0.6203961556338374,22.334261602818145,0.005243435223863962,0.8023345588235293,0.8,753,0.8566295425481212,30.83866353173237,0.007645501891053993,0.7916467463479416,0.8
C006,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False,10214,16,1.0,6615,6014,6020,5758,5817,595,798,6615,25.207644883911144,907.4752158208013,0.4903356928214649,0.8057868480725625,0.8,595,0.6788557352232664,24.438806468037587,0.005938690509278049,0.798,0.8,798,0.9082754310774812,32.69791551878932,0.008346737499234341,0.7903383458646617,0.8
C007,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False,10214,16,1.0,6692,6239,6239,6086,6091,453,601,6692,25.784489912948235,928.2416368661364,0.49419909098433795,0.8129871488344292,0.8,453,0.5202006269595838,18.727222570545017,0.004176451847845444,0.8148785871964682,0.8,601,0.6879620545356052,24.766633963281787,0.005765029101206208,0.8068552412645591,0.8
C008,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False,10214,16,1.0,6642,6155,6156,5986,5996,486,646,6642,25.398888481263707,914.3599853254934,0.4916576193995657,0.8083047274917194,0.8,486,0.5541419892696005,19.94911161370562,0.004634356447620484,0.8036831275720165,0.8,646,0.7366290513802806,26.518645849690095,0.006436112820003312,0.7959442724458206,0.8
C009,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False,10214,16,1.0,6601,6065,6069,5840,5859,532,742,6601,25.070815176528615,902.5493463550303,0.4893828047974364,0.8039736403575217,0.8,532,0.6072178916777193,21.859844100397893,0.005266113283944927,0.7990225563909774,0.8,742,0.8444514119627791,30.40025083066005,0.007714689466753447,0.793167115902965,0.8
C010,curtailment_only,3600.0,0.0,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False,10214,16,1.0,7323,6583,6601,6166,6384,722,939,7323,39.09452458574448,1407.4028850868017,0.746919724881444,0.7995630206199646,0.8,722,0.826468972919373,29.752883025097436,0.006892143955117507,0.7859972299168975,0.8,939,1.0865925316243359,39.117331138476096,0.009562524086220547,0.7640362087326943,0.8
