resource_branch,outcome,factor,marginal_mean_min,marginal_mean_max,marginal_mean_range,eta_squared_one_factor,level_means
curtailment_only,low_return_entry_count,system_capex_cny_per_kw,1483.6759259259259,6233.7623456790125,4750.086419753086,0.7435420499017753,"{""3600.0"": 6233.7623456790125, ""7200.0"": 3384.1574074074074, ""10800.0"": 1483.6759259259259}"
curtailment_only,low_return_entry_count,curtailed_power_price_cny_per_kwh,2531.320987654321,4549.172839506173,2017.8518518518517,0.11053404270094475,"{""0.0"": 4549.172839506173, ""0.05"": 4113.094650205761, ""0.1"": 3608.5390946502057, ""0.2"": 2531.320987654321}"
curtailment_only,low_return_entry_count,opex_accounting_case,2766.317901234568,4513.966049382716,1747.6481481481478,0.10075058619155239,"{""DOE_explicit_5pct_plus_11pct"": 2766.317901234568, ""WB_allin_2pct"": 4513.966049382716, ""WB_allin_3pct"": 3821.311728395062}"
curtailment_only,low_return_entry_count,resource_realization,3329.4413580246915,4017.7685185185187,688.3271604938273,0.015691113298142143,"{""0.5"": 3329.4413580246915, ""0.75"": 3754.385802469136, ""1.0"": 4017.7685185185187}"
curtailment_only,low_return_entry_count,debt_ratio,3658.820987654321,3753.4166666666665,94.5956790123455,0.0003031882405705538,"{""0.5"": 3753.4166666666665, ""0.7"": 3689.358024691358, ""0.8"": 3658.820987654321}"
curtailment_only,low_return_entry_count,loan_rate,3598.043209876543,3805.364197530864,207.32098765432102,0.0013983436998384917,"{""0.025"": 3805.364197530864, ""0.035"": 3698.188271604938, ""0.045"": 3598.043209876543}"
curtailment_only,colocated_6p5_independent_optimized_count,system_capex_cny_per_kw,619.716049382716,5351.413580246914,4731.697530864198,0.8171949326582278,"{""3600.0"": 5351.413580246914, ""7200.0"": 2001.9444444444443, ""10800.0"": 619.716049382716}"
curtailment_only,colocated_6p5_independent_optimized_count,curtailed_power_price_cny_per_kwh,1638.4567901234568,3419.617283950617,1781.1604938271603,0.09057609795735418,"{""0.0"": 3419.617283950617, ""0.05"": 3006.8106995884773, ""0.1"": 2565.880658436214, ""0.2"": 1638.4567901234568}"
curtailment_only,colocated_6p5_independent_optimized_count,opex_accounting_case,1990.2932098765432,3220.929012345679,1230.6358024691358,0.05338960063647879,"{""DOE_explicit_5pct_plus_11pct"": 1990.2932098765432, ""WB_allin_2pct"": 3220.929012345679, ""WB_allin_3pct"": 2761.8518518518517}"
curtailment_only,colocated_6p5_independent_optimized_count,resource_realization,2378.1543209876545,2897.533950617284,519.3796296296296,0.009472767834731546,"{""0.5"": 2378.1543209876545, ""0.75"": 2697.385802469136, ""1.0"": 2897.533950617284}"
curtailment_only,colocated_6p5_independent_optimized_count,debt_ratio,2561.132716049383,2735.7006172839506,174.56790123456767,0.0010873232958817718,"{""0.5"": 2561.132716049383, ""0.7"": 2676.240740740741, ""0.8"": 2735.7006172839506}"
curtailment_only,colocated_6p5_independent_optimized_count,loan_rate,2546.509259259259,2771.3888888888887,224.87962962962956,0.0017459267234269764,"{""0.025"": 2771.3888888888887, ""0.035"": 2655.175925925926, ""0.045"": 2546.509259259259}"
curtailment_only,independent_h2_8_independent_optimized_count,system_capex_cny_per_kw,476.99691358024694,5063.425925925926,4586.429012345679,0.8258283615385852,"{""3600.0"": 5063.425925925926, ""7200.0"": 1668.3425925925926, ""10800.0"": 476.99691358024694}"
curtailment_only,independent_h2_8_independent_optimized_count,curtailed_power_price_cny_per_kwh,1434.275720164609,3134.8477366255142,1700.5720164609052,0.08682954269659014,"{""0.0"": 3134.8477366255142, ""0.05"": 2728.5637860082306, ""0.1"": 2314.0, ""0.2"": 1434.275720164609}"
curtailment_only,independent_h2_8_independent_optimized_count,opex_accounting_case,1809.2993827160494,2909.4506172839506,1100.1512345679012,0.04495068338613814,"{""DOE_explicit_5pct_plus_11pct"": 1809.2993827160494, ""WB_allin_2pct"": 2909.4506172839506, ""WB_allin_3pct"": 2490.0154320987654}"
curtailment_only,independent_h2_8_independent_optimized_count,resource_realization,2143.027777777778,2624.703703703704,481.6759259259261,0.008616543373838936,"{""0.5"": 2143.027777777778, ""0.75"": 2441.033950617284, ""1.0"": 2624.703703703704}"
curtailment_only,independent_h2_8_independent_optimized_count,debt_ratio,2260.6543209876545,2518.364197530864,257.7098765432097,0.0024997468686367647,"{""0.5"": 2260.6543209876545, ""0.7"": 2429.746913580247, ""0.8"": 2518.364197530864}"
curtailment_only,independent_h2_8_independent_optimized_count,loan_rate,2289.5401234567903,2517.703703703704,228.16358024691363,0.0018979453999863095,"{""0.025"": 2517.703703703704, ""0.035"": 2401.5216049382716, ""0.045"": 2289.5401234567903}"
curtailment_only,strict_marginal_vs_6p5_count,system_capex_cny_per_kw,863.9598765432099,1382.212962962963,518.2530864197531,0.2126977742687731,"{""3600.0"": 882.3487654320987, ""7200.0"": 1382.212962962963, ""10800.0"": 863.9598765432099}"
curtailment_only,strict_marginal_vs_6p5_count,curtailed_power_price_cny_per_kwh,892.8641975308642,1129.5555555555557,236.69135802469145,0.031398769441128634,"{""0.0"": 1129.5555555555557, ""0.05"": 1106.283950617284, ""0.1"": 1042.6584362139918, ""0.2"": 892.8641975308642}"
curtailment_only,strict_marginal_vs_6p5_count,opex_accounting_case,776.0246913580247,1293.037037037037,517.0123456790122,0.16489586629166036,"{""DOE_explicit_5pct_plus_11pct"": 776.0246913580247, ""WB_allin_2pct"": 1293.037037037037, ""WB_allin_3pct"": 1059.45987654321}"
curtailment_only,strict_marginal_vs_6p5_count,resource_realization,951.2870370370371,1120.2345679012346,168.94753086419757,0.01792354598728913,"{""0.5"": 951.2870370370371, ""0.75"": 1057.0, ""1.0"": 1120.2345679012346}"
curtailment_only,strict_marginal_vs_6p5_count,debt_ratio,923.1203703703703,1192.283950617284,269.16358024691374,0.046184952390399395,"{""0.5"": 1192.283950617284, ""0.7"": 1013.1172839506173, ""0.8"": 923.1203703703703}"
curtailment_only,strict_marginal_vs_6p5_count,loan_rate,1033.9753086419753,1051.533950617284,17.558641975308774,0.00018965763495667698,"{""0.025"": 1033.9753086419753, ""0.035"": 1043.0123456790122, ""0.045"": 1051.533950617284}"
full_output_upper_bound,low_return_entry_count,system_capex_cny_per_kw,6862.62037037037,9248.333333333334,2385.7129629629635,0.6854619176195577,"{""3600.0"": 9248.333333333334, ""7200.0"": 8176.7962962962965, ""10800.0"": 6862.62037037037}"
full_output_upper_bound,low_return_entry_count,curtailed_power_price_cny_per_kwh,7895.061728395061,8233.345679012345,338.28395061728406,0.01149595994119468,"{""0.0"": 8233.345679012345, ""0.05"": 8163.79012345679, ""0.1"": 8091.469135802469, ""0.2"": 7895.061728395061}"
full_output_upper_bound,low_return_entry_count,opex_accounting_case,7336.111111111111,8657.851851851852,1321.7407407407409,0.22377129753855085,"{""DOE_explicit_5pct_plus_11pct"": 7336.111111111111, ""WB_allin_2pct"": 8657.851851851852, ""WB_allin_3pct"": 8293.787037037036}"
full_output_upper_bound,low_return_entry_count,debt_ratio,8071.138888888889,8127.712962962963,56.574074074073906,0.0004018741127062542,"{""0.5"": 8127.712962962963, ""0.7"": 8088.898148148148, ""0.8"": 8071.138888888889}"
full_output_upper_bound,low_return_entry_count,loan_rate,8035.611111111111,8155.898148148148,120.2870370370365,0.0017365976330514761,"{""0.025"": 8155.898148148148, ""0.035"": 8096.240740740741, ""0.045"": 8035.611111111111}"
full_output_upper_bound,colocated_6p5_independent_optimized_count,system_capex_cny_per_kw,5626.4537037037035,8994.75925925926,3368.3055555555557,0.7986518203872639,"{""3600.0"": 8994.75925925926, ""7200.0"": 7413.694444444444, ""10800.0"": 5626.4537037037035}"
full_output_upper_bound,colocated_6p5_independent_optimized_count,curtailed_power_price_cny_per_kwh,7007.83950617284,7578.62962962963,570.7901234567898,0.019404401220133042,"{""0.0"": 7578.62962962963, ""0.05"": 7468.79012345679, ""0.1"": 7324.617283950617, ""0.2"": 7007.83950617284}"
full_output_upper_bound,colocated_6p5_independent_optimized_count,opex_accounting_case,6593.564814814815,7894.916666666667,1301.3518518518522,0.12762447627657672,"{""DOE_explicit_5pct_plus_11pct"": 6593.564814814815, ""WB_allin_2pct"": 7894.916666666667, ""WB_allin_3pct"": 7546.425925925926}"
full_output_upper_bound,colocated_6p5_independent_optimized_count,debt_ratio,7256.648148148148,7414.009259259259,157.3611111111113,0.0018193631292763265,"{""0.5"": 7256.648148148148, ""0.7"": 7364.25, ""0.8"": 7414.009259259259}"
full_output_upper_bound,colocated_6p5_independent_optimized_count,loan_rate,7240.018518518518,7448.416666666667,208.39814814814872,0.003053851739841344,"{""0.025"": 7448.416666666667, ""0.035"": 7346.472222222223, ""0.045"": 7240.018518518518}"
full_output_upper_bound,independent_h2_8_independent_optimized_count,system_capex_cny_per_kw,5236.75,8914.037037037036,3677.2870370370365,0.8150324977149581,"{""3600.0"": 8914.037037037036, ""7200.0"": 7184.166666666667, ""10800.0"": 5236.75}"
full_output_upper_bound,independent_h2_8_independent_optimized_count,curtailed_power_price_cny_per_kwh,6759.358024691358,7367.530864197531,608.1728395061727,0.018581560027463275,"{""0.0"": 7367.530864197531, ""0.05"": 7235.802469135802, ""0.1"": 7083.913580246914, ""0.2"": 6759.358024691358}"
full_output_upper_bound,independent_h2_8_independent_optimized_count,opex_accounting_case,6334.7037037037035,7666.12962962963,1331.425925925926,0.11565911828398924,"{""DOE_explicit_5pct_plus_11pct"": 6334.7037037037035, ""WB_allin_2pct"": 7666.12962962963, ""WB_allin_3pct"": 7334.12037037037}"
full_output_upper_bound,independent_h2_8_independent_optimized_count,debt_ratio,6971.537037037037,7224.138888888889,252.60185185185128,0.0039792177578397425,"{""0.5"": 6971.537037037037, ""0.7"": 7139.277777777777, ""0.8"": 7224.138888888889}"
full_output_upper_bound,independent_h2_8_independent_optimized_count,loan_rate,6998.5462962962965,7225.055555555556,226.50925925925912,0.0030887851538871193,"{""0.025"": 7225.055555555556, ""0.035"": 7111.351851851852, ""0.045"": 6998.5462962962965}"
full_output_upper_bound,strict_marginal_vs_6p5_count,system_capex_cny_per_kw,253.57407407407408,1236.1666666666667,982.5925925925926,0.8413542696358836,"{""3600.0"": 253.57407407407408, ""7200.0"": 763.1018518518518, ""10800.0"": 1236.1666666666667}"
full_output_upper_bound,strict_marginal_vs_6p5_count,curtailed_power_price_cny_per_kwh,654.716049382716,887.2222222222222,232.50617283950612,0.04078292431253151,"{""0.0"": 654.716049382716, ""0.05"": 695.0, ""0.1"": 766.8518518518518, ""0.2"": 887.2222222222222}"
full_output_upper_bound,strict_marginal_vs_6p5_count,opex_accounting_case,742.5462962962963,762.9351851851852,20.388888888888914,0.00039570326706637397,"{""DOE_explicit_5pct_plus_11pct"": 742.5462962962963, ""WB_allin_2pct"": 762.9351851851852, ""WB_allin_3pct"": 747.3611111111111}"
full_output_upper_bound,strict_marginal_vs_6p5_count,debt_ratio,657.1296296296297,871.0648148148148,213.9351851851851,0.041672847086626996,"{""0.5"": 871.0648148148148, ""0.7"": 724.6481481481482, ""0.8"": 657.1296296296297}"
