debt_ratio,nominal_loan_rate,low_return_entry_record_count,colocated_6p5_record_count,strict_marginal_record_count,interpretation
0.0,0.02,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.03,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.035,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.04,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.05,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.06,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.0,0.08,2253,966,1287,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.02,2213,1066,1147,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.03,2146,1054,1092,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.035,2115,1050,1065,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.04,2071,1047,1024,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.05,2008,1006,1002,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.06,1930,988,942,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.3,0.08,1756,922,834,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.02,2195,1150,1045,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.03,2068,1096,972,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.035,2020,1082,938,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.04,1961,1066,895,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.05,1802,1050,752,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.06,1703,999,704,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.5,0.08,1531,898,633,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.02,2167,1225,942,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.03,1998,1165,833,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.035,1889,1148,741,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.04,1798,1104,694,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.05,1635,1060,575,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.06,1546,1027,519,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.7,0.08,1370,891,479,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.02,2149,1270,879,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.03,1967,1198,769,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.035,1835,1165,670,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.04,1725,1137,588,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.05,1584,1072,512,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.06,1489,1030,459,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.8,0.08,1309,872,437,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.02,2137,1308,829,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.03,1904,1228,676,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.035,1779,1192,587,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.04,1694,1161,533,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.05,1546,1082,464,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.06,1426,1041,385,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
0.9,0.08,1282,863,419,wide deterministic financing surface; no probability weights and no claim that every pair is currently bankable
