resource_branch,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,entry_information_case,low_return_entry_count,colocated_6p5_count,raw_npv_colocated_6p5_independent_optimized_count,strict_marginal_vs_6p5_count
curtailment_only,22.0,front_loaded,price_path_fully_anticipated_at_FID,1212,855,855,357
curtailment_only,22.0,linear,price_path_fully_anticipated_at_FID,1303,992,992,311
curtailment_only,22.0,back_loaded,price_path_fully_anticipated_at_FID,1474,1066,1066,408
curtailment_only,18.0,front_loaded,price_path_fully_anticipated_at_FID,923,453,453,470
curtailment_only,18.0,linear,price_path_fully_anticipated_at_FID,1111,774,774,337
curtailment_only,18.0,back_loaded,price_path_fully_anticipated_at_FID,1275,994,994,281
curtailment_only,15.0,front_loaded,price_path_fully_anticipated_at_FID,543,240,240,303
curtailment_only,15.0,linear,price_path_fully_anticipated_at_FID,953,599,599,354
curtailment_only,15.0,back_loaded,price_path_fully_anticipated_at_FID,1174,906,906,268
curtailment_only,12.0,front_loaded,price_path_fully_anticipated_at_FID,151,20,20,131
curtailment_only,12.0,linear,price_path_fully_anticipated_at_FID,661,396,396,265
curtailment_only,12.0,back_loaded,price_path_fully_anticipated_at_FID,1062,822,822,240
full_output_upper_bound,22.0,front_loaded,price_path_fully_anticipated_at_FID,6122,5642,5642,480
full_output_upper_bound,22.0,linear,price_path_fully_anticipated_at_FID,6699,6079,6079,620
full_output_upper_bound,22.0,back_loaded,price_path_fully_anticipated_at_FID,7224,6508,6508,716
full_output_upper_bound,18.0,front_loaded,price_path_fully_anticipated_at_FID,4734,4421,4421,313
full_output_upper_bound,18.0,linear,price_path_fully_anticipated_at_FID,5626,5413,5424,213
full_output_upper_bound,18.0,back_loaded,price_path_fully_anticipated_at_FID,6345,6104,6105,241
full_output_upper_bound,15.0,front_loaded,price_path_fully_anticipated_at_FID,3583,3451,3559,132
full_output_upper_bound,15.0,linear,price_path_fully_anticipated_at_FID,4709,4623,4835,86
full_output_upper_bound,15.0,back_loaded,price_path_fully_anticipated_at_FID,5790,5712,5745,78
full_output_upper_bound,12.0,front_loaded,price_path_fully_anticipated_at_FID,1504,1502,1888,2
full_output_upper_bound,12.0,linear,price_path_fully_anticipated_at_FID,3823,3820,4216,3
full_output_upper_bound,12.0,back_loaded,price_path_fully_anticipated_at_FID,5188,5185,5480,3
