ObjectId,merge_province_cn,power_type_cn,component,source_optimistic_multiple,critical_learning_multiple,right_censored_at_20,implied_2060_energy_kwh_per_kg,implied_2060_stack_life_hours,implied_2060_stack_cost_factor,implied_2060_replacement_share_of_initial_capex,equivalent_energy_improvement_per_doubling,equivalent_stack_life_progress_per_doubling,equivalent_stack_learning_rate
11041,西藏,光伏,energy_only,1.4000000000000017,4.4,False,33.000000000000014,60000.0,1.0,0.11,0.054569036985107844,0.0,0.0
11990,西藏,光伏,energy_only,1.4000000000000017,1.7,False,46.50000000000001,60000.0,1.0,0.11,0.018272775398961882,0.0,0.0
175,甘肃,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
179,甘肃,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
1798,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
1800,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
181,甘肃,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
199,甘肃,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4006,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4126,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
413,甘肃,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4130,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4132,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4133,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4136,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4137,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4138,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4140,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4143,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4146,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4149,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4153,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4155,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
4156,青海,光伏,energy_only,1.4000000000000017,20.0,True,33.0,60000.0,1.0,0.11,0.054569036985107955,0.0,0.0
