resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,curtailment_only_P22_front_loaded_none,22.0,front_loaded,none,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-50.214638006483,-58.99673838632658,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_front_loaded_conservative,22.0,front_loaded,conservative,strict_marginal_vs_6p5,741,10,0,0,0,0,0.01349527665317139,0.0,0.0,-45.58644859008993,-58.080674196240786,1.996362631393401,143.7381094603249,0.059567640459391634
curtailment_only,curtailment_only_P22_front_loaded_base,22.0,front_loaded,base,strict_marginal_vs_6p5,741,16,0,0,0,0,0.021592442645074223,0.0,0.0,-43.841600220784265,-57.73783089243061,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P22_front_loaded_optimistic,22.0,front_loaded,optimistic,strict_marginal_vs_6p5,741,41,0,0,0,0,0.0553306342780027,0.0,0.0,-41.50160668227341,-57.27674865930059,1.996362631393401,143.7381094603249,0.059781516288062976
curtailment_only,curtailment_only_P22_linear_none,22.0,linear,none,strict_marginal_vs_6p5,741,45,0,0,0,0,0.06072874493927125,0.0,0.0,-31.1652342522323,-48.66078878040887,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_linear_conservative,22.0,linear,conservative,strict_marginal_vs_6p5,741,75,0,0,0,0,0.10121457489878542,0.0,0.0,-26.533270245721503,-47.743952066641086,1.996362631393401,143.7381094603249,0.059567640459391634
curtailment_only,curtailment_only_P22_linear_base,22.0,linear,base,strict_marginal_vs_6p5,741,79,0,0,0,0,0.10661268556005399,0.0,0.0,-24.785670286938796,-47.4005456894409,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P22_linear_optimistic,22.0,linear,optimistic,strict_marginal_vs_6p5,741,115,0,0,0,0,0.15519568151147098,0.0,0.0,-22.44262861186921,-46.93883938896487,1.996362631393401,143.7381094603249,0.059781516288062976
curtailment_only,curtailment_only_P22_back_loaded_none,22.0,back_loaded,none,strict_marginal_vs_6p5,741,151,0,0,0,0,0.203778677462888,0.0,0.0,-12.79555786213308,-40.17765499963341,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P22_back_loaded_conservative,22.0,back_loaded,conservative,strict_marginal_vs_6p5,741,232,0,0,0,0,0.31309041835357626,0.0,0.0,-8.156434715132585,-39.259355697777885,1.996362631393401,143.7381094603249,0.059567640459391634
