ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
10030,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.03417664857378108,-0.010798016612147961
10031,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.0769959887431439,-0.0018170252034785221
10077,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.06248594616521663,-0.005754990663842301
10227,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.09159866156056864,-0.016987501567148972
10679,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.057628561870850845,-0.00856175458961641
10854,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.06604490850853069,-0.022278957602723883
10956,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.025508514147057407,-0.006331320843433624
11008,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.034167616018935636,-0.006387462915351666
11038,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.04717979971765523,-0.005680724941205101
11041,西藏,光伏,curtailment_only,22.0,True,True,False,False,False,False,0.007744362690716212,-0.017843479930242857
11045,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.05012561683822151,-0.006213343769126825
11051,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.04131343820142587,-0.007537919719600517
11187,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.05079882508525806,-0.01066589003693634
11188,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.10033501614805682,-0.01111271501481934
11189,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.05838524212650831,-0.010363482411854037
11373,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.042690697512088635,-0.007397111800820569
11985,西藏,光伏,curtailment_only,22.0,False,True,False,False,False,False,0.03417664857378108,-0.010798016612147961
11990,西藏,光伏,curtailment_only,22.0,True,True,False,False,False,False,0.016879560909703085,-0.011024894911102904
175,甘肃,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.045327317744711396,-0.05764129928127727
179,甘肃,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.025684165368495583,-0.03219029586014338
1798,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.0056160737460643,-0.05899397250268341
1800,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.024417724174346317,-0.2564955390851421
181,甘肃,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.037017887847350744,-0.05143940913112511
199,甘肃,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.04346179072186239,-0.05577794094654049
4006,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.026555201323146163,-0.06317161486020297
4126,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.021217252151685212,-0.033595779361123956
413,甘肃,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.02781595159929167,-0.034831300368806384
4130,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.04111592175747898,-0.051117026717239035
4132,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.04111592175747898,-0.051117026717239035
4133,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.04111592175747898,-0.051117026717239035
4136,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.021217252151685212,-0.033595779361123956
4137,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.009776666435174934,-0.024833783567995298
4138,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.012700347187749855,-0.03638578901308017
4140,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.03013513464747628,-0.06510223147892698
4143,青海,光伏,curtailment_only,22.0,True,False,False,False,False,False,-0.015067568114958541,-0.03255111617198768
