ObjectId,merge_province_cn,power_type_cn,fixed_stack_replacement_cadence_hours,critical_combined_learning_multiple,right_censored_at_20,passes_at_base_learning,passes_within_source_optimistic_envelope
11041,西藏,光伏,20000.0,1.2,False,False,True
11990,西藏,光伏,20000.0,0.8,False,True,True
175,甘肃,光伏,20000.0,3.8,False,False,False
179,甘肃,光伏,20000.0,3.9,False,False,False
1798,青海,光伏,20000.0,1.6,False,False,False
1800,青海,光伏,20000.0,1.6,False,False,False
181,甘肃,光伏,20000.0,3.4,False,False,False
199,甘肃,光伏,20000.0,3.8,False,False,False
4006,青海,光伏,20000.0,1.9,False,False,False
4126,青海,光伏,20000.0,2.4,False,False,False
413,甘肃,光伏,20000.0,3.8,False,False,False
4130,青海,光伏,20000.0,3.7,False,False,False
4132,青海,光伏,20000.0,3.7,False,False,False
4133,青海,光伏,20000.0,3.7,False,False,False
4136,青海,光伏,20000.0,2.4,False,False,False
4137,青海,光伏,20000.0,1.9,False,False,False
4138,青海,光伏,20000.0,1.8,False,False,False
4140,青海,光伏,20000.0,2.0,False,False,False
4143,青海,光伏,20000.0,2.0,False,False,False
4146,青海,光伏,20000.0,2.3,False,False,False
4149,青海,光伏,20000.0,1.9,False,False,False
4153,青海,光伏,20000.0,1.6,False,False,False
4155,青海,光伏,20000.0,1.6,False,False,False
4156,青海,光伏,20000.0,1.6,False,False,False
4157,青海,光伏,20000.0,1.6,False,False,False
4159,青海,光伏,20000.0,1.6,False,False,False
4160,青海,光伏,20000.0,1.6,False,False,False
4161,青海,光伏,20000.0,2.1,False,False,False
4163,青海,光伏,20000.0,2.1,False,False,False
4165,青海,光伏,20000.0,1.5,False,False,False
4167,青海,光伏,20000.0,2.1,False,False,False
4180,青海,光伏,20000.0,2.1,False,False,False
4182,青海,光伏,20000.0,1.6,False,False,False
4189,青海,光伏,20000.0,1.6,False,False,False
4190,青海,光伏,20000.0,1.6,False,False,False
4192,青海,光伏,20000.0,2.7,False,False,False
4197,青海,光伏,20000.0,1.9,False,False,False
4199,青海,光伏,20000.0,3.7,False,False,False
4204,青海,光伏,20000.0,1.9,False,False,False
4205,青海,光伏,20000.0,3.3,False,False,False
4208,青海,光伏,20000.0,1.6,False,False,False
4225,青海,光伏,20000.0,2.1,False,False,False
4228,青海,光伏,20000.0,1.6,False,False,False
4233,青海,光伏,20000.0,2.1,False,False,False
4242,青海,光伏,20000.0,3.3,False,False,False
4250,青海,光伏,20000.0,3.3,False,False,False
4256,青海,光伏,20000.0,2.4,False,False,False
4263,青海,光伏,20000.0,1.6,False,False,False
4268,青海,光伏,20000.0,1.9,False,False,False
4274,青海,光伏,20000.0,2.0,False,False,False
4283,青海,光伏,20000.0,1.9,False,False,False
4288,青海,光伏,20000.0,1.6,False,False,False
4291,青海,光伏,20000.0,1.8,False,False,False
4301,青海,光伏,20000.0,1.7,False,False,False
4317,青海,光伏,20000.0,1.5,False,False,False
4320,青海,光伏,20000.0,1.9,False,False,False
4326,青海,光伏,20000.0,2.1,False,False,False
4420,青海,光伏,20000.0,3.3,False,False,False
4434,青海,光伏,20000.0,3.3,False,False,False
4440,青海,光伏,20000.0,2.0,False,False,False
4446,青海,光伏,20000.0,3.3,False,False,False
4452,青海,光伏,20000.0,1.9,False,False,False
4463,青海,光伏,20000.0,1.9,False,False,False
4479,青海,光伏,20000.0,2.7,False,False,False
4490,青海,光伏,20000.0,1.8,False,False,False
4510,青海,光伏,20000.0,1.7,False,False,False
4516,青海,光伏,20000.0,1.9,False,False,False
4522,青海,光伏,20000.0,1.9,False,False,False
4543,青海,光伏,20000.0,1.9,False,False,False
459,甘肃,光伏,20000.0,3.5,False,False,False
4609,青海,光伏,20000.0,2.7,False,False,False
461,甘肃,光伏,20000.0,3.5,False,False,False
4615,青海,光伏,20000.0,2.1,False,False,False
4622,青海,光伏,20000.0,1.6,False,False,False
463,甘肃,光伏,20000.0,3.8,False,False,False
4631,青海,光伏,20000.0,1.6,False,False,False
464,甘肃,光伏,20000.0,3.5,False,False,False
4641,青海,光伏,20000.0,2.1,False,False,False
4642,青海,光伏,20000.0,2.7,False,False,False
4647,青海,光伏,20000.0,1.5,False,False,False
4648,青海,光伏,20000.0,1.9,False,False,False
4654,青海,光伏,20000.0,1.9,False,False,False
468,甘肃,光伏,20000.0,3.8,False,False,False
4682,青海,光伏,20000.0,2.0,False,False,False
4690,青海,光伏,20000.0,2.7,False,False,False
4705,青海,光伏,20000.0,1.5,False,False,False
4709,青海,光伏,20000.0,3.4,False,False,False
4710,青海,光伏,20000.0,2.4,False,False,False
4712,青海,光伏,20000.0,2.3,False,False,False
4716,青海,光伏,20000.0,2.0,False,False,False
4718,青海,光伏,20000.0,1.9,False,False,False
4722,青海,光伏,20000.0,2.0,False,False,False
4724,青海,光伏,20000.0,1.9,False,False,False
4744,青海,光伏,20000.0,1.8,False,False,False
4746,青海,光伏,20000.0,2.3,False,False,False
4752,青海,光伏,20000.0,2.3,False,False,False
4756,青海,光伏,20000.0,1.8,False,False,False
4757,青海,光伏,20000.0,1.7,False,False,False
4767,青海,光伏,20000.0,2.2,False,False,False
4795,青海,光伏,20000.0,2.8,False,False,False
4804,青海,光伏,20000.0,2.2,False,False,False
4811,青海,光伏,20000.0,1.6,False,False,False
4817,青海,光伏,20000.0,2.2,False,False,False
4824,青海,光伏,20000.0,2.9,False,False,False
4854,青海,光伏,20000.0,2.0,False,False,False
4865,青海,光伏,20000.0,1.6,False,False,False
4868,青海,光伏,20000.0,2.3,False,False,False
4874,青海,光伏,20000.0,2.3,False,False,False
4891,青海,光伏,20000.0,1.6,False,False,False
4897,青海,光伏,20000.0,1.5,False,False,False
4899,青海,光伏,20000.0,1.9,False,False,False
4905,青海,光伏,20000.0,1.9,False,False,False
4916,青海,光伏,20000.0,1.9,False,False,False
4931,青海,光伏,20000.0,3.3,False,False,False
4932,青海,光伏,20000.0,1.5,False,False,False
4933,青海,光伏,20000.0,2.4,False,False,False
4943,青海,光伏,20000.0,2.0,False,False,False
4944,青海,光伏,20000.0,1.5,False,False,False
4952,青海,光伏,20000.0,2.0,False,False,False
4956,青海,光伏,20000.0,2.0,False,False,False
4960,青海,光伏,20000.0,2.1,False,False,False
4966,青海,光伏,20000.0,2.1,False,False,False
4977,青海,光伏,20000.0,2.1,False,False,False
4980,青海,光伏,20000.0,3.6,False,False,False
4983,青海,光伏,20000.0,3.7,False,False,False
4992,青海,光伏,20000.0,2.1,False,False,False
4994,青海,光伏,20000.0,2.2,False,False,False
518,甘肃,光伏,20000.0,3.9,False,False,False
521,甘肃,光伏,20000.0,3.7,False,False,False
533,甘肃,光伏,20000.0,3.7,False,False,False
540,甘肃,光伏,20000.0,3.7,False,False,False
541,甘肃,光伏,20000.0,3.8,False,False,False
6017,新疆,光伏,20000.0,2.0,False,False,False
6030,新疆,光伏,20000.0,2.9,False,False,False
6031,新疆,光伏,20000.0,3.1,False,False,False
6032,新疆,光伏,20000.0,3.1,False,False,False
6036,新疆,光伏,20000.0,3.2,False,False,False
6037,新疆,光伏,20000.0,2.2,False,False,False
6057,新疆,光伏,20000.0,2.3,False,False,False
6059,新疆,光伏,20000.0,2.7,False,False,False
6060,新疆,光伏,20000.0,2.1,False,False,False
6063,新疆,光伏,20000.0,1.8,False,False,False
6066,新疆,光伏,20000.0,2.2,False,False,False
6067,新疆,光伏,20000.0,2.0,False,False,False
6068,新疆,光伏,20000.0,2.4,False,False,False
6069,新疆,光伏,20000.0,1.9,False,False,False
6070,新疆,光伏,20000.0,1.9,False,False,False
6076,新疆,光伏,20000.0,1.9,False,False,False
6081,新疆,光伏,20000.0,3.3,False,False,False
6082,新疆,光伏,20000.0,1.8,False,False,False
6083,新疆,光伏,20000.0,2.3,False,False,False
6086,新疆,光伏,20000.0,3.2,False,False,False
6089,新疆,光伏,20000.0,3.2,False,False,False
6098,新疆,光伏,20000.0,2.4,False,False,False
6101,新疆,光伏,20000.0,2.3,False,False,False
6102,新疆,光伏,20000.0,2.8,False,False,False
6104,新疆,光伏,20000.0,2.4,False,False,False
6106,新疆,光伏,20000.0,3.6,False,False,False
6111,新疆,光伏,20000.0,2.0,False,False,False
6112,新疆,光伏,20000.0,2.9,False,False,False
6114,新疆,光伏,20000.0,1.9,False,False,False
6117,甘肃,光伏,20000.0,3.9,False,False,False
6120,新疆,光伏,20000.0,2.3,False,False,False
6124,新疆,光伏,20000.0,1.9,False,False,False
6129,新疆,光伏,20000.0,3.1,False,False,False
6131,新疆,光伏,20000.0,3.3,False,False,False
6133,新疆,光伏,20000.0,3.0,False,False,False
6140,新疆,光伏,20000.0,2.3,False,False,False
6143,新疆,光伏,20000.0,3.3,False,False,False
6149,新疆,光伏,20000.0,2.1,False,False,False
6151,新疆,光伏,20000.0,3.6,False,False,False
6159,新疆,光伏,20000.0,3.3,False,False,False
6160,新疆,光伏,20000.0,2.3,False,False,False
6165,新疆,光伏,20000.0,2.0,False,False,False
6175,新疆,光伏,20000.0,3.6,False,False,False
6176,新疆,光伏,20000.0,3.5,False,False,False
6178,新疆,光伏,20000.0,3.3,False,False,False
6183,新疆,光伏,20000.0,2.3,False,False,False
6186,新疆,光伏,20000.0,3.6,False,False,False
6189,新疆,光伏,20000.0,3.2,False,False,False
6190,新疆,光伏,20000.0,2.0,False,False,False
6191,新疆,光伏,20000.0,2.7,False,False,False
6197,新疆,光伏,20000.0,3.3,False,False,False
6199,新疆,光伏,20000.0,3.2,False,False,False
6214,新疆,光伏,20000.0,2.0,False,False,False
6215,新疆,光伏,20000.0,3.0,False,False,False
6219,新疆,光伏,20000.0,2.1,False,False,False
6224,新疆,光伏,20000.0,3.2,False,False,False
6230,新疆,光伏,20000.0,3.2,False,False,False
6247,新疆,光伏,20000.0,3.0,False,False,False
6251,新疆,光伏,20000.0,3.3,False,False,False
6253,新疆,光伏,20000.0,2.0,False,False,False
6259,新疆,光伏,20000.0,3.2,False,False,False
6261,新疆,光伏,20000.0,3.7,False,False,False
6263,新疆,光伏,20000.0,3.7,False,False,False
6268,新疆,光伏,20000.0,2.0,False,False,False
6270,新疆,光伏,20000.0,1.9,False,False,False
6272,新疆,光伏,20000.0,3.7,False,False,False
6276,新疆,光伏,20000.0,1.8,False,False,False
6288,新疆,光伏,20000.0,1.8,False,False,False
6290,新疆,光伏,20000.0,2.3,False,False,False
6294,新疆,光伏,20000.0,1.8,False,False,False
6295,新疆,光伏,20000.0,2.9,False,False,False
6321,新疆,光伏,20000.0,2.2,False,False,False
6322,新疆,光伏,20000.0,2.2,False,False,False
6323,新疆,光伏,20000.0,3.5,False,False,False
6328,新疆,光伏,20000.0,3.5,False,False,False
6334,新疆,光伏,20000.0,3.2,False,False,False
6337,新疆,光伏,20000.0,3.2,False,False,False
6339,新疆,光伏,20000.0,3.3,False,False,False
6344,新疆,光伏,20000.0,3.2,False,False,False
6345,新疆,光伏,20000.0,3.7,False,False,False
6350,新疆,光伏,20000.0,3.5,False,False,False
6358,新疆,光伏,20000.0,3.3,False,False,False
6360,新疆,光伏,20000.0,3.3,False,False,False
6361,新疆,光伏,20000.0,1.9,False,False,False
6362,新疆,光伏,20000.0,3.1,False,False,False
6372,新疆,光伏,20000.0,3.6,False,False,False
6374,新疆,光伏,20000.0,3.6,False,False,False
6375,新疆,光伏,20000.0,3.6,False,False,False
