year,learning_strength,source_case_id,cumulative_electrolyzer_gw,energy_factor,stack_life_hours,stack_cost_factor,new_build_equipment_factor,new_build_bop_epc_factor
2026,conservative,T1_conservative,4.0,1.0,60000.0,1.0,1.0,1.0
2027,conservative,T1_conservative,35.0,0.978572334065173,67856.81084276992,0.7703389603287077,0.7703389603287077,0.9387369392609516
2028,conservative,T1_conservative,50.0,0.9750488106297042,69148.76943577515,0.73798587668651,0.73798587668651,0.929028595115026
2029,conservative,T1_conservative,65.0,0.9724569643276564,70099.11307985937,0.7150580863089392,0.7150580863089392,0.9219514448635986
2030,conservative,T1_conservative,80.0,0.9704057348248414,70851.23056422485,0.6974187090311188,0.6974187090311188,0.9163887100714188
2031,conservative,T1_conservative,102.0,0.9680057160726456,71731.23744002993,0.6773315833031583,0.6773315833031583,0.9099226877045886
2032,conservative,T1_conservative,124.0,0.966076298327864,72438.69061311653,0.661603490553042,0.661603490553042,0.9047576347524252
2033,conservative,T1_conservative,146.0,0.9644628413902272,73030.29149025009,0.65,0.65,0.9004609261480626
2034,conservative,T1_conservative,168.0,0.9630762779447626,73538.6980869204,0.65,0.65,0.8967847514523837
2035,conservative,T1_conservative,190.0,0.9618605908656176,73984.45001594021,0.65,0.65,0.8935739685343855
2036,conservative,T1_conservative,212.0,0.960778246858136,74381.30948535014,0.65,0.65,0.8907250362033403
2037,conservative,T1_conservative,234.0,0.9598028642837068,74738.9497626408,0.65,0.65,0.8881654282404139
2038,conservative,T1_conservative,256.0,0.9589151908239744,75064.43003120947,0.65,0.65,0.8858423808639999
2039,conservative,T1_conservative,278.0,0.9581007456113012,75363.05994252284,0.65,0.65,0.8837163175587408
2040,conservative,T1_conservative,300.0,0.9573483621181522,75638.93389001083,0.65,0.65,0.8817567973734576
2041,conservative,T1_conservative,340.0,0.9561118994090388,76092.3035500191,0.65,0.65,0.878545966245231
2042,conservative,T1_conservative,380.0,0.9550131226696132,76495.18835447512,0.65,0.65,0.8757024891636979
2043,conservative,T1_conservative,420.0,0.9540244173576168,76857.71363554052,0.65,0.65,0.8731517284413465
2044,conservative,T1_conservative,460.0,0.9531257245900944,77187.23431696535,0.65,0.65,0.8708396376956891
2045,conservative,T1_conservative,500.0,0.9523020136505498,77489.26166146509,0.65,0.65,0.8687258325478786
