learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.5,0.2,0.1,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.5,0.2,0.1,0.0,0.25,28.0,710,710,4,0.05902272167978194,-18.89707961009234
conservative,0.5,0.2,0.1,0.0,0.5,28.0,710,710,4,0.11804544335956388,-18.887164326942194
conservative,0.5,0.2,0.1,0.0,0.75,28.0,710,710,5,0.1770681650393458,-18.877249043792048
conservative,0.5,0.2,0.1,0.0,1.0,28.0,710,710,6,0.23609088671912776,-18.867333760641905
conservative,0.5,0.2,0.1,0.25,0.0,26.062802598661445,710,211,0,0.0,-29.820032384179935
conservative,0.5,0.2,0.1,0.25,0.25,26.062802598661445,710,211,0,0.05902272167978194,-29.810117101029796
conservative,0.5,0.2,0.1,0.25,0.5,26.062802598661445,710,211,0,0.11804544335956388,-29.80020181787965
conservative,0.5,0.2,0.1,0.25,0.75,26.062802598661445,710,212,0,0.1770681650393458,-29.7902865347295
conservative,0.5,0.2,0.1,0.25,1.0,26.062802598661445,710,212,0,0.23609088671912776,-29.78037125157936
conservative,0.5,0.2,0.1,0.5,0.0,24.25963140345692,710,4,0,0.0,-40.16518185434939
conservative,0.5,0.2,0.1,0.5,0.25,24.25963140345692,710,5,0,0.05902272167978194,-40.15526657119924
conservative,0.5,0.2,0.1,0.5,0.5,24.25963140345692,710,7,0,0.11804544335956388,-40.1453512880491
conservative,0.5,0.2,0.1,0.5,0.75,24.25963140345692,710,8,0,0.1770681650393458,-40.135436004898956
conservative,0.5,0.2,0.1,0.5,1.0,24.25963140345692,710,8,0,0.23609088671912776,-40.125520721748806
conservative,0.5,0.2,0.1,0.75,0.0,22.58121372802092,710,0,0,0.0,-49.885008561596706
conservative,0.5,0.2,0.1,0.75,0.25,22.58121372802092,710,0,0,0.05902272167978194,-49.87509327844656
