terminal_price,price_shape,strict_record_count,retain_low_count,durable_6p5_count,npv_low_100m_cny,npv_6p5_100m_cny
22.0,front_loaded,710,4,0,-28.672963730260975,-39.85027067946849
22.0,linear,710,45,0,-13.798336544733193,-31.662102648943396
22.0,back_loaded,710,298,0,0.19464541134616195,-25.036026613545342
18.0,front_loaded,710,0,0,-59.93103544955799,-53.882316502254184
18.0,linear,710,0,0,-35.13754806962233,-40.234192244053105
18.0,back_loaded,710,102,0,-11.737824622099453,-29.153021157836648
15.0,front_loaded,710,0,0,-84.54879510320961,-64.71397511579269
15.0,linear,710,0,0,-51.419852391634095,-46.7304101992111
15.0,back_loaded,710,5,0,-20.709597004417475,-32.25138907060044
12.0,front_loaded,710,0,0,-111.74347023036752,-76.37671457552025
12.0,linear,710,0,0,-69.10772227784577,-53.59968153068729
12.0,back_loaded,710,0,0,-30.029920265871876,-35.4347366545782
