event_replacement_cost_share_of_installed_capex,unfloored_stack_cost_learning_rate,strict_record_count,no_learning_reach_6p5_count,with_learning_reach_6p5_count,incremental_npv_6p5_100m_cny
0.06,0.08,710,0,4,0.009553306573454788
0.06,0.13,710,0,4,0.01156945695021594
0.06,0.18,710,0,4,0.01286550263695284
0.06,0.3,710,0,4,0.014303909417594336
0.06,0.5,710,0,4,0.014763661089526299
0.11,0.08,710,0,4,0.014203612991133714
0.11,0.13,710,0,4,0.0178998886818625
0.11,0.18,710,0,4,0.020275972440880145
0.11,0.3,710,0,4,0.022913051538722886
0.11,0.5,710,0,4,0.023755929603931483
0.2,0.08,710,0,0,0.02257416454295579
0.2,0.13,710,0,3,0.02929466579882629
0.2,0.18,710,0,4,0.0336148180879493
0.2,0.3,710,0,4,0.03840950735675428
0.2,0.5,710,0,4,0.03994201292986082
0.25,0.08,710,0,0,0.027224470960634715
0.25,0.13,710,0,0,0.03562509753047285
0.25,0.18,710,0,4,0.041025287891876594
0.25,0.3,710,0,4,0.04701864947788283
0.25,0.5,710,0,4,0.048934281444266
0.35,0.08,710,0,0,0.03652508379599257
0.35,0.13,710,0,0,0.04828596099376597
0.35,0.18,710,0,3,0.0558462274997312
0.35,0.3,710,0,4,0.06423693372013994
0.35,0.5,710,0,4,0.06691881847307637
0.45,0.08,710,0,0,0.04582569663135044
0.45,0.13,710,0,0,0.060946824457059075
0.45,0.18,710,0,0,0.07066716710758582
0.45,0.3,710,0,4,0.08145521796239706
0.45,0.5,710,0,4,0.08490335550188675
