operating_years,project_end_year,cohort,assumed_host_lifetime_years,cohort_record_count,known_start_year_count,host_survives_full_horizon_count,host_survives_share_of_known
15,2040,low,20,791,767,161,0.20990873533246415
15,2040,low,25,791,767,309,0.4028683181225554
15,2040,strict,20,246,236,47,0.19915254237288135
15,2040,strict,25,246,236,114,0.4830508474576271
20,2045,low,20,1165,1122,0,0.0
20,2045,low,25,1165,1122,241,0.21479500891265596
20,2045,strict,20,255,242,0,0.0
20,2045,strict,25,255,242,52,0.21487603305785125
25,2050,low,20,1442,1384,0,0.0
25,2050,low,25,1442,1384,0,0.0
25,2050,strict,20,381,359,0,0.0
25,2050,strict,25,381,359,0,0.0
30,2055,low,20,1809,1746,0,0.0
30,2055,low,25,1809,1746,0,0.0
30,2055,strict,20,710,686,0,0.0
30,2055,strict,25,710,686,0,0.0
35,2060,low,20,2093,2021,0,0.0
35,2060,low,25,2093,2021,0,0.0
35,2060,strict,20,912,884,0,0.0
35,2060,strict,25,912,884,0,0.0
