ObjectId,merge_province_cn,power_type_cn,initial_6p5_gap_100m_cny,operating_learning_gain_100m_cny,gap_share_of_initial_capex,gain_share_of_initial_capex,learning_gain_share_of_gap,closes_gap_at_baseline_learning,selected_electrolyser_capacity_mw,annual_active_hours_at_fid,operating_horizon_years,initial_stack_life_hours,cumulative_operating_hours,first_stack_replacement_year_no_learning,first_stack_replacement_year_with_learning,stack_replacements_no_learning,stack_replacements_with_learning,triggers_stack_replacement_no_learning,triggers_stack_replacement_with_learning,has_positive_operating_learning_gain,replacement_gain_identity_mismatch
10956,西藏,光伏,0.0019033394201048016,0.0015878052220351091,0.026226093868201485,0.0218783514688202,0.8342207413261485,False,1.0079758677189032,2211.0,30,60000.0,66330.0,2053.0,2053.0,1,1,True,True,True,False
11041,西藏,光伏,0.00601928139877793,0.0014231998153052701,0.08328364144065495,0.019691596930549712,0.23644015307113178,False,1.0038121423659607,2158.0,30,60000.0,64740.0,2053.0,2053.0,1,1,True,True,True,False
11990,西藏,光伏,0.005399826632730435,0.0014765159225602622,0.07440240568582945,0.020344419208948986,0.2734376532777051,False,1.007999559018828,2175.0,30,60000.0,65250.0,2053.0,2053.0,1,1,True,True,True,False
1798,青海,光伏,0.03205708755680958,0.0,0.14155179389201047,0.0,0.0,False,3.1454022230024252,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
1800,青海,光伏,0.1393786458081772,0.0,0.14155179832700038,0.0,0.0,False,13.675661828340925,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4006,青海,光伏,0.03630752114222292,0.0,0.18307072500973934,0.0,0.0,False,2.754515376221355,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4040,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4117,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4126,青海,光伏,0.014123072577987937,0.0,0.19551612406163524,0.0,0.0,False,1.0032614279094023,1795.0,30,60000.0,53850.0,,,0,0,False,False,False,False
4127,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4128,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4129,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4130,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False,1.0266141619287374,1779.0,30,60000.0,53370.0,,,0,0,False,False,False,False
4132,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False,1.0266141619287374,1779.0,30,60000.0,53370.0,,,0,0,False,False,False,False
4133,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False,1.0266141619287374,1779.0,30,60000.0,53370.0,,,0,0,False,False,False,False
4134,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4135,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4136,青海,光伏,0.014123072577987937,0.0,0.19551612406163524,0.0,0.0,False,1.0032614279094023,1795.0,30,60000.0,53850.0,,,0,0,False,False,False,False
4137,青海,光伏,0.013356731035184349,0.0,0.17455161863128665,0.0,0.0,False,1.0627810542296423,1811.0,30,60000.0,54330.0,,,0,0,False,False,False,False
4138,青海,光伏,0.0215011201147948,0.0,0.17459434142956964,0.0,0.0,False,1.710402902040804,1819.0,30,60000.0,54570.0,,,0,0,False,False,False,False
4139,青海,光伏,0.016941057435189855,0.0,0.23415746920027938,0.0,0.0,False,1.0048471448774787,1777.0,30,60000.0,53310.0,,,0,0,False,False,False,False
4140,青海,光伏,0.037884802885605966,0.0,0.1895048831017243,0.0,0.0,False,2.776592398271824,1788.0,30,60000.0,53640.0,,,0,0,False,False,False,False
4141,青海,光伏,0.01765684723114674,0.0,0.24440800619576108,0.0,0.0,False,1.003379525648844,1764.0,30,60000.0,52920.0,,,0,0,False,False,False,False
4143,青海,光伏,0.018942401726259325,0.0,0.1895048858708441,0.0,0.0,False,1.3882961996242118,1788.0,30,60000.0,53640.0,,,0,0,False,False,False,False
4144,青海,光伏,0.018496031493716873,0.0,0.25493849924017836,0.0,0.0,False,1.0076521477425304,1753.0,30,60000.0,52590.0,,,0,0,False,False,False,False
4145,青海,光伏,0.018496031493716873,0.0,0.25493849924017836,0.0,0.0,False,1.0076521477425304,1753.0,30,60000.0,52590.0,,,0,0,False,False,False,False
4146,青海,光伏,0.014287110537017282,0.0,0.19638849847052017,0.0,0.0,False,1.0104058656046666,1795.0,30,60000.0,53850.0,,,0,0,False,False,False,False
4147,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4148,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False,1.0194722443985045,1760.0,30,60000.0,52800.0,,,0,0,False,False,False,False
4149,青海,光伏,0.016695912274476046,0.0,0.17455160296449854,0.0,0.0,False,1.3284763161183735,1811.0,30,60000.0,54330.0,,,0,0,False,False,False,False
4151,青海,光伏,0.017985102443977594,0.0,0.24460768412739448,0.0,0.0,False,1.021198865402747,1767.0,30,60000.0,53010.0,,,0,0,False,False,False,False
4153,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False,2.7351323550856224,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4154,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False,1.0177528128374684,1809.0,30,60000.0,54270.0,,,0,0,False,False,False,False
4155,青海,光伏,0.05575145715915946,0.0,0.14155179629122064,0.0,0.0,False,5.4702646957878285,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4156,青海,光伏,0.04181359256272512,0.0,0.1415517945503759,0.0,0.0,False,4.102698542209459,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4157,青海,光伏,0.05575145715915946,0.0,0.14155179629122064,0.0,0.0,False,5.4702646957878285,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4159,青海,光伏,0.14774136875882038,0.0,0.14155180166024423,0.0,0.0,False,14.496201608996715,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4160,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False,1.469899115852112,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4161,青海,光伏,0.012378960091887955,0.0,0.16809761409650087,0.0,0.0,False,1.0227985816474505,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4163,青海,光伏,0.012190018857002428,0.0,0.16887509583166765,0.0,0.0,False,1.0025505337218505,1840.0,30,60000.0,55200.0,,,0,0,False,False,False,False
4165,青海,光伏,0.016355650701065486,0.0,0.15164926730852113,0.0,0.0,False,1.4979420561949002,1862.0,30,60000.0,55860.0,,,0,0,False,False,False,False
4167,青海,光伏,0.012378960091887955,0.0,0.16809761409650087,0.0,0.0,False,1.0227985816474505,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4176,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False,1.0146109500238014,1801.0,30,60000.0,54030.0,,,0,0,False,False,False,False
4179,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False,1.0177528128374684,1809.0,30,60000.0,54270.0,,,0,0,False,False,False,False
4180,青海,光伏,0.012821809315573775,0.0,0.173123809032171,0.0,0.0,False,1.028631971154427,1837.0,30,60000.0,55110.0,,,0,0,False,False,False,False
4182,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False,1.469899115852112,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4189,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False,1.469899115852112,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4190,青海,光伏,0.032811721719359185,0.0,0.15501688266852723,0.0,0.0,False,2.9397982295114597,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4192,青海,光伏,0.016529140606652212,0.0,0.22348826947460415,0.0,0.0,False,1.0272190028331718,1773.0,30,60000.0,53190.0,,,0,0,False,False,False,False
4197,青海,光伏,0.013646048116088638,0.0,0.16009557127250076,0.0,0.0,False,1.1838456526332497,1848.0,30,60000.0,55440.0,,,0,0,False,False,False,False
4204,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False,2.765094723185874,1791.0,30,60000.0,53730.0,,,0,0,False,False,False,False
4205,青海,光伏,0.13744450816605275,0.0,0.19772080046568158,0.0,0.0,False,9.654783400685377,1777.0,30,60000.0,53310.0,,,0,0,False,False,False,False
4208,青海,光伏,0.06251324860470027,0.0,0.15349585808710817,0.0,0.0,False,5.656436432711095,1849.0,30,60000.0,55470.0,,,0,0,False,False,False,False
4225,青海,光伏,0.33506864904905553,0.0,0.19296189526926322,0.0,0.0,False,24.11735866451001,1793.0,30,60000.0,53790.0,,,0,0,False,False,False,False
4228,青海,光伏,0.032811721719359185,0.0,0.15501688266852723,0.0,0.0,False,2.9397982295114597,1844.0,30,60000.0,55320.0,,,0,0,False,False,False,False
4233,青海,光伏,0.03350686298149388,0.0,0.19296188587140392,0.0,0.0,False,2.4117358454681175,1793.0,30,60000.0,53790.0,,,0,0,False,False,False,False
4242,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False,1.0036809807173384,1747.0,30,60000.0,52410.0,,,0,0,False,False,False,False
4250,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False,1.0036809807173384,1747.0,30,60000.0,52410.0,,,0,0,False,False,False,False
4256,青海,光伏,0.014535182707309002,0.0,0.201199601437517,0.0,0.0,False,1.0033694707104448,1792.0,30,60000.0,53760.0,,,0,0,False,False,False,False
4263,青海,光伏,0.03125662413758238,0.0,0.15349585723598605,0.0,0.0,False,2.828218217128975,1849.0,30,60000.0,55470.0,,,0,0,False,False,False,False
4268,青海,光伏,0.02178451169294796,0.0,0.18307071624644408,0.0,0.0,False,1.6527092295567063,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4274,青海,光伏,0.0209005663574125,0.0,0.18041017027851167,0.0,0.0,False,1.6090314831188142,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4283,青海,光伏,0.018153760616217138,0.0,0.1830707250960935,0.0,0.0,False,1.3772576908830256,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4288,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False,2.7351323550856224,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4291,青海,光伏,0.015644555570837337,0.0,0.17181527894276793,0.0,0.0,False,1.2646459347296215,1818.0,30,60000.0,54540.0,,,0,0,False,False,False,False
4298,青海,光伏,0.01858347540303018,0.0,0.25311408067285357,0.0,0.0,False,1.019713420746756,1752.0,30,60000.0,52560.0,,,0,0,False,False,False,False
4301,青海,光伏,0.030844939592468684,0.0,0.15458001712502512,0.0,0.0,False,2.7713927501883604,1852.0,30,60000.0,55560.0,,,0,0,False,False,False,False
4309,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False,1.0146109500238014,1801.0,30,60000.0,54030.0,,,0,0,False,False,False,False
4317,青海,光伏,0.03214965853196633,0.0,0.14827157726307028,0.0,0.0,False,3.0115214487396815,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
4320,青海,光伏,0.018153760616217138,0.0,0.1830707250960935,0.0,0.0,False,1.3772576908830256,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4326,青海,光伏,0.01387034168694483,0.0,0.19249351279412602,0.0,0.0,False,1.0007798795117577,1833.0,30,60000.0,54990.0,,,0,0,False,False,False,False
4420,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False,1.0036809807173384,1747.0,30,60000.0,52410.0,,,0,0,False,False,False,False
4434,青海,光伏,0.06791383292971677,0.0,0.19716541679779467,0.0,0.0,False,4.784042226567341,1785.0,30,60000.0,53550.0,,,0,0,False,False,False,False
4440,青海,光伏,0.03258851739206844,0.0,0.1819856790385736,0.0,0.0,False,2.487109422583328,1807.0,30,60000.0,54210.0,,,0,0,False,False,False,False
4446,青海,光伏,0.06791383292971677,0.0,0.19716541679779467,0.0,0.0,False,4.784042226567341,1785.0,30,60000.0,53550.0,,,0,0,False,False,False,False
4452,青海,光伏,0.18452083701842323,0.0,0.14985333791952865,0.0,0.0,False,17.10198410401693,1863.0,30,60000.0,55890.0,,,0,0,False,False,False,False
4456,青海,光伏,0.018792728233382287,0.0,0.25857585611855993,0.0,0.0,False,1.0094140971648016,1746.0,30,60000.0,52380.0,,,0,0,False,False,False,False
4463,青海,光伏,0.18452083701842323,0.0,0.14985333791952865,0.0,0.0,False,17.10198410401693,1863.0,30,60000.0,55890.0,,,0,0,False,False,False,False
4479,青海,光伏,0.017092023385073245,0.0,0.23552963296593324,0.0,0.0,False,1.0078953153037375,1757.0,30,60000.0,52710.0,,,0,0,False,False,False,False
4490,青海,光伏,0.019546902696164194,0.0,0.15265359942843498,0.0,0.0,False,1.7784366741789208,1865.0,30,60000.0,55950.0,,,0,0,False,False,False,False
4510,青海,光伏,0.019538825164646195,0.0,0.16430468844353188,0.0,0.0,False,1.6516422891027986,1842.0,30,60000.0,55260.0,,,0,0,False,False,False,False
4516,青海,光伏,0.01831274601649447,0.0,0.18396743721882106,0.0,0.0,False,1.3825473601124518,1791.0,30,60000.0,53730.0,,,0,0,False,False,False,False
4522,青海,光伏,0.01831274601649447,0.0,0.18396743721882106,0.0,0.0,False,1.3825473601124518,1791.0,30,60000.0,53730.0,,,0,0,False,False,False,False
4535,青海,光伏,0.017289331342246105,0.0,0.2373334557958908,0.0,0.0,False,1.0117815087231286,1801.0,30,60000.0,54030.0,,,0,0,False,False,False,False
4541,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False,1.0146109500238014,1801.0,30,60000.0,54030.0,,,0,0,False,False,False,False
4543,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False,2.765094723185874,1791.0,30,60000.0,53730.0,,,0,0,False,False,False,False
4603,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False,1.0177528128374684,1809.0,30,60000.0,54270.0,,,0,0,False,False,False,False
4609,青海,光伏,0.0170218428838969,0.0,0.2324262000367027,0.0,0.0,False,1.0171593583736926,1770.0,30,60000.0,53100.0,,,0,0,False,False,False,False
4615,青海,光伏,0.01387034168694483,0.0,0.19249351279412602,0.0,0.0,False,1.0007798795117577,1833.0,30,60000.0,54990.0,,,0,0,False,False,False,False
4622,青海,光伏,0.03125662413758238,0.0,0.15349585723598605,0.0,0.0,False,2.828218217128975,1849.0,30,60000.0,55470.0,,,0,0,False,False,False,False
4631,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False,2.7351323550856224,1867.0,30,60000.0,56010.0,,,0,0,False,False,False,False
