terminal_price,price_shape,strict_record_count,retain_low_count,durable_6p5_count,npv_low_100m_cny,npv_6p5_100m_cny
22.0,front_loaded,693,4,0,-28.507939490325022,-39.76780766380808
22.0,linear,693,45,0,-13.618036230157752,-31.571203797370213
22.0,back_loaded,693,292,0,0.38735086509988337,-24.939233553487334
18.0,front_loaded,693,0,0,-59.7975387435164,-53.814101408754084
18.0,linear,693,0,0,-34.97879101362769,-40.15201370057798
18.0,back_loaded,693,103,0,-11.555454116307688,-29.059606270693518
15.0,front_loaded,693,0,0,-84.43174519064338,-64.65440093721593
15.0,linear,693,0,0,-51.274289661553176,-46.65401413188495
15.0,back_loaded,693,5,0,-20.53574509824501,-32.16090751968999
12.0,front_loaded,693,0,0,-111.6475192020842,-76.32647821608091
12.0,linear,693,0,0,-68.97523442324777,-53.528837686242134
12.0,back_loaded,693,0,0,-29.863026149388183,-35.3468854516904
