resource_realization,capacity_adjustability,original_cohort_count,retain_low_count,reach_6p5_count,at_risk_capex_100m_cny,avoided_capex_100m_cny,annual_h2_mt_per_year
0.5,0.0,2073,341,0,622.756327570395,0.0,0.259530364304891
0.5,0.25,2073,1176,0,219.44177713398997,82.33022106999358,0.2489018896215605
0.5,0.5,2073,1513,75,59.96980974437723,164.66044213998717,0.23432479809120488
0.5,0.75,2073,1561,473,44.14980208725005,246.99066320998074,0.21429666499990138
0.5,1.0,2073,1613,928,33.702774910861386,329.32088427997434,0.18675126476545448
0.625,0.0,2073,1591,10,69.13525941643017,0.0,0.2973519859766607
0.625,0.25,2073,1630,126,53.95429876858341,62.264467015911485,0.2848580527209968
0.625,0.5,2073,1641,398,41.24737086902505,124.52893403182297,0.26971581900738967
0.625,0.75,2073,1663,686,31.127771121220714,186.79340104773445,0.2513920077560167
0.625,1.0,2073,1736,940,24.952352618701344,249.05786806364594,0.22930201243183054
0.75,0.0,2073,1740,319,37.27391784018277,0.0,0.3251359399083038
0.75,0.25,2073,1747,477,34.22771962777363,41.819347323791426,0.3138517028251177
0.75,0.5,2073,1764,647,23.513999706686935,83.63869464758284,0.301255733895915
0.75,0.75,2073,1786,783,21.71239299850813,125.45804197137426,0.28722127955763815
0.75,1.0,2073,1835,946,17.61921073209682,167.27738929516568,0.27186132222418885
0.875,0.0,2073,1904,721,13.053460897870004,0.0,0.34473141438014654
0.875,0.25,2073,1893,767,13.766201640100448,21.04072902501,0.3376785938372778
0.875,0.5,2073,1899,799,13.35249087706612,42.08145805002,0.3303228176265386
0.875,0.75,2073,1916,863,11.980203754675951,63.12218707502999,0.3227057697541937
0.875,1.0,2073,1941,955,9.750805541617462,84.16291610004,0.3148393981728263
1.0,0.0,2073,2073,957,0.0,0.0,0.3578914533913635
1.0,0.25,2073,2073,957,0.0,0.0,0.3578914533913635
1.0,0.5,2073,2073,957,0.0,0.0,0.3578914533913635
1.0,0.75,2073,2073,957,0.0,0.0,0.3578914533913635
1.0,1.0,2073,2073,957,0.0,0.0,0.3578914533913635
