ObjectId,merge_province_cn,power_type_cn,method,low_return_entry,conventional_6p5,strict_marginal,selected_capacity_mw,selected_h2_t_per_year
1,安徽,光伏,daily_peak,False,False,False,1.0462434458303942,5.036617989516177
10,安徽,光伏,daily_peak,False,False,False,1.0183497604210563,10.732019416340325
1000,广东,光伏,daily_peak,False,False,False,1.0138810319202753,5.505328822107787
10001,山东,光伏,daily_peak,False,False,False,0.0024299146628260614,0.04353039435708958
10005,山东,光伏,daily_peak,False,False,False,0.0005115609573456645,0.009164292894462021
1001,广东,光伏,daily_peak,False,False,False,1.1282569580078126,3.253248856034316
10013,山东,光伏,daily_peak,False,False,False,0.0004263008049717546,0.007636910007842401
10015,辽宁,光伏,daily_peak,False,False,False,0.0006923508674873607,0.012796478031002121
1002,广西,光伏,daily_peak,False,False,False,1.0088002692751894,16.859157696993716
10020,河北,光伏,daily_peak,False,False,False,1.2080496826171876,6.326947496324318
10021,河北,光伏,daily_peak,False,False,False,1.18791552734375,6.221498124314742
10022,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10023,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10025,浙江,光伏,daily_peak,False,False,False,0.0,0.0
10027,浙江,光伏,daily_peak,False,False,False,0.0,0.0
1003,广西,光伏,daily_peak,False,False,False,1.0088002692751894,16.859157696993716
10030,西藏,光伏,daily_peak,True,True,False,1.19827662674974,43.439577433667566
10031,西藏,光伏,daily_peak,True,True,False,1.9416578263835973,72.86001729111752
10033,甘肃,光伏,daily_peak,False,False,False,1.0189450246723393,20.508036586668176
10034,湖南,光伏,daily_peak,False,False,False,0.0005567178305533386,0.0090384336052445
10036,安徽,光伏,daily_peak,False,False,False,0.00039522183754300675,0.00542445669593104
10040,四川,光伏,daily_peak,False,False,False,0.00188908015470946,0.021825263794872263
10041,安徽,光伏,daily_peak,False,False,False,0.0007997925718544771,0.011793318824770619
10045,河南,光伏,daily_peak,False,False,False,1.13547021484375,3.0614914190004927
10048,河南,光伏,daily_peak,False,False,False,0.000490723499245497,0.007014086651563361
10049,河南,光伏,daily_peak,False,False,False,1.0133314753616502,4.373645878321358
1005,广西,光伏,daily_peak,False,False,False,1.0419113939933446,18.730185026053654
10050,河南,光伏,daily_peak,False,False,False,0.0013294913271439744,0.019213094289979565
10051,河南,光伏,daily_peak,False,False,False,0.0004834514194898169,0.0069865823027068065
10052,宁夏,光伏,daily_peak,False,False,False,1.0000521444748018,13.69443682342972
10053,山东,光伏,daily_peak,False,False,False,1.1326689453125,3.4854814805181933
10054,湖北,光伏,daily_peak,False,False,False,0.0019330173270139064,0.036016432024728144
1006,广西,光伏,daily_peak,False,False,False,1.0098110371173465,10.852646551003819
