operating_years,project_end_year,cohort,assumed_host_lifetime_years,cohort_record_count,known_start_year_count,host_survives_full_horizon_count,host_survives_share_of_known
15,2040,low,20,736,713,151,0.211781206171108
15,2040,low,25,736,713,276,0.3870967741935484
15,2040,strict,20,217,208,40,0.19230769230769232
15,2040,strict,25,217,208,92,0.4423076923076923
20,2045,low,20,1125,1085,0,0.0
20,2045,low,25,1125,1085,234,0.21566820276497695
20,2045,strict,20,269,256,0,0.0
20,2045,strict,25,269,256,59,0.23046875
25,2050,low,20,1361,1305,0,0.0
25,2050,low,25,1361,1305,0,0.0
25,2050,strict,20,335,314,0,0.0
25,2050,strict,25,335,314,0,0.0
30,2055,low,20,1677,1614,0,0.0
30,2055,low,25,1677,1614,0,0.0
30,2055,strict,20,611,585,0,0.0
30,2055,strict,25,611,585,0,0.0
35,2060,low,20,1889,1822,0,0.0
35,2060,low,25,1889,1822,0,0.0
35,2060,strict,20,741,715,0,0.0
35,2060,strict,25,741,715,0,0.0
