operating_years,project_end_year,cohort,assumed_host_lifetime_years,cohort_record_count,known_start_year_count,host_survives_full_horizon_count,host_survives_share_of_known
15,2040,low,20,787,763,161,0.21100917431192662
15,2040,low,25,787,763,308,0.4036697247706422
15,2040,strict,20,244,234,47,0.20085470085470086
15,2040,strict,25,244,234,114,0.48717948717948717
20,2045,low,20,1164,1121,0,0.0
20,2045,low,25,1164,1121,241,0.2149866190900981
20,2045,strict,20,263,249,0,0.0
20,2045,strict,25,263,249,53,0.21285140562248997
25,2050,low,20,1441,1383,0,0.0
25,2050,low,25,1441,1383,0,0.0
25,2050,strict,20,383,361,0,0.0
25,2050,strict,25,383,361,0,0.0
30,2055,low,20,1791,1728,0,0.0
30,2055,low,25,1791,1728,0,0.0
30,2055,strict,20,693,669,0,0.0
30,2055,strict,25,693,669,0,0.0
35,2060,low,20,2073,2002,0,0.0
35,2060,low,25,2073,2002,0,0.0
35,2060,strict,20,896,869,0,0.0
35,2060,strict,25,896,869,0,0.0
