resource_path,resource_factor_2026,resource_factor_2060,terminal_price_cny_per_kg,scope,cohort_count,retain_low_count,reach_6p5_count,mean_annual_h2_mt,npv_low_billion_cny,npv_6p5_billion_cny
decline_to_50pct,1.0,0.5,22.0,all_low_return,1889,205,36,0.26506665222641357,-21.47439346618426,-20.532183198624395
decline_to_50pct,1.0,0.5,22.0,strict_marginal,741,0,0,0.04488551991223255,-10.707365594623788,-7.708366162677432
decline_to_50pct,1.0,0.5,18.0,all_low_return,1889,37,11,0.26506665222641357,-37.53211273993268,-26.28335640136752
decline_to_50pct,1.0,0.5,18.0,strict_marginal,741,0,0,0.04488551991223255,-13.595118515927002,-8.741399296739514
decline_to_75pct,1.0,0.75,22.0,all_low_return,1889,716,231,0.3123946340007059,5.124297563228965,-11.525639110648036
decline_to_75pct,1.0,0.75,22.0,strict_marginal,741,0,0,0.052111662307312186,-6.248210383438614,-6.146975672238838
decline_to_75pct,1.0,0.75,18.0,all_low_return,1889,328,86,0.3123946340007059,-13.443125564629964,-17.997938820270623
decline_to_75pct,1.0,0.75,18.0,strict_marginal,741,0,0,0.052111662307312186,-9.588814202761634,-7.305485657857339
stable_100pct,1.0,1.0,22.0,all_low_return,1889,1227,470,0.3600852211304861,31.42742007329697,-2.6032110371796104
stable_100pct,1.0,1.0,22.0,strict_marginal,741,79,0,0.05966946211001487,-2.4785670286938797,-4.74005456894409
stable_100pct,1.0,1.0,18.0,all_low_return,1889,905,270,0.3600852211304861,9.472292448682198,-9.998772586967153
stable_100pct,1.0,1.0,18.0,strict_marginal,741,0,0,0.05966946211001487,-6.168065685049486,-6.016842281529264
increase_to_125pct,1.0,1.25,22.0,all_low_return,1889,1681,987,0.4078888503072709,57.67473575299307,6.291099526250895
increase_to_125pct,1.0,1.25,22.0,strict_marginal,741,533,0,0.06800254386431472,1.9881364886970312,-3.2139388290930495
increase_to_125pct,1.0,1.25,18.0,all_low_return,1889,1267,479,0.4078888503072709,31.966582457219012,-2.1203274558089342
increase_to_125pct,1.0,1.25,18.0,strict_marginal,741,119,0,0.06800254386431472,-2.3973598810890246,-4.682340540524022
