prior_case,draw_count,project_draw_reach_6p5_probability,monte_carlo_standard_error,expected_reach_6p5_count
reference_gate,500,0.0003352112676056338,8.946469076082739e-05,0.238
reference_gate,1000,0.0005112676056338028,8.769919495689965e-05,0.363
reference_gate,2500,0.000424225352112676,4.732065182167037e-05,0.3012
reference_gate,5000,0.0003673239436619718,2.941214322973938e-05,0.2608
reference_delivered,500,0.0,0.0,0.0
reference_delivered,1000,0.0,0.0,0.0
reference_delivered,2500,0.0,0.0,0.0
reference_delivered,5000,0.0,0.0,0.0
upper_price_gate,500,0.0010056338028169014,0.000218489417634418,0.714
upper_price_gate,1000,0.0010070422535211267,0.0001400517280712106,0.715
upper_price_gate,2500,0.0009109859154929578,8.061519957771656e-05,0.6468
upper_price_gate,5000,0.0009287323943661972,5.817940752076746e-05,0.6594
uniform_price_gate,500,0.0006253521126760564,0.00014530279507841515,0.444
uniform_price_gate,1000,0.0005507042253521126,0.00010501866601524731,0.391
uniform_price_gate,2500,0.0005504225352112676,6.479235505266118e-05,0.3908
uniform_price_gate,5000,0.0005870422535211267,4.8350109341095324e-05,0.4168
independent_price_learning,500,0.0005126760563380282,0.00012028527875357795,0.364
independent_price_learning,1000,0.0004,7.280499556706235e-05,0.284
independent_price_learning,2500,0.0003735211267605634,4.8660392832530216e-05,0.2652
independent_price_learning,5000,0.00038169014084507043,3.4212012874979034e-05,0.271
strong_coupling,500,0.00021690140845070425,6.726926680246872e-05,0.154
strong_coupling,1000,0.0002028169014084507,4.1832317191936543e-05,0.144
strong_coupling,2500,0.00020507042253521126,2.72523387305761e-05,0.1456
strong_coupling,5000,0.00022450704225352114,2.0142284585923903e-05,0.1594
