prior_case,ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,retain_low_assumption_weighted_probability,reach_6p5_assumption_weighted_probability
reference_gate,10956,西藏,光伏,5.0,29.076,91.719,0.5294,0.0
reference_gate,11041,西藏,光伏,5.0,29.2801,91.9032,0.2544,0.0
reference_gate,11990,西藏,光伏,4.1,29.6554,91.1705,0.2818,0.0
reference_gate,1798,青海,光伏,115.0,36.1875,100.5735,0.0378,0.0
reference_gate,1800,青海,光伏,500.0,36.1951,100.5681,0.0376,0.0
reference_gate,4006,青海,光伏,100.0,36.3798,95.0911,0.0,0.0
reference_gate,4040,青海,光伏,20.0,36.3548,95.1428,0.0,0.0
reference_gate,4117,青海,光伏,20.0,36.3548,95.1428,0.0,0.0
reference_gate,4126,青海,光伏,30.0,36.3548,95.1428,0.0,0.0
reference_gate,4127,青海,光伏,20.0,36.3765,95.1371,0.0,0.0
reference_gate,4128,青海,光伏,20.0,36.3765,95.1371,0.0,0.0
reference_gate,4129,青海,光伏,20.0,36.3765,95.1371,0.0,0.0
reference_gate,4130,青海,光伏,20.0,36.3366,95.2328,0.0,0.0
reference_gate,4132,青海,光伏,20.0,36.3366,95.2328,0.0,0.0
reference_gate,4133,青海,光伏,20.0,36.3366,95.2328,0.0,0.0
reference_gate,4134,青海,光伏,20.0,36.3538,95.115,0.0,0.0
reference_gate,4135,青海,光伏,20.0,36.3538,95.115,0.0,0.0
reference_gate,4136,青海,光伏,30.0,36.3538,95.115,0.0,0.0
reference_gate,4137,青海,光伏,40.0,36.3538,95.115,0.0,0.0
reference_gate,4138,青海,光伏,60.0,36.3717,95.2628,0.0,0.0
reference_gate,4139,青海,光伏,21.0,36.3717,95.2628,0.0,0.0
reference_gate,4140,青海,光伏,100.0,36.3293,94.7993,0.0,0.0
reference_gate,4141,青海,光伏,20.0,36.3907,95.2486,0.0,0.0
reference_gate,4143,青海,光伏,50.0,36.3298,94.7972,0.0,0.0
reference_gate,4144,青海,光伏,20.0,36.3293,94.7993,0.0,0.0
reference_gate,4145,青海,光伏,20.0,36.3293,94.7993,0.0,0.0
reference_gate,4146,青海,光伏,30.0,36.3894,95.1532,0.0,0.0
reference_gate,4147,青海,光伏,20.0,36.399,95.1318,0.0,0.0
reference_gate,4148,青海,光伏,20.0,36.399,95.1318,0.0,0.0
reference_gate,4149,青海,光伏,50.0,36.399,95.1318,0.0,0.0
reference_gate,4151,青海,光伏,20.0,36.3764,95.2636,0.0,0.0
reference_gate,4153,青海,光伏,100.0,36.1875,100.5735,0.0378,0.0
reference_gate,4154,青海,光伏,20.0,36.2017,100.604,0.0,0.0
reference_gate,4155,青海,光伏,200.0,36.1875,100.5735,0.0378,0.0
reference_gate,4156,青海,光伏,150.0,36.1875,100.5735,0.0378,0.0
reference_gate,4157,青海,光伏,200.0,36.1875,100.5735,0.0378,0.0
reference_gate,4159,青海,光伏,530.0,36.1875,100.5735,0.0378,0.0
