merge_province_cn,low_return_record_count,strict_marginal_record_count,modeled_low_return_h2_mt,modeled_strict_h2_mt,hydrogen_demand_mt,within_supply_share,modeled_low_h2_share_of_provincial_demand,identification
上海,0,0,0.0,0.0,0.9556500850807215,0.2018344076746433,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
云南,8,8,0.0003264063700806604,0.0003264063700806604,0.6055298349880269,0.748373264929121,0.000539042589184915,aggregate provincial overlap only; does not establish contracts or local deliverability
内蒙古,483,53,0.14363190243850246,0.0032448188914420808,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
北京,3,3,8.931948954486603e-05,8.931948954486603e-05,0.8914958116682229,0.07923222611530874,0.00010019058797116029,aggregate provincial overlap only; does not establish contracts or local deliverability
吉林,122,2,0.023505404310861025,7.39007372123422e-05,0.3040087255916057,0.3332313798124571,0.07731818968392813,aggregate provincial overlap only; does not establish contracts or local deliverability
四川,0,0,0.0,0.0,1.200070105637113,0.3229581897116998,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
天津,0,0,0.0,0.0,0.3477756088604849,0.3218331905806621,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
宁夏,0,0,0.0,0.0,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
安徽,0,0,0.0,0.0,0.9551574511409362,0.44171197431896836,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
山东,13,13,0.0005494435609500987,0.0005494435609500987,1.8058058838360578,0.9511734088834399,0.0003042650186646421,aggregate provincial overlap only; does not establish contracts or local deliverability
山西,62,61,0.0021478501176302035,0.002080771520025571,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
广东,0,0,0.0,0.0,2.735067581277093,0.3474471164728987,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
广西,7,7,0.00023637167778153086,0.00023637167778153086,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
新疆,301,233,0.029824093742073936,0.017436819186989368,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
江苏,0,0,0.0,0.0,2.5364840004052884,0.42452238922739344,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
江西,0,0,0.0,0.0,0.6344112713776214,0.2143791508753739,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
河北,251,46,0.0516018334611742,0.0016164631471359144,0.8940723242134435,0.804258634777136,0.05771550249759795,aggregate provincial overlap only; does not establish contracts or local deliverability
河南,1,0,0.00020728219373293818,0.0,1.3580663293596729,0.8034984147900514,0.0001526303901744413,aggregate provincial overlap only; does not establish contracts or local deliverability
浙江,0,0,0.0,0.0,1.5955250249053001,0.3668222940227031,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
海南,2,2,8.971455169814132e-05,8.971455169814132e-05,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
湖北,0,0,0.0,0.0,1.0727680630419727,0.5971245395937712,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
湖南,19,19,0.0006310884153961716,0.0006310884153961716,1.0317283222447646,0.12323573656585173,0.0006116808095595283,aggregate provincial overlap only; does not establish contracts or local deliverability
甘肃,36,21,0.006390560483612861,0.0022248745301262658,0.22265325538137512,0.7011404734928937,0.028701850654133436,aggregate provincial overlap only; does not establish contracts or local deliverability
福建,0,0,0.0,0.0,1.0841376592773189,0.5940310004969238,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
西藏,81,3,0.013226587263025226,0.00010312022650788192,0.046985178074501505,0.010505131015637596,0.2815055258927111,aggregate provincial overlap only; does not establish contracts or local deliverability
贵州,0,0,0.0,0.0,0.44019892158454943,0.09381565822690013,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
辽宁,170,7,0.024924742513930783,0.00024370634332661237,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
重庆,0,0,0.0,0.0,0.6174046588127466,0.3666392424467474,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
陕西,0,0,0.0,0.0,0.6465199419897978,0.9050894333494511,0.0,aggregate provincial overlap only; does not establish contracts or local deliverability
青海,160,160,0.014614219831363705,0.014614219831363705,,,,aggregate provincial overlap only; does not establish contracts or local deliverability
黑龙江,90,72,0.006424283132584096,0.004056179172271135,0.3382629586036762,0.6402878078286149,0.01899197937339355,aggregate provincial overlap only; does not establish contracts or local deliverability
